zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
475,BATXIKABO,Monte Bachicabo,Q2878314,BATXIKABO KALEA,BATXIKABO KALEA,""CALLE"""
540,BEATO TOMAS DE ZUMARRAGA,Beato Tomás de Zumárraga,Q71759557,TOMAS ZUMARRAGA DOHATSUAREN KALEA,TOMAS ZUMARRAGA DOHATSUAREN KALEA,""CALLE"""
550,BECERRO DE BENGOA,Ricardo Becerro de Bengoa,Q1392867,BECERRO DE BENGOA KALEA,BECERRO DE BENGOA KALEA,""CALLE"""
570,BEETHOVEN,Ludwig van Beethoven,Q255,BEETHOVEN KALEA,BEETHOVEN KALEA,""CALLE"""
4582,BEHENAFARROA,Baja Navarra,Q638503,BEHENAFARROA KALEA,BEHENAFARROA KALEA,""CALLE"""
4794,BEISTEGI HERMANOS,BH,Q1100754,BEISTEGI HERMANOS KALEA,BEISTEGI HERMANOS KALEA,""CALLE"""
560,BEKOLARRA,BEKOLARRA,,BEKOLARRA KALEA,BEKOLARRA KALEA,""CALLE"""
4952,BEKOLASA,BEKOLASA,,BEKOLASA KALEA,BEKOLASA KALEA,""CALLE"""
4915,BELABIA,Belabia,Q115499712,BELABIA KALEA,BELABIA KALEA,""CALLE"""
4568,BELATE,BELATE,,BELATE KALEA,BELATE KALEA,""CALLE"""
580,BENITO GUINEA,Benito Guinea López de Aréchaga,Q115376996,BENITO GINEA KALEA,BENITO GINEA KALEA,""CALLE"""
3030,""BENITO PEREZ GALDOS, PLAZA"",Benito Pérez Galdós,Q189869,BENITO PEREZ GALDOS PLAZA,BENITO PEREZ GALDOS PLAZA,""PLAZA"""
4695,""BERLIN ,PASEO DE"",Berlín,Q64,BERLIN IBILBIDEA,BERLIN IBILBIDEA,""PASEO"""
600,BERNAL DIAZ DE LUCO,Juan Bernal Díaz de Luco,Q43430543,BERNAL DIAZ DE LUKO KALEA,BERNAL DIAZ DE LUKO KALEA,""CALLE"""
6200,BERROSTEGIETA,Berrosteguieta,Q627163,BERROZTEGIETA,BERROZTEGIETA,""ENTIDAD"""
6210,BETOÑO,Betoño,Q604304,BETOÑU,BETOÑU,""ENTIDAD"""
615,BIAK BAT,BIAK BAT,,BIAK BAT KALEA,BIAK BAT KALEA,""CALLE"""
4775,BIDEGANA,BIDEGANA,,BIDEGANA KALEA,BIDEGANA KALEA,""CALLE"""
4955,BIDEZARRA,BIDEZARRA,,BIDEZARRA KALEA,BIDEZARRA KALEA,""CALLE"""
620,""BILBAO, PLAZA DE"",Bilbao,Q8692,BILBO PLAZA,BILBO PLAZA,""PLAZA"""
4776,BILODABIDEA,BILODABIDEA,,BILODABIDEA KALEA,BILODABIDEA KALEA,""CALLE"""
623,BIZENTA MOGEL,Vicenta Moguel,Q11705052,BIZENTA MOGEL KALEA,BIZENTA MOGEL KALEA,""CALLE"""
4220,BIZKAIA,Vizcaya,Q93366,BIZKAI KALEA,BIZKAI KALEA,""CALLE"""
