zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
4680,BULEVAR DE SALBURUA,Salburua,Q27127307,SALBURUA BULEBARRA,SALBURUA BULEBARRA,CALLE
660,BURGOS,Burgos,Q9580,BURGOS KALEA,BURGOS KALEA,CALLE
670,BURUBIZKARRA,BURUBIZKARRA,,BURUBIZKARRA KALEA,BURUBIZKARRA KALEA,CALLE
680,BUSTALDEA,BUSTALDEA,,BUSTALDEA KALEA,BUSTALDEA KALEA,CALLE
4921,BUSTURBI,BUSTURBI,,BUSTURBI KALEA,BUSTURBI KALEA,CALLE
685,BUZTINZURI,BUZTINZURI,,BUZTINZURI KALEA,BUZTINZURI KALEA,CALLE
4565,CABALLO DE PICA,Caballo de picar,Q3649127,CABALLO DE PICA KALEA,CABALLO DE PICA KALEA,CALLE
4849,CAMINO DE PAUSETA,CAMINO DE PAUSETA,,PAUSETAKO BIDEA,PAUSETAKO BIDEA,CALLE
740,CAMPO DE LOS PALACIOS,CAMPO DE LOS PALACIOS,,JAUREGILANDA KALEA,JAUREGILANDA KALEA,CALLE
750,CANAL DE SANTO TOMAS,CANAL DE SANTO TOMAS,,SANTO TOMASEN UBIDEKO KALEA,SANTO TOMASEN UBIDEKO KALEA,CALLE
760,CANCILLER AYALA,calle del Canciller Ayala,Q116167453,AIALA KANTZILERRAREN KALEA,AIALA KANTZILERRAREN KALEA,CALLE
3960,"CANTABRICO, AVENIDA DEL",Cantabrico,Q2936548,KANTABRIKOAREN HIRIBIDEA,KANTABRIKOAREN HIRIBIDEA,AVENIDA
4763,"CAPITAL DE EUSKADI, AVENIDA",Vitoria,Q14318,EUSKADIKO HIRIBURUAREN ETORBIDEA,EUSKADIKO HIRIBURUAREN ETORBIDEA,AVENIDA
780,CARACAS,Caracas,Q1533,CARACAS KALEA,CARACAS KALEA,CALLE
4968,"CARLOS ABAITUA LAZPITA, PASAJE",Carlos Abaitua,Q104810691,CARLOS ABAITUA LAZPITA PASABIDEA,CARLOS ABAITUA LAZPITA PASABIDEA,PASAJE
4721,"CARMELO BERNAOLA, PASEO",Carmelo Bernaola,Q2602845,CARMELO BERNAOLA IBILBIDEA,CARMELO BERNAOLA IBILBIDEA,PASEO
4708,CARTA DE AALBORG,Carta de Aalborg,Q300844,AALBORGEKO KARTAREN KALEA,AALBORGEKO KARTAREN KALEA,CALLE
4728,CARTA DE ATENAS,Carta de Atenas,Q922026,ATENASKO KARTAREN KALEA,ATENASKO KARTAREN KALEA,CALLE
4940,"CASERIO, SENDA DEL",caserío,Q2735929,ETXALDEBIDEA,ETXALDEBIDEA,SENDA
854,CASTILLO DE ARETXAGA,calle del Castillo de Aretxaga,Q123515412,ARETXAGAKO GAZTELUAREN KALEA,ARETXAGAKO GAZTELUAREN KALEA,CALLE
851,CASTILLO DE ARLUZEA,castillo de Arluzea,Q122983029,ARLUZEKO GAZTELUAREN KALEA,ARLUZEKO GAZTELUAREN KALEA,CALLE
852,CASTILLO DE ASSA,castillo de Assa,Q123518787,ASSAKO GAZTELUAREN KALEA,ASSAKO GAZTELUAREN KALEA,CALLE
853,CASTILLO DE ASTULEZ,Astulezeko gaztelua,Q124835035,ASTULEZKO GAZTELUAREN KALEA,ASTULEZKO GAZTELUAREN KALEA,CALLE
856,CASTILLO DE BERNEDO,castillo de Bernedo,Q123509742,BERNEDOKO GAZTELUAREN KALEA,BERNEDOKO GAZTELUAREN KALEA,CALLE
857,CASTILLO DE BURADON,Castillo de Buradón,Q20492229,BURADONGO GAZTELUAREN KALEA,BURADONGO GAZTELUAREN KALEA,CALLE
859,CASTILLO DE EL TORO,Castillo de El Toro,Q3604811,TOROKO GAZTELUAREN KALEA,TOROKO GAZTELUAREN KALEA,CALLE
860,CASTILLO DE ESKIBEL,castillo de Esquível,Q123510430,ESKIBELGO GAZTELUAREN KALEA,ESKIBELGO GAZTELUAREN KALEA,CALLE
