zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
2740,MONSE«?OR ESTENAGA,calle del Monse«Òor Estenaga,Q115345830,ESTENAGA APEZPIKUAREN KALEA,ESTENAGA APEZPIKUAREN KALEA,""CALLE"""
2750,MONSE«?OR MATEO MUGICA,MONSE«?OR MATEO MUGICA,,MATEO MUXIKA APEZPIKUAREN KALEA,MATEO MUXIKA APEZPIKUAREN KALEA,""CALLE"""
4911,MONTES DE VITORIA,montes de Vitoria,Q19862615,GASTEIZKO MENDIEN KALEA,GASTEIZKO MENDIEN KALEA,""CALLE"""
4815,""MOREDA DE ALAVA, PASEO DE"",Moreda de «Ålava,Q1442886,MOREDA IBILBIDEA,MOREDA IBILBIDEA,""PASEO"""
4673,MUNDIGALAY,MUNDIGALAY,,MENDIGALAI KALEA,MENDIGALAI KALEA,""CALLE"""
4715,""NACIONES UNIDAS, AVENIDA DE"",Organizaci«¸n de las Naciones Unidas,Q1065,NAZIO BATUEN HIRIBIDEA,NAZIO BATUEN HIRIBIDEA,""AVENIDA"""
4800,NADINE GORDIMER,Nadine Gordimer,Q47619,NADINE GORDIMER KALEA,NADINE GORDIMER KALEA,""CALLE"""
4820,NAVARIDAS,Navaridas,Q1442870,NAVARIDAS KALEA,NAVARIDAS KALEA,""CALLE"""
2780,NAVARRA,Navarra,Q4018,NAFARROA KALEA,NAFARROA KALEA,""CALLE"""
2790,NAVARRO VILLOSLADA,Francisco Navarro Villoslada,Q3818039,NAVARRO VILLOSLADA KALEA,NAVARRO VILLOSLADA KALEA,""CALLE"""
4725,NELSON MANDELA,Nelson Mandela,Q8023,NELSON MANDELA KALEA,NELSON MANDELA KALEA,""CALLE"""
2810,NICARAGUA,Nicaragua,Q811,NIKARAGUA KALEA,NIKARAGUA KALEA,""CALLE"""
4744,NICOSIA,Nicosia,Q3856,NIKOSIA KALEA,NIKOSIA KALEA,""CALLE"""
2820,NIEVES CANO,Ca«Òo Nieves,Q56493104,NIEVES CANO KALEA,NIEVES CANO KALEA,""CALLE"""
2840,""NUESTRA SE«?ORA DE ESTIBALIZ, AVENIDA"",Santuario de Nuestra Se«Òora de Est«baliz,Q1139113,ESTIBALIZKO ANDRE MARIAREN HIRIBIDEA,ESTIBALIZKO ANDRE MARIAREN HIRIBIDEA,""AVENIDA"""
1270,""NUESTRA SE«?ORA DE LOS DESAMPARADOS, PLAZA"",Virgen de los Desamparados,Q3066107,BABESGABETUEN ANDRE MARIAREN PLAZA,BABESGABETUEN ANDRE MARIAREN PLAZA,""PLAZA"""
2830,NUESTRA SE«?ORA DEL CABELLO,calle de Nuestra Se«Òora del Cabello,Q115401962,ADATSEKO ANDRE MARIAREN KALEA,ADATSEKO ANDRE MARIAREN KALEA,""CALLE"""
2850,NUEVA DENTRO-JUDERIA,calle Nueva Dentro,Q57414285,BARNEKALE BERRIA,BARNEKALE BERRIA,""CALLE"""
2860,NUEVA FUERA,calle Nueva Fuera,Q57442914,KANPOKALE BERRIA,KANPOKALE BERRIA,""CALLE"""
2910,O«?ATI,O«Òate,Q496588,O«?ATI KALEA,O«?ATI KALEA,""CALLE"""
2870,OBISPO BALLESTER,calle del Obispo Ballester,Q123501759,BALLESTER APEZPIKUAREN KALEA,BALLESTER APEZPIKUAREN KALEA,""CALLE"""
2880,OBISPO BIVERE,OBISPO BIVERE,,BIVERE APEZPIKUAREN KALEA,BIVERE APEZPIKUAREN KALEA,""CALLE"""
4730,""OBISPO RAMON FERNANDEZ DE PIEROLA, JARDINES"",Ram«¸n Fern«≠ndez Pi«∏rola y Lopez de Luzuriaga,Q64735031,RAMON FERNANDEZ DE PIEROLA APEZPIKUAREN LORATEGIA,RAMON FERNANDEZ DE PIEROLA APEZPIKUAREN LORATEGIA,""JARDIN"""
4835,OCEANO ATLANTICO,oc«∏ano Atl«≠ntico,Q97,OZEANO ATLANTIKOAREN KALEA,OZEANO ATLANTIKOAREN KALEA,""CALLE"""
4837,OCEANO PACIFICO,oc«∏ano Pac«fico,Q98,OZEANO BAREAREN KALEA,OZEANO BAREAREN KALEA,""CALLE"""
4608,OILAMENDI,OILAMENDI,,OILAMENDI KALEA,OILAMENDI KALEA,""CALLE"""
4896,OKARIZ,Oc«≠riz,Q3350023,OKARIZ KALEA,OKARIZ KALEA,""CALLE"""
2890,OLAGUIBEL,Justo Antonio de Olagu«bel,Q596471,OLAGIBEL KALEA,OLAGIBEL KALEA,""CALLE"""
4501,""OLARANBE, AVENIDA DE"",Olar«≠n,Q581313,OLARANBE HIRIBIDEA,OLARANBE HIRIBIDEA,""AVENIDA"""
2905,OLARIZU PARQUE,OLARIZU PARQUE,,OLARIZUKO PARKEA,OLARIZUKO PARKEA,""PARQUE"""
2900,""OLARIZU, AVENIDA DE"",Ol«≠rizu,Q3042293,OLARIZU HIRIBIDEA,OLARIZU HIRIBIDEA,""AVENIDA"""
6650,OREITIA,Oreitia,Q620778,OREITIA,OREITIA,""ENTIDAD"""
4050,OREITIASOLO,OREITIASOLO,,OREITIASOLO KALEA,OREITIASOLO KALEA,""CALLE"""
4055,""OREITIASOLO, PASAJE DE"",OREITIASOLO,,OREITIASOLOKO PASABIDEA,OREITIASOLOKO PASABIDEA,""PASAJE"""
4554,ORI,ORI,,ORI KALEA,ORI KALEA,""CALLE"""
4604,ORIO,Orio,Q1649616,ORIO KALEA,ORIO KALEA,""CALLE"""
4753,ORTUOSTE,Ortuoste,Q123057522,ORTUOSTE KALEA,ORTUOSTE KALEA,""CALLE"""
2930,OSINAGEA,OSINAGEA,,OSINAGEA KALEA,OSINAGEA KALEA,""CALLE"""
6670,OTAZU,Otazu,Q620776,OTAZU,OTAZU,""ENTIDAD"""
6430,OTOGOIEN/HUETO ARRIBA,Hueto Arriba,Q621775,OTOGOIEN,OTOGOIEN,""ENTIDAD"""
4714,OYON,Oy«¸n,Q581589,OION KALEA,OION KALEA,""CALLE"""
2940,PABLO DE XERICA,Jacobo Fitz-James Stuart y Ventimiglia,Q3805820,PABLO XERICA KALEA,PABLO XERICA KALEA,""CALLE"""
2945,PABLO MORILLO,Pablo Morillo y Morillo,Q1364163,PABLO MORILLO KALEA,PABLO MORILLO KALEA,""CALLE"""
4583,PABLO NERUDA,Pablo Neruda,Q34189,PABLO NERUDA KALEA,PABLO NERUDA KALEA,""CALLE"""
4828,PABLO PICASSO,Pablo Picasso,Q5593,PABLO PICASSO KALEA,PABLO PICASSO KALEA,""CALLE"""
2948,PADULETA,PADULETA,,PADULETA KALEA,PADULETA KALEA,""CALLE"""
4616,PADURAGOIA,PADURAGOIA,,PADURAGOIA KALEA,PADURAGOIA KALEA,""CALLE"""
4817,""PAGANOS, PASEO DE"",P«≠ganos,Q3411468,PAGANOS IBILBIDEA,PAGANOS IBILBIDEA,""PASEO"""
2965,PAGOGAN,Pagogan,Q12265451,PAGOGAN KALEA,PAGOGAN KALEA,""CALLE"""
2950,PALACIO,palacio,Q16560,JAUREGI KALEA,JAUREGI KALEA,""CALLE"""
2960,PALENCIA,Palencia,Q8378,PALENTZIA KALEA,PALENTZIA KALEA,""CALLE"""
4533,PAMPLONA-IRU«?EA,Pamplona,Q10282,IRU«?EA KALEA,IRU«?EA KALEA,""CALLE"""
2970,PANAMA,Panam«≠,Q804,PANAMA KALEA,PANAMA KALEA,""CALLE"""
2980,PARAGUAY,Paraguay,Q733,PARAGUAI KALEA,PARAGUAI KALEA,""CALLE"""
4684,""PARIS ,AVENIDA DE"",Par«s,Q90,PARIS HIRIBIDEA,PARIS HIRIBIDEA,""AVENIDA"""
180,""PASCUAL DE ANDAGOYA, PLAZA"",Pascual de Andagoya,Q29232,PASCUAL ANDAGOIA PLAZA,PASCUAL ANDAGOIA PLAZA,""PLAZA"""
2995,PAULA MONTAL,Paula Montal,Q440088,PAULA MONTAL KALEA,PAULA MONTAL KALEA,""CALLE"""
3010,PEDRO DE ASUA,Pedro As«ßa Mend«a,Q18424194,PEDRO ASUA KALEA,PEDRO ASUA KALEA,""CALLE"""
3020,PEDRO EGA«?A,Pedro Ega«Òa,Q5401956,PEDRO EGA«?A KALEA,PEDRO EGA«?A KALEA,""CALLE"""
3028,""PEDRO IGNACIO BARRUTIA, SENDA"",Pedro Ignacio de Barrutia,Q11940705,PEDRO IGNACIO BARRUTIA ZIDORRA,PEDRO IGNACIO BARRUTIA ZIDORRA,""SENDA"""
3025,PEDRO ORBEA,Pedro Orbea Orbea,Q61117143,PEDRO ORBEA KALEA,PEDRO ORBEA KALEA,""CALLE"""
4558,PEDRO SALINAS,Pedro Salinas,Q379789,PEDRO SALINAS KALEA,PEDRO SALINAS KALEA,""CALLE"""
4881,PELINGANA,PELINGANA,,PELINGANA KALEA,PELINGANA KALEA,""CALLE"""
3029,""PEPE UBIS, PLAZA"",plaza de Pepe Ubis,Q118664999,PEPE UBIS PLAZA,PEPE UBIS PLAZA,""PLAZA"""
4784,""PEREGRINO, PASEO DEL"",peregrino,Q542704,ERROMESEN IBILBIDEA,ERROMESEN IBILBIDEA,""PASEO"""
4751,PERRETAGANA,PERRETAGANA,,PERRETAGANA KALEA,PERRETAGANA KALEA,""CALLE"""
4670,PERRETXIN,calle de Perretxin,Q123469040,PERRETXIN KALEA,PERRETXIN KALEA,""CALLE"""
3040,PERU,Per«ß,Q419,PERU KALEA,PERU KALEA,""CALLE"""
3050,PINTOR ADRIAN ALDECOA,Adri«≠n Aldecoa,Q8189871,ADRIAN ALDEKOA MARGOLARIAREN KALEA,ADRIAN ALDEKOA MARGOLARIAREN KALEA,""CALLE"""
3063,PINTOR ANGEL SAENZ DE UGARTE,«Ångel S«≠enz de Ugarte,Q65015592,ANGEL SAENZ DE UGARTE MARGOLARIAREN KALEA,ANGEL SAENZ DE UGARTE MARGOLARIAREN KALEA,""CALLE"""
3089,PINTOR AURELIO VERA-FAJARDO,Aurelio Vera-Fajardo Picatoste,Q118365477,AURELIO VERA-FAJARDO MARGOLARIAREN KALEA,AURELIO VERA-FAJARDO MARGOLARIAREN KALEA,""CALLE"""
3067,PINTOR CARLOS SAEZ DE TEJADA,PINTOR CARLOS SAEZ DE TEJADA,,CARLOS SAEZ DE TEJADA MARGOLARIAREN KALEA,CARLOS SAEZ DE TEJADA MARGOLARIAREN KALEA,""CALLE"""
3065,PINTOR CLEMENTE ARRAIZ,Clemente Arraiz,Q113990058,CLEMENTE ARRAIZ MARGOLARIAREN KALEA,CLEMENTE ARRAIZ MARGOLARIAREN KALEA,""CALLE"""
3084,PINTOR GUSTAVO DE MAEZTU,calle del Pintor Gustavo Maeztu,Q118367527,GUSTAVO MAEZTU MARGOLARIAREN KALEA,GUSTAVO MAEZTU MARGOLARIAREN KALEA,""CALLE"""
