zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
6600,MI«?AO/MI«?ANO MAYOR,Mi«Òano Mayor,Q625440,MI«?AO,MI«?AO,""ENTIDAD"""
2685,MICAELA PORTILLA,Micaela Portilla,Q3754076,MICAELA PORTILLA KALEA,MICAELA PORTILLA KALEA,""CALLE"""
2695,""MIGUEL DE UNAMUNO, AVENIDA"",Miguel de Unamuno,Q185085,MIGUEL UNAMUNO HIRIBIDEA,MIGUEL UNAMUNO HIRIBIDEA,""AVENIDA"""
4559,MIGUEL HERNANDEZ,Miguel Hern«≠ndez,Q332088,MIGUEL HERNANDEZ KALEA,MIGUEL HERNANDEZ KALEA,""CALLE"""
4930,MIGUEL LATOURNEUR,Miguel Latourneur,Q123434321,MIGUEL LATOURNEUR KALEA,MIGUEL LATOURNEUR KALEA,""CALLE"""
2690,MIGUEL MIEG,Miguel Mieg Alonso,Q82788464,MIGUEL MIEG KALEA,MIGUEL MIEG KALEA,""CALLE"""
2700,""MIRADOR, PASEO DEL"",atalaya,Q947103,BEGIRATOKIKO IBILBIDEA,BEGIRATOKIKO IBILBIDEA,""PASEO"""
2710,MIRANDA DE EBRO,Miranda de Ebro,Q11994,MIRANDA DE EBRO KALEA,MIRANDA DE EBRO KALEA,""CALLE"""
2720,MIRAVALLES,Miravalles,Q1228035,MIRAVALLES KALEA,MIRAVALLES KALEA,""CALLE"""
4655,MIREN MARTINEZ SAEZ DEL BURGO,MIREN MARTINEZ SAEZ DEL BURGO,,MIREN MARTINEZ SAEZ DEL BURGO KALEA,MIREN MARTINEZ SAEZ DEL BURGO KALEA,""CALLE"""
2751,""MOLINUEVO, PARQUE"",Jos«∏ Luis Molinuevo,Q2407524,MOLINUEVO PARKEA,MOLINUEVO PARKEA,""PARQUE"""
4536,MONASTERIO DE IRATXE,MONASTERIO DE IRATXE,,IRATXEKO MONASTERIOAREN KALEA,IRATXEKO MONASTERIOAREN KALEA,""CALLE"""
4567,MONASTERIO DE LEIRE,Monasterio de San Salvador de Leire,Q669194,LEIREKO MONASTERIOAREN KALEA,LEIREKO MONASTERIOAREN KALEA,""CALLE"""
6620,MONASTERIOGUREN,Monasterioguren,Q631024,MONASTERIOGUREN,MONASTERIOGUREN,""ENTIDAD"""
2730,MONDRAGON,Mondrag«¸n,Q491922,ARRASATE KALEA,ARRASATE KALEA,""CALLE"""
700,MONSE«?OR CADENA Y ELETA,calle del Monse«Òor Cadena y Eleta,Q118601380,CADENA Y ELETA APEZPIKUAREN KALEA,CADENA Y ELETA APEZPIKUAREN KALEA,""CALLE"""
