zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
1960,ITURRIZABALA,Iturzabaleta,Q95619158,ITURRIZABALA KALEA,ITURRIZABALA KALEA,CALLE
4781,ITURRIZULO,ITURRIZULO,,ITURRIZULO KALEA,ITURRIZULO KALEA,CALLE
4956,ITXINAGA,ITXINAGA,,ITXINAGA KALEA,ITXINAGA KALEA,CALLE
4914,IZKI,Izki,Q2876511,IZKI KALEA,IZKI KALEA,CALLE
1963,JACINTO ARREGUI,Jacinto Arregui,Q123485407,JACINTO ARREGI KALEA,JACINTO ARREGI KALEA,CALLE
1965,JACINTO BENAVENTE,Jacinto Benavente,Q83184,JACINTO BENAVENTE KALEA,JACINTO BENAVENTE KALEA,CALLE
4535,JACINTO QUINCOCES,Jacinto Quincoces,Q529087,JACINTO QUINCOCES KALEA,JACINTO QUINCOCES KALEA,CALLE
4843,JERONIMO ROURE,Gerónimo Roure Fernández,Q116681155,JERONIMO ROURE KALEA,JERONIMO ROURE KALEA,CALLE
1970,JESUS GURIDI,Jesús Guridi,Q978147,JESUS GURIDI KALEA,JESUS GURIDI KALEA,CALLE
1971,"JESUS MARIA DE LEIZAOLA, PLAZA",Jesús María Leizaola,Q644465,JESUS MARIA LEIZAOLA PLAZA,JESUS MARIA LEIZAOLA PLAZA,PLAZA
4792,JESUS MARIA VELASCO,José María Velasco,Q610971,JESUS MARIA VELASCO KALEA,JESUS MARIA VELASCO KALEA,CALLE
1973,JOAQUIN COLLAR,calle de Joaquín Collar,Q118601582,JOAQUIN COLLAR KALEA,JOAQUIN COLLAR KALEA,CALLE
2155,JOAQUIN JOSE LANDAZURI,Joaquín José de Landázuri y Romarate,Q5932133,JOAQUIN JOSE LANDAZURI KALEA,JOAQUIN JOSE LANDAZURI KALEA,CALLE
2156,"JOAQUIN JOSE LANDAZURI, PASAJE DE",Joaquín José de Landázuri y Romarate,Q5932133,JOAQUIN JOSE LANDAZURI PASABIDEA,JOAQUIN JOSE LANDAZURI PASABIDEA,PASAJE
4642,"JORGE DIEZ ELORZA , JARDINES",Jorge Díez Elorza,Q109327361,JORGE DIEZ ELORZA LORATEGIA,JORGE DIEZ ELORZA LORATEGIA,JARDIN
4862,JORGE FERNANDEZ IBARRA,calle de Jorge Fernández Ibarra,Q118287667,JORGE FERNANDEZ IBARRA KALEA,JORGE FERNANDEZ IBARRA KALEA,CALLE
