zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
4698,LA HAYA,La Haya,Q36600,HAGA KALEA,HAGA KALEA,"CALLE"
1920,LA IGLESIA,LA IGLESIA,,ELIZA KALEA,ELIZA KALEA,"CALLE"
4768,"LA ILIADA, PASEO DE",LA ILIADA,,ILIADA  IBILBIDEA,ILIADA  IBILBIDEA,"PASEO"
4710,"LA ILUSTRACION, AVENIDA DE",La Ilustración de Álava,Q26195232,ILUSTRAZIOAREN HIRIBIDEA,ILUSTRAZIOAREN HIRIBIDEA,"AVENIDA"
4941,"LA LARRA, PASEO DE",LA LARRA,,LARRA IBILBIDEA,LARRA IBILBIDEA,"PASEO"
2150,LA LIBERTAD,LA LIBERTAD,,ASKATASUN KALEA,ASKATASUN KALEA,"CALLE"
4662,"LA LIBERTAD , JARDINES DE",LA LIBERTAD,,ASKATASUNAREN LORATEGIA,ASKATASUNAREN LORATEGIA,"JARDIN"
4984,"LA MEMORIA, PLAZA DE",LA MEMORIA,,MEMORIAREN PLAZA,MEMORIAREN PLAZA,"PLAZA"
4700,"LA MUSICA, PASEO DE",LA MUSICA,,MUSIKAREN IBILBIDEA,MUSIKAREN IBILBIDEA,"PASEO"
2160,LA PALOMA,LA PALOMA,,LA PALOMA KALEA,LA PALOMA KALEA,"CALLE"
3000,LA PAZ,LA PAZ,,BAKE KALEA,BAKE KALEA,"CALLE"
2170,LA PE�,LA PE�,,HAITZ KALEA,HAITZ KALEA,"CALLE"
2180,LA PRESA,LA PRESA,,PRESA KALEA,PRESA KALEA,"CALLE"
3200,"LA PROVINCIA, PLAZA DE",LA PROVINCIA,,PROBINTZIA PLAZA,PROBINTZIA PLAZA,"PLAZA"
2190,LA RIBERA,LA RIBERA,,IBAIALDE KALEA,IBAIALDE KALEA,"CALLE"
4508,LA SALCEDA,La Salceda,Q95621137,SALCEDA KALEA,SALCEDA KALEA,"CALLE"
3840,"LA SENDA, PASEO DE",LA SENDA,,SENDA IBILBIDEA,SENDA IBILBIDEA,"PASEO"
3920,"LA SOLEDAD, CANTON DE",LA SOLEDAD,,BAKARDADE KANTOIA,BAKARDADE KANTOIA,"CANTON"
4750,"LA UNESCO , PASEO DE",UNESCO,Q7809,UNESCOREN IBILBIDEA,UNESCOREN IBILBIDEA,"PASEO"
4716,"LA UNICEF , PASEO DE",UNICEF,Q740308,UNICEFEN IBILBIDEA,UNICEFEN IBILBIDEA,"PASEO"
4682,"LA UNION , PLAZA DE",LA UNION,,EUROPAR BATASUNAREN PLAZA,EUROPAR BATASUNAREN PLAZA,"PLAZA"
2490,"LA UNIVERSIDAD, PASEO DE",LA UNIVERSIDAD,,UNIBERTSITATEKO IBILBIDEA,UNIBERTSITATEKO IBILBIDEA,"PASEO"
4745,LA VALLETTA,LA VALLETTA,,VALLETTA KALEA,VALLETTA KALEA,"CALLE"
4320,"LA ZUMAQUERA, PASEO DE",LA ZUMAQUERA,,ZUMAKADI IBILBIDEA,ZUMAKADI IBILBIDEA,"PASEO"
4330,"LA ZUMAQUERA, PLAZUELA DE",paseo de la Zumaquera,Q108202788,ZUMAKADI PLAZATXOA,ZUMAKADI PLAZATXOA,"PLAZUELA"
4760,LABASTIDA,Labastida,Q1155351,BASTIDA KALEA,BASTIDA KALEA,"CALLE"
4798,"LABRAZA, PASEO DE",Labraza,Q2600549,LABRAZA IBILBIDEA,LABRAZA IBILBIDEA,"PASEO"
2127,LAKUABURUA,LAKUABURUA,,LAKUABURUA KALEA,LAKUABURUA KALEA,"CALLE"
4667,LANBARRIA,LANBARRIA,,LANBARRI KALEA,LANBARRI KALEA,"CALLE"
4782,LANCIEGO,Lanciego,Q1443959,LANTZIEGO KALEA,LANTZIEGO KALEA,"CALLE"
4945,LANDA,LANDA,,LANDA KALEA,LANDA KALEA,"CALLE"
2192,LANDABERDE,Estación de Landaverde,Q4321293,LANDABERDE KALEA,LANDABERDE KALEA,"CALLE"
4611,LANDABI�,LANDABI�,,LANDABI��A K,LANDABI��A K,"CALLE"
2152,LANDALUZEA,LANDALUZEA,,LANDALUZEA KALEA,LANDALUZEA KALEA,"CALLE"
4816,LAPUEBLA DE LABARCA,Lapuebla de Labarca,Q1445242,LAPUEBLA DE LABARCA KALEA,LAPUEBLA DE LABARCA KALEA,"CALLE"
4581,LAPURDI,Labort,Q671023,LAPURDI KALEA,LAPURDI KALEA,"CALLE"
2194,LARRABAZTERRA,LARRABAZTERRA,,LARRABAZTERRA KALEA,LARRABAZTERRA KALEA,"CALLE"
2200,LARRAGANA,LARRAGANA,,LARRAGANA KALEA,LARRAGANA KALEA,"CALLE"
4918,LARRANGOITI,Larrangoiti,Q12261919,LARRANGOITI KALEA,LARRANGOITI KALEA,"CALLE"
4894,LARREA,Larrea,Q2743345,LARREA KALEA,LARREA KALEA,"CALLE"
4503,LARRIMBE,Larrimbe,Q3218002,LARRINBE KALEA,LARRINBE KALEA,"CALLE"
4935,LARRINPEA,LARRINPEA,,LARRINPEA KALEA,LARRINPEA KALEA,"CALLE"
4947,LARRINTZAR,Larrínzar,Q52046834,LARRINTZAR KALEA,LARRINTZAR KALEA,"CALLE"
2210,LAS ACACIAS,LAS ACACIAS,,AKAZIA KALEA,AKAZIA KALEA,"CALLE"
2212,"LAS ANTILLAS, PASAJE",Antillas,Q166131,ANTILLETAKO PASABIDEA,ANTILLETAKO PASABIDEA,"PASAJE"
4624,LAS ARENAS,LAS ARENAS,,AREATZA KALEA,AREATZA KALEA,"CALLE"
