qid	labels
Q9771
Q1523
Q9780
Q9782
Q9783
Q6928
Q9785
Q9786	hcfc
Q9787	h
Q9788
Q4387
Q9791
Q9792
Q9793
Q9796
Q9797
Q9798	klima aldaketari buruzko gobernu arteko taldea|IPCC
Q9801
Q9804	kiotoko protokoloa
Q9803
Q9807	zabortegi
Q9808
Q9809
Q9810
Q9811	lider
Q9813
Q9814	longitude
Q9821
Q9822
Q9825	montrealeko protokoloa
Q9827
Q9829	hondamen natural
Q9830
Q9834
Q9835
Q9836
Q9839
Q9843	ozono
Q9844	ozono geruza|ozono-geruza
Q9846	partikula fin|partikula eseki
Q9848	milioiko
Q9852
Q9854
Q9855
Q9856
Q9858
Q9862
Q9866	garraio kolektibo
Q9868
Q9870
Q9872	birziklapena|birziklaketa|birziklagarri|birzikla
Q9873
Q9874	basotze|basoberritze
Q9875
Q9884
Q9886
Q9887
Q9888	autodeterminazio
Q9891
Q9892	esmog
Q9898
Q9902
Q9906
Q9907
Q9908
Q9909
Q9910
Q9911
Q9916
Q9924
Q9926	bero-dilatazio
Q9927
Q9928
Q9932
Q9935
Q9936
Q9937
Q9938	nazio batuen konbentzio esparrua klima aldaketaz|FCCC
Q9941
Q9942	hirigintza|hirigile
Q9943
Q9944	urbanizazio|hiritze
Q9945
Q9947
Q9948
Q9951
Q9956	ur lurrun|ur lurrin
Q9957
Q9959	haizearen jobide|haizearen direkzio
Q2576	haize-ufada|haize-parrasta
Q9960
Q9961
