order,prop,propLabel,datatype,wikidata_prop,zotero,ontologyprop,
144,P144,has version LCR,WikibaseItem,,,,
145,P145,is combined with LCR,WikibaseItem,,,,
146,P146,index page,Url,,,,
147,P147,cites,WikibaseItem,P2860,,,
148,P148,term with homograph label,WikibaseItem,,,,
149,P149,infers labels from,WikibaseItem,,,,
150,P150,source language,WikibaseItem,,,,
151,P151,lemma type,WikibaseItem,,,,
152,P152,dictionary text part,WikibaseItem,,,,
153,P153,reserved (item),WikibaseItem,,,,
154,P154,resource creator,WikibaseItem,P50,,,
155,P155,IPR holder,WikibaseItem,,,,
156,P156,LCR name,Monolingualtext,P1476,,,
157,P157,LCR provider,WikibaseItem,P123,,,
158,P158,inEntitySchema,EntitySchema,,,,
159,P159,cardinality,String,,,,
160,P160,glottolog reference code,ExternalId,,,,
161,P161,number of entries,String,,,,
162,P162,author(s) literal,String,,,,
163,P163,publisher(s) literal,String,,,,
164,P164,publishing place(s) literal,String,,,,
165,P165,described on lexbib wikipage,ExternalId,,,,
166,P166,rdf:type (OWL),Url,,,,
167,P167,skos:exactMatch (OWL),Url,,,,
168,P168,domain,WikibaseItem,,,,
169,P169,subPropertyOf (OWL),Url,,,,
170,P170,range expression (OWL),String,,,,
171,P171,affiliation,WikibaseItem,P108,,,
172,P172,contributor,WikibaseItem,,,,
173,P173,test property,WikibaseItem,,,,
174,P174,Inguma Wikibase ID,ExternalId,,,,
175,P175,pivot language,WikibaseItem,,,,
176,P176,TECLING term profile,ExternalId,,,,
177,P177,is realisation of,WikibaseItem,,,,
178,P178,has outcome,WikibaseItem,,,,
179,P179,has converted version,WikibaseItem,,,,
181,P181,date of creation,Time,,,,
182,P182,translator,WikibaseItem,,translator,,
