nkcr,wd
ge672207,Q254829
ge752790,Q261243
ge761130,Q261440
ge877489,Q268856
ge928020,Q266648
ph1096820,Q248874
ph487765,Q244655
ge1066267,Q275366
ge128622,Q278877
ge130448,Q282602
ge130800,Q282028
ge286169,Q284535
ge292992,Q287522
ge357629,Q286138
ge390949,Q288413
ge445534,Q284480
ge468114,Q276858
ge485881,Q282536
ge550355,Q269346
ge605534,Q282461
ge678843,Q279951
ge680410,Q280468
ge761995,Q289568
ph116923,Q294385
ph623206,Q287942
ph766120,Q280855
ph779405,Q271873
ge075253,Q301178
ge1084770,Q300701
ge117748,Q302574
ge131139,Q302948
ge191224,Q319813
ge328962,Q309343
ge356537,Q302996
ge565418,Q316841
ge763163,Q318535
ge075315,Q340031
ge1014313,Q336029
ge1095498,Q322828
ge1108738,Q325732
ge1117585,Q333661
ge117050,Q338420
ge129566,Q327977
ge130507,Q327764
ge131132,Q320950
ge131641,Q337478
ge131659,Q338616
ge131680,Q339660
ge131709,Q341223
ge131711,Q341243
ge132349,Q341077
ge137089,Q329505
ge232076,Q338807
ge239893,Q340684
ge250322,Q324823
ge275190,Q330058
ge310001,Q330522
ge325735,Q330239
ge325777,Q334316
ge327059,Q330074
ge337653,Q341607
ge346073,Q324839
ge346501,Q338455
ge356567,Q339277
ge536167,Q345029
ge540919,Q341594
ge555143,Q337596
ge596981,Q338914
ge602830,Q332883
ge616228,Q320704
ge647465,Q326123
ge665182,Q342186
ge713493,Q331577
ge734095,Q328067
ge885687,Q324884
ph405075,Q324916
ph549719,Q329534
ge1090681,Q374619
ge1118811,Q372541
ge1120219,Q375769
ge128636,Q356427
ge130951,Q371166
ge131081,Q370445
ge326817,Q369005
ge340602,Q369274
ge369167,Q363794
ge375799,Q369098
ge418945,Q373059
ge420194,Q371902
ge529021,Q370003
ge542722,Q373414
ge587071,Q376866
ge761174,Q374423
ge767383,Q376338
ge807375,Q371158
ge889172,Q376157
ge900161,Q369571
ge959347,Q369323
ge999097,Q372093
ph117269,Q372436
ge1014746,Q389397
ge1088971,Q390358
ge1091565,Q391430
ge129811,Q388235
ge129845,Q383415
ge129848,Q383850
ge130506,Q385016
ge131553,Q392624
ge131564,Q392676
ge131566,Q392692
ge131571,Q392779
ge131614,Q393955
ge131634,Q394513
ge230175,Q392206
ge296311,Q391664
ge332700,Q393298
ge333347,Q386793
ge334769,Q379026
ge339381,Q390990
ge340589,Q386820
ge361195,Q393981
ge372129,Q407390
ge376006,Q393500
ge388776,Q386809
ge436177,Q391482
ge438601,Q392523
ge468765,Q406222
ge506495,Q395367
ge518762,Q396545
ge535358,Q382958
ge571404,Q386487
ge577301,Q405784
ge652806,Q392489
ge673209,Q389524
ge709416,Q387027
ge758667,Q392192
ge760773,Q405726
ge852936,Q392243
ge889148,Q393313
ge919608,Q391779
ge928255,Q378822
ge934770,Q396590
ge936045,Q391231
ge942190,Q381499
ge959782,Q393571
ph1097089,Q389647
ph774884,Q404517
ge130151,Q431111
ge137353,Q428409
ge336538,Q428198
ge338478,Q430951
ge491542,Q429461
ge546155,Q430433
ge602834,Q430147
ge627066,Q428504
ph549714,Q423522
ge1061450,Q463937
ge128820,Q465312
ge130003,Q460925
ge216293,Q461426
ge251111,Q462461
ge369096,Q445609
ge526469,Q464904
ge612408,Q464266
ge693582,Q464936
ge852889,Q459204
ge985683,Q446669
ge987219,Q461252
ph380405,Q445762
ge1066941,Q481738
ge128707,Q488555
ge129619,Q470369
ge134042,Q491535
ge259807,Q487527
ge325733,Q474589
ge345820,Q474601
ge351128,Q473147
ge396297,Q486282
ge413589,Q487513
ge448297,Q491316
ge518425,Q492224
ge632042,Q490457
ge649012,Q481414
ge703918,Q492366
ge731392,Q490453
ge754132,Q474051
ge759164,Q485898
ge765083,Q490185
ge775017,Q493787
ge778257,Q488612
ge798821,Q484245
ge932878,Q491667
ge973317,Q487958
ph487774,Q467777
ge1060521,Q505915
ge1068753,Q512928
ge1069920,Q501796
ge1103560,Q502215
ge1124721,Q514762
ge128888,Q518360
ge138177,Q501833
ge149432,Q498009
ge161957,Q502264
ge198285,Q499519
ge250318,Q519659
ge261002,Q494747
ge293071,Q503757
ge293072,Q502488
ge325702,Q513987
ge338243,Q517128
ge361243,Q510845
ge369085,Q503140
ge388067,Q504579
ge396027,Q505707
ge402030,Q516540
ge442379,Q510481
ge448314,Q504058
ge536318,Q495778
ge568356,Q507958
ge591207,Q500061
ge625037,Q507319
ge625415,Q515423
ge633018,Q504634
ge653952,Q500397
ge679088,Q518368
ge685029,Q502042
ge733789,Q504914
ge755469,Q518392
ge761028,Q504590
ge761123,Q519928
ge763078,Q507721
ge763242,Q502926
ge763429,Q499861
ge763823,Q504040
ge763958,Q519157
ge771749,Q507854
ge825957,Q498560
ge902865,Q506494
ge931387,Q497697
ge936127,Q518204
ge946059,Q513381
ge971037,Q505495
ge973822,Q518094
ge987888,Q500481
ph137902,Q517656
ph549740,Q519818
ph714901,Q505198
ge083126,Q533657
ge1032171,Q526353
ge1061660,Q539726
ge1092933,Q543387
ge1118283,Q522862
ge118390,Q530229
ge129007,Q534871
ge138108,Q524856
ge156547,Q528071
ge338269,Q540854
ge350981,Q530204
ge351104,Q530269
ge368563,Q534267
ge411805,Q529279
ge416356,Q521992
ge449485,Q542076
ge451770,Q524993
ge487179,Q533534
ge494167,Q539174
ge538908,Q539102
ge624909,Q540779
ge639091,Q525632
ge649074,Q522362
ge650045,Q543583
ge664273,Q542619
ge683886,Q542642
ge760755,Q523956
ge760857,Q535674
ge763118,Q542878
ge763946,Q525425
ge822370,Q523875
ge834505,Q533277
ge931804,Q532803
ge937450,Q534053
ph1118835,Q543310
ph124995,Q543654
ph330275,Q542340
ge079124,Q559966
ge1080097,Q561334
ge1080544,Q547075
ge1087063,Q550808
ge1089092,Q548870
ge1093138,Q556352
ge1094665,Q550434
ge129080,Q571322
ge173074,Q547910
ge174000,Q548797
ge327055,Q569159
ge351042,Q570296
ge423488,Q567835
ge451762,Q548619
ge452938,Q570060
ge601639,Q570564
ge632004,Q572191
ge704553,Q566292
ge763848,Q558614
ge970259,Q546866
ge972794,Q568984
ph369394,Q570919
ph549748,Q573972
ph779416,Q552373
ge1044178,Q600301
ge1093132,Q582545
ge128714,Q578950
ge129615,Q600063
ge130220,Q587442
ge130309,Q585138
ge130426,Q590362
ge130978,Q580155
ge131102,Q605051
ge134287,Q580868
ge146359,Q596104
ge160369,Q578950
ge206116,Q592762
ge293160,Q583485
ge339308,Q587139
ge346075,Q578804
ge351136,Q577348
ge407240,Q574768
ge437844,Q606447
ge445536,Q580520
ge550260,Q581574
ge562277,Q603664
ge593197,Q583505
ge612451,Q602563
ge649013,Q581023
ge726336,Q586263
ge754128,Q575249
ge756396,Q593627
ge763817,Q585627
ge763840,Q583458
ge893132,Q600313
ge908195,Q589911
ge964652,Q605513
ph161931,Q595801
ph218067,Q575929
ph733355,Q591145
ge1043090,Q622819
ge1075435,Q636734
ge1075475,Q632361
ge1089530,Q623420
ge117718,Q614356
ge130446,Q639814
ge292026,Q624274
ge293163,Q632993
ge297149,Q639212
ge325727,Q627938
ge335302,Q632989
ge371801,Q610432
ge401549,Q630932
ge427650,Q631837
ge606598,Q607583
ge646226,Q630722
ge662612,Q628981
ge761207,Q627521
ge894273,Q625768
ph114387,Q631004
ph117128,Q631013
ph311293,Q634629
ge1088753,Q649621
ge1098448,Q661059
ge1123460,Q661800
ge117362,Q644801
ge129579,Q661110
ge130349,Q653291
ge130377,Q667920
ge130411,Q659424
ge131008,Q646659
ge131258,Q662194
ge134228,Q668190
ge160075,Q669883
ge190843,Q654014
ge192298,Q659905
ge258968,Q666418
ge307695,Q652981
ge325728,Q653554
ge337669,Q645185
ge338887,Q664626
ge339828,Q652082
ge340818,Q662017
ge351078,Q666774
ge356757,Q663211
ge369119,Q649069
ge369139,Q662048
ge378756,Q669829
ge406274,Q644669
ge442673,Q640046
ge443945,Q664179
ge502923,Q644195
ge527096,Q667387
ge552262,Q663202
ge691453,Q668259
ge722581,Q650710
ge722913,Q653656
ge723868,Q640190
ge732031,Q660854
ge735542,Q640469
ge758681,Q643807
ge759129,Q660716
ge773914,Q641117
ge914589,Q642192
ph117866,Q644560
ph349212,Q644960
ph549770,Q648535
ph772704,Q653347
ge1064148,Q674311
ge1064871,Q693343
ge1093504,Q692721
ge1106948,Q676290
ge1124065,Q683242
ge1125318,Q681692
ge129779,Q690807
ge130329,Q689164
ge137191,Q697073
ge138005,Q679343
ge138006,Q679359
ge138008,Q700267
ge138248,Q693657
ge149785,Q682575
ge280855,Q687714
ge307124,Q681475
ge307792,Q672337
ge332696,Q683573
ge344477,Q671535
ge390113,Q671638
ge413585,Q683600
ge446915,Q695232
ge449420,Q699923
ge544966,Q676441
ge547508,Q670956
ge627122,Q700680
ge632635,Q685358
ge636702,Q676890
ge642121,Q693628
ge691073,Q679384
ge744966,Q681628
ge758524,Q686680
ge759930,Q674516
ge764258,Q671343
ge764792,Q677967
ge771425,Q699786
ge772813,Q690052
ge780501,Q678958
ge807066,Q671486
ge814070,Q679580
ge828353,Q671445
ge828716,Q677544
ge875353,Q674814
ge886511,Q700460
ge903481,Q675952
ge957901,Q680842
ge976153,Q694270
ph120091,Q678116
ph284034,Q681517
ph549747,Q696689
ph549752,Q697897
ph549753,Q683044
ph616011,Q699602
ph914272,Q691887
ge1038466,Q706541
ge1106684,Q713315
ge131335,Q705952
ge134500,Q727248
ge274409,Q728224
ge648116,Q717399
ge649011,Q701004
ge682148,Q708821
ge844301,Q708092
ge900108,Q714984
ge928197,Q714635
ph653784,Q705936
ge075501,Q733289
ge079122,Q760487
ge1002718,Q747509
ge1042870,Q737660
ge1093436,Q756585
ge130357,Q746111
ge130870,Q754788
ge134581,Q733581
ge200634,Q738955
ge292048,Q749597
ge307745,Q730761
ge339902,Q737803
ge342295,Q749807
ge371260,Q728997
ge390960,Q747172
ge451745,Q750416
ge530684,Q731073
ge552751,Q746119
ge752448,Q745809
ge752794,Q739353
ge760470,Q731739
ge760729,Q740952
ge872777,Q735628
ge980216,Q750583
ge997344,Q748718
ph124048,Q744068
ph484317,Q746656
ge1094505,Q788322
ge129526,Q795077
ge130082,Q774975
ge130152,Q776553
ge138638,Q771524
ge166412,Q778954
ge197808,Q764320
ge214227,Q791614
ge262413,Q788911
ge307144,Q779380
ge337708,Q769403
ge340781,Q762900
ge360213,Q773008
ge371775,Q767447
ge371785,Q776788
ge381696,Q766465
ge382706,Q766877
ge390269,Q783545
ge503106,Q783537
ge749047,Q773774
ge766707,Q798619
ge769879,Q786124
ge815286,Q780293
ge889423,Q789256
ge889425,Q789265
ge893435,Q795003
ge1057402,Q816233
ge1058515,Q825042
ge1076237,Q803039
ge1077973,Q801894
ge1108707,Q837964
ge128708,Q804489
ge128739,Q816825
ge129275,Q826452
ge129580,Q838341
ge129876,Q838292
ge130370,Q838329
ge130644,Q829812
ge130886,Q833856
ge172658,Q803039
ge222689,Q803349
ge335871,Q802955
ge396975,Q818173
ge415166,Q816096
ge420003,Q802572
ge475765,Q827501
ge485052,Q800004
ge525204,Q836201
ge559382,Q807310
ge564123,Q835429
ge629651,Q838612
ge679146,Q806906
ge750452,Q837219
ge763232,Q838870
ge775455,Q805457
ge780497,Q804149
ge884769,Q820476
ge893187,Q819181
ge895035,Q821992
ge935086,Q826988
ge935852,Q803287
ge981244,Q806962
ph117405,Q830626
ph118585,Q811165
ph119409,Q831772
ph216787,Q832266
ph549766,Q815148
ph549772,Q815203
ge1047518,Q871549
ge1125679,Q843134
ge128692,Q844930
ge128758,Q853424
ge130103,Q852511
ge130125,Q852463
ge130586,Q841296
ge137832,Q854608
ge180810,Q868527
ge281463,Q853468
ge329566,Q866405
ge384609,Q850031
ge422725,Q842018
ge422773,Q848988
ge423492,Q871584
ge432643,Q840678
ge447085,Q853812
ge475430,Q853601
ge506806,Q850869
ge522476,Q855220
ge627126,Q871383
ge680413,Q843849
ge710922,Q868684
ge726583,Q841356
ge726836,Q859413
ge766417,Q855820
ge899905,Q854491
ph114963,Q862072
ge1012687,Q896960
ge1094659,Q898484
ge1105607,Q905803
ge128778,Q891004
ge128798,Q894301
ge128800,Q894440
ge128810,Q898468
ge130053,Q901050
ge131083,Q903177
ge163367,Q907112
ge203982,Q894103
ge242854,Q909364
ge272756,Q898791
ge291193,Q890746
ge307116,Q890983
ge311218,Q882608
ge330015,Q891002
ge336543,Q883250
ge336740,Q894107
ge345868,Q890979
ge351925,Q888865
ge371278,Q894106
ge437413,Q899928
ge530215,Q877609
ge552085,Q874441
ge560259,Q904223
ge591451,Q907894
ge646433,Q899751
ge799366,Q877393
ge805331,Q909733
ge851046,Q882138
ge870760,Q898942
ge891210,Q898782
ge930699,Q877903
ge972982,Q898114
ge990930,Q884495
ph1096414,Q908902
ge1045681,Q930449
ge1051335,Q937294
ge1064426,Q920253
ge1093411,Q935846
ge1094654,Q920824
ge129031,Q936537
ge130039,Q916118
ge165118,Q913898
ge256101,Q938212
ge280853,Q929050
ge298994,Q922207
ge338263,Q926599
ge341119,Q913991
ge375485,Q932034
ge375970,Q916149
ge436319,Q938550
ge450538,Q939436
ge545962,Q929677
ge559381,Q938412
ge560206,Q911359
ge564804,Q936522
ge586834,Q924012
ge602564,Q926275
ge646387,Q935744
ge750357,Q928405
ge805258,Q932234
ge834169,Q940239
ge870483,Q922488
ge891211,Q917858
ge1018799,Q953409
ge1118907,Q955126
ge130013,Q967470
ge130876,Q944916
ge138211,Q948185
ge229427,Q945348
ge301850,Q960753
ge334760,Q957333
ge346763,Q963060
ge436483,Q952212
ge571790,Q954132
ge598196,Q961565
ge612693,Q956108
ge696730,Q944367
ge701684,Q954143
ge708261,Q948304
ge977172,Q950205
ge1005758,Q995872
ge1041307,Q1001598
ge1044296,Q1000336
ge1064100,Q997392
ge1070270,Q986130
ge1078042,Q994203
ge1107129,Q990226
ge1121036,Q987991
ge128548,Q973974
ge128832,Q990988
ge128849,Q1001379
ge129720,Q1000046
ge129851,Q986082
ge130483,Q1002670
ge130705,Q1000091
ge131063,Q1001600
ge136506,Q992949
ge137200,Q1003333
ge138929,Q1003179
ge139080,Q984057
ge232186,Q983701
ge291799,Q978098
ge334560,Q994196
ge337681,Q979063
ge345810,Q992092
ge351911,Q997762
ge355166,Q995055
ge379464,Q972269
ge436165,Q980624
ge466031,Q1001466
ge474351,Q980843
ge507296,Q991313
ge557003,Q991022
ge557810,Q1003358
ge665973,Q999614
ge669553,Q983710
ge694588,Q1003001
ge736920,Q1003267
ge753883,Q989427
ge756397,Q1006767
ge758112,Q1001322
ge763790,Q988638
ge816210,Q973985
ge879080,Q991738
ge891328,Q987458
ge896654,Q999378
ge899364,Q1006611
ge918475,Q984874
ge958746,Q990173
ph779381,Q975123
ge1045691,Q1014893
ge1049178,Q1025475
ge1050181,Q1021319
ge1065028,Q1025235
ge1076607,Q1016951
ge1089774,Q1010232
ge1107873,Q1026940
ge1121931,Q1022840
ge1121949,Q1031541
ge117368,Q1025309
ge128868,Q1018694
ge128884,Q1022054
ge128886,Q1019942
ge128887,Q1021072
ge128959,Q1013838
ge128963,Q1018863
ge129265,Q1013864
ge129368,Q1023875
ge129461,Q1013870
ge129604,Q1023865
ge130153,Q1021621
ge130230,Q1017806
ge130662,Q1025213
ge131239,Q1019344
ge137117,Q1013035
ge137299,Q1020927
ge150338,Q1021707
ge292788,Q1011578
ge296301,Q1022317
ge314776,Q1018431
ge346767,Q1026781
ge346775,Q1026774
ge366645,Q1027932
ge371620,Q1019105
ge375771,Q1013904
ge378014,Q1022040
ge390051,Q1023574
ge390899,Q1017278
ge451729,Q1025249
ge452950,Q1015281
ge497933,Q1025216
ge541871,Q1020091
ge571330,Q1029508
ge577689,Q1016085
ge577964,Q1015172
ge578638,Q1020157
ge581654,Q1022143
ge618330,Q1034039
ge658296,Q1020330
ge707546,Q1022485
ge759936,Q1027830
ge760187,Q1017897
ge760539,Q1022967
ge769995,Q1025864
ge785285,Q1022207
ge814344,Q1018639
ge981021,Q1021187
ge1010813,Q1068536
ge1033199,Q1059058
ge1087328,Q1057925
ge1091968,Q1070929
ge134647,Q1062525
ge152013,Q1076846
ge168790,Q1074373
ge214824,Q1046848
ge226283,Q1075678
ge232237,Q1075444
ge325765,Q1075705
ge326971,Q1075407
ge367610,Q1075682
ge396025,Q1075686
ge410261,Q1075057
ge581894,Q1052130
ge628142,Q1050646
ge633180,Q1047596
ge799297,Q1075656
ge915475,Q1048311
ge927488,Q1070062
ge932879,Q1074035
ge982075,Q1076672
ge1044908,Q1088760
ge1094311,Q1091679
ge1094415,Q1084406
ge1096509,Q1088573
ge1106673,Q1093861
ge1122945,Q1093428
ge129725,Q1108445
ge138031,Q1088187
ge202935,Q1088959
ge336925,Q1087506
ge340810,Q1088195
ge351077,Q1088428
ge389863,Q1093470
ge503327,Q1091714
ge546142,Q1080683
ge630753,Q1099422
ge979158,Q1095697
ph135734,Q1093538
ph633461,Q1093728
ge1123041,Q1124897
ge130000,Q1150268
ge268061,Q1116594
ge338787,Q1122629
ge408681,Q1130641
ge538907,Q1148688
ge667794,Q1124897
ge680033,Q1143832
ge750042,Q1126509
ge869724,Q1135372
ge994021,Q1143203
ph767232,Q1130522
ge1016379,Q1156518
ge406275,Q1192056
ge445269,Q1158060
ge659198,Q1179359
ge718510,Q1183960
ge725163,Q1186961
ge726051,Q1186186
ge769255,Q1184776
ge831687,Q1178090
ge889047,Q1186966
ge960005,Q1186056
ge966872,Q1184593
ge978650,Q1184359
ge990868,Q1186522
ph117867,Q1153311
ph126229,Q1163234
ph254489,Q1153760
ge1124172,Q1235455
ge129014,Q1233524
ge129032,Q1236066
ge139083,Q1237299
ge163825,Q1236882
ge257641,Q1236224
ge285740,Q1231851
ge293096,Q1194178
ge311482,Q1192851
ge337667,Q1207470
ge337684,Q1233686
ge351090,Q1194508
ge369011,Q1236301
ge426721,Q1236944
ge482198,Q1236817
ge718413,Q1229228
ge772199,Q1210574
ge781796,Q1236192
ge808402,Q1225474
ge915180,Q1227651
ge977642,Q1218948
ph137967,Q1200988
ph442524,Q1228809
ph683115,Q1192933
ge1050339,Q1280258
ge1062725,Q1255643
ge1105581,Q1269951
ge1121525,Q1241818
ge134375,Q1247143
ge161917,Q1252078
ge211844,Q1259633
ge268052,Q1260656
ge334120,Q1270839
ge389912,Q1261190
ge422148,Q1244388
ge436482,Q1280738
ge562278,Q1281952
ge752500,Q1272648
ge778681,Q1272665
ge799858,Q1244337
ge883666,Q1253722
ge913374,Q1278115
ge1017891,Q1309949
ge129909,Q1284878
ge338293,Q1290562
ge359921,Q1287241
ge679656,Q1300742
ge884723,Q1288526
ge908408,Q1324163
ge137202,Q1344108
ge137828,Q1362517
ge644526,Q1339238
ge880557,Q1339896
ph117868,Q1342266
ph121692,Q1338164
ph733353,Q1338440
ge1073132,Q1377324
ge156536,Q1395858
ge174150,Q1365768
ge293231,Q1384201
ge310530,Q1363920
ge355464,Q1394054
ge375787,Q1388600
ge440591,Q1376283
ge550246,Q1367021
ge681553,Q1376289
ge726885,Q1385642
ge904271,Q1402200
ge989905,Q1396049
ge1069102,Q1419155
ge1079939,Q1411894
ge130942,Q1444566
ge134276,Q1414103
ge138283,Q1419130
ge221540,Q1407742
ge327517,Q1421347
ge371615,Q1408826
ge375997,Q1431223
ge389871,Q1411700
ge390098,Q1447636
ge989640,Q1404827
ph1104076,Q1440399
ge277403,Q1456734
ge351081,Q1473052
ge390797,Q1456462
ge978805,Q1473858
ph1117823,Q1457492
ge1067428,Q1509577
ge1086646,Q1498917
ge130147,Q1527775
ge130782,Q1512325
ge171368,Q1543682
ge325786,Q1517405
ge334254,Q1502301
ge345633,Q1524965
ge401811,Q1537150
ge401961,Q1531985
ge408593,Q1496095
ge506034,Q1529260
ge548879,Q1509783
ge560485,Q1496048
ge681404,Q1535360
ge807964,Q1535360
ph224378,Q1516252
ph660016,Q1511204
ge1052314,Q1550421
ge117373,Q1574033
ge129130,Q1589128
ge129886,Q1584350
ge129910,Q1573557
ge204490,Q1545974
ge242319,Q1573352
ge356535,Q1573691
ge382979,Q1571641
ge540813,Q1550905
ge634038,Q1562236
ge763183,Q1574216
ge895055,Q1561942
ge117947,Q1611611
ge128380,Q1630884
ge129327,Q1632199
ge130010,Q1632441
ge138640,Q1611797
ge153147,Q1632468
ge153148,Q1632468
ge251153,Q1632309
ge307661,Q1625289
ge311447,Q1629025
ge330218,Q1591405
ge332505,Q1632643
ge338202,Q1626215
ge360119,Q1591574
ge376003,Q1622765
ge392598,Q1622741
ge394672,Q1632284
ge432553,Q1624267
ge765201,Q1634840
ge885640,Q1613826
ph115955,Q1593491
ge1086782,Q1674464
ge128619,Q1664615
ge129361,Q1636805
ge129644,Q1645575
ge130588,Q1650269
ge131193,Q1670436
ge239324,Q1665296
ge331052,Q1637841
ge334644,Q1678812
ge350997,Q1641791
ge359392,Q1664084
ge381585,Q1652772
ge383759,Q1638414
ge431560,Q1650956
ge514929,Q1637576
ge525388,Q1635442
ge756919,Q1659846
ge866075,Q1676889
ph123419,Q1640824
ph162927,Q1680700
ge114243,Q1692107
ge129419,Q1682943
ge129438,Q1686180
ge129458,Q1688552
ge130655,Q1720340
ge150521,Q1707326
ge158359,Q1702363
ge277395,Q1688761
ge325725,Q1694303
ge336065,Q1686681
ge339060,Q1702260
ge359889,Q1700487
ge366019,Q1722941
ge366643,Q1689553
ge421621,Q1718159
ge487416,Q1688028
ge537284,Q1688067
ge580100,Q1688000
ge629960,Q1723892
ge789298,Q1688591
ge801436,Q1713739
ge1039168,Q1750870
ge1055286,Q1735896
ge128564,Q1756968
ge129537,Q1734032
ge129539,Q1734030
ge130447,Q1756960
ge130880,Q1748352
ge131171,Q1761698
ge137327,Q1762083
ge137398,Q1750784
ge156542,Q1752528
ge266092,Q1739060
ge286293,Q1727857
ge307061,Q1751121
ge342308,Q1730619
ge371041,Q1765279
ge375492,Q1756925
ge547811,Q1743705
ge582539,Q1764226
ge732635,Q1734276
ge794237,Q1728268
ph137905,Q1735188
ge129676,Q1791250
ge129711,Q1792757
ge130081,Q1809680
ge130518,Q1793125
ge130553,Q1797922
ge137112,Q1811143
ge138579,Q1785839
ge173888,Q1789738
ge202677,Q1789716
ge257910,Q1790332
ge276451,Q1795250
ge291854,Q1776676
ge305812,Q1789611
ge307142,Q1796890
ge336328,Q1807638
ge339164,Q1779748
ge340450,Q1778678
ge340814,Q1790821
ge355178,Q1779685
ge366648,Q1782712
ge367022,Q1790528
ge367129,Q1792298
ge371803,Q1794829
ge382588,Q1784047
ge382707,Q1808744
ge386549,Q1787739
ge388820,Q1810166
ge398801,Q1796167
ge441384,Q1782626
ge448069,Q1777808
ge460880,Q1807880
ge460962,Q1785856
ge518037,Q1785083
ge547078,Q1785639
ge588896,Q1807053
ge600347,Q1807035
ge612680,Q1783099
ge612689,Q1783054
ge673612,Q1784196
ge767028,Q1784853
ge934776,Q1796771
ge940438,Q1789966
ge957038,Q1785197
ph121646,Q1776381
ge083127,Q1843504
ge129793,Q1822500
ge129950,Q1818270
ge130493,Q1842120
ge130563,Q1850783
ge130673,Q1818241
ge130980,Q1818151
ge131188,Q1852454
ge132343,Q1852070
ge137290,Q1818170
ge139125,Q1852554
ge214729,Q1823076
ge274763,Q1847665
ge295934,Q1865098
ge296584,Q1844988
ge301295,Q1821104
ge306985,Q1818296
ge307742,Q1821964
ge325675,Q1818199
ge326906,Q1871154
ge338586,Q1852515
ge339141,Q1850704
ge345816,Q1823515
ge361427,Q1866705
ge366631,Q1818279
ge367468,Q1821970
ge375786,Q1852771
ge397041,Q1822534
ge405039,Q1864725
ge437845,Q1846027
ge460881,Q1868718
ge475899,Q1818190
ge538320,Q1863455
ge566703,Q1828950
ge634412,Q1872711
ge710642,Q1852187
ge736256,Q1864594
ge824049,Q1853751
ge853469,Q1870062
ge857919,Q1828791
ge340604,Q1901456
ge343696,Q1885375
ge351046,Q1916436
ge366795,Q1888968
ge409158,Q1908566
ge440781,Q1878487
ge464240,Q1879584
ge577474,Q1888064
ge586866,Q1900844
ge129926,Q1882950
ge130342,Q1895151
ge130827,Q1881855
ge223801,Q1886224
ge241623,Q1875337
ge251169,Q1879569
ge338216,Q1916243
ge339702,Q1883709
ge131227,Q1933009
ge153530,Q1934144
ge161592,Q1925206
ge170573,Q1928992
ge339430,Q1941242
ge340454,Q1933212
ge385296,Q1934697
ge756552,Q1926441
ge956476,Q1944400
ph138356,Q1938695
ph284019,Q1934883
ge1020111,Q1947692
ge129012,Q2000128
ge130124,Q1959503
ge130133,Q1959531
ge130603,Q1987157
ge131650,Q1997684
ge137405,Q1974393
ge168451,Q1958663
ge192242,Q1968946
ge325693,Q1981003
ge327065,Q1975333
ge327080,Q1978795
ge343630,Q1969487
ge372076,Q1959584
ge372078,Q1974066
ge383751,Q1951943
ge383754,Q1983708
ge390085,Q1968788
ge508743,Q1975120
ge587402,Q1967802
ge644383,Q1951519
ge758654,Q1971564
ge805577,Q1973714
ge1007839,Q2007219
ge130194,Q2001637
ge130216,Q2003155
ge130278,Q2003450
ge130304,Q2023886
ge130350,Q2035063
ge131002,Q2050445
ge131321,Q2035072
ge131773,Q2027149
ge137318,Q2007215
ge137386,Q2035082
ge205298,Q2003425
ge264760,Q2003335
ge325704,Q2018266
ge325740,Q2001450
ge327000,Q2046464
ge327067,Q2003516
ge339715,Q2040379
ge339821,Q2017506
ge339838,Q2041594
ge368733,Q2016700
ge375469,Q2019563
ge375957,Q2034259
ge381616,Q2049376
ge421498,Q2003309
ge468210,Q2001481
ge490707,Q2008768
ge538899,Q2003236
ge602568,Q2028322
ge682416,Q2012253
ge707557,Q2019437
ge763164,Q2003206
ge807115,Q2045934
ge839650,Q2015019
ge871275,Q2003342
ph855301,Q2042538
ge130372,Q2055546
ge130501,Q2067672
ge130529,Q2066062
ge130829,Q2078160
ge130924,Q2065498
ge131268,Q2064029
ge345847,Q2097363
ge361960,Q2067287
ge381085,Q2096357
ge405063,Q2055066
ge439052,Q2068697
ge586854,Q2063995
ge637408,Q2065016
ge683144,Q2095324
ge1072895,Q2100227
ge132322,Q2113292
ge139337,Q2108701
ge255472,Q2104146
ge346005,Q2154451
ge381603,Q2135523
ge554186,Q2139018
ge582142,Q2156306
ge714714,Q2126516
ge841089,Q2130571
ge952686,Q2135238
ph168753,Q2143237
ge1014942,Q2208996
ge1125385,Q2189505
ge130677,Q2164897
ge131252,Q2201962
ge137821,Q2162391
ge212769,Q2201492
ge257913,Q2204715
ge271394,Q2163516
ge272775,Q2165395
ge276751,Q2203569
ge285737,Q2166107
ge311448,Q2166208
ge366043,Q2194137
ge390950,Q2161540
ge493234,Q2185519
ge653391,Q2163705
ge690664,Q2184432
ge805950,Q2184030
ge116959,Q2229061
ge117329,Q2239575
ge131758,Q2269581
ge137120,Q2219104
ge207226,Q2273816
ge280461,Q2275199
ge292021,Q2255197
ge334766,Q2219408
ge375792,Q2243697
ge379459,Q2228662
ge381082,Q2218406
ge718432,Q2225574
ge755465,Q2260257
ge777306,Q2274702
ge947726,Q2246488
ge951499,Q2269561
ge131378,Q2302958
ge131474,Q2288981
ge135702,Q2300608
ge136678,Q2292938
ge163131,Q2318879
ge284993,Q2304969
ge303797,Q2302593
ge345698,Q2278393
ge366039,Q2296187
ge366134,Q2302924
ge375788,Q2287034
ge381083,Q2291457
ge391359,Q2321793
ge392183,Q2279145
ge679985,Q2281658
ge737123,Q2322184
ge841625,Q2302567
ge926589,Q2298076
ge1001744,Q2360973
ge117438,Q2343596
ge117766,Q2352033
ge137427,Q2353772
ge233062,Q2362899
ge258346,Q2334169
ge283679,Q2376065
ge334765,Q2353986
ge340787,Q2358798
ge346834,Q2346560
ge369069,Q2350430
ge372088,Q2375398
ge393401,Q2349778
