nkcr,wd
ge420642,Q41194
ge480878,Q28441
ge507286,Q43269
ge564941,Q35827
ge579499,Q37056
ge619433,Q35367
ge631034,Q28271
ge633756,Q39914
ge671697,Q42327
ge678909,Q39557
ge679011,Q42983
ge679610,Q37995
ge680423,Q33469
ge682315,Q42824
ge710927,Q34805
ge745406,Q32530
ge760791,Q31872
ge868073,Q33561
ge878015,Q34607
ge886459,Q43014
ge938744,Q28573
ge973672,Q43295
ph118102,Q38789
ph125237,Q39093
ph127339,Q37643
ph136552,Q30034
ph156626,Q43627
ph164198,Q43437
ph206854,Q33570
ph294118,Q36451
ph854621,Q36196
ge1007139,Q52895
ge1019328,Q49229
ge1044863,Q49179
ge1082432,Q47135
ge1118496,Q56208
ge1125875,Q45197
ge117753,Q46475
ge128412,Q48214
ge129995,Q52636
ge134124,Q56004
ge134183,Q47492
ge137313,Q48292
ge138041,Q45551
ge138748,Q60670
ge151647,Q52437
ge192262,Q45328
ge277353,Q58675
ge305397,Q45248
ge322178,Q45883
ge366315,Q53937
ge390846,Q54509
ge400950,Q52062
ge403168,Q47745
ge422450,Q48481
ge422876,Q51926
ge452536,Q53165
ge452913,Q57903
ge453788,Q47097
ge477680,Q45368
ge485241,Q51934
ge516039,Q52101
ge518694,Q58330
ge547240,Q58092
ge574169,Q47383
ge628998,Q47483
ge632010,Q48474
ge632059,Q54339
ge653243,Q54766
ge679116,Q49222
ge732641,Q48006
ge801121,Q46508
ge834496,Q53381
ge839467,Q53130
ge847938,Q53391
ge893384,Q54747
ge901573,Q45833
ge919382,Q56136
ge939821,Q49162
ge976437,Q45798
ph305461,Q57357
ph456961,Q51655
ph621726,Q51671
ge1032307,Q71154
ge1040959,Q66790
ge1050760,Q69148
ge1096983,Q69216
ge1118685,Q65254
ge129070,Q64694
ge130668,Q63855
ge136768,Q71113
ge264543,Q72404
ge339983,Q72493
ge345712,Q72358
ge346082,Q72668
ge437875,Q66114
ge456089,Q72973
ge463337,Q68097
ge639228,Q71180
ge658885,Q72381
ge738962,Q68460
ge759934,Q64951
ge800128,Q67534
ge877442,Q66461
ge901216,Q64865
ge958014,Q69041
ph1106250,Q75756
ph779412,Q75813
ge1004903,Q82690
ge1025323,Q92277
ge1059104,Q93230
ge1068597,Q83206
ge1072893,Q93272
ge1102864,Q80759
ge117443,Q79808
