artikulua,wd,inguma,title,data,wd_egileak,issue,sp,ep,doi,ojs_landing,wd_upload
https://wikibase.inguma.eus/entity/Q36678,Q130763456,ingurumen-justizia-nazioartean-giza-eskubideak-benetan-bermatzeko-bitartekoa,Ingurumen-justizia nazioartean: giza eskubideak benetan bermatzeko bitartekoa,2023-01-01T00:00:00Z,"""1"": ""Q86991807"", ""2"": ""Q130759762""",127,81,103,10.26876/uztaro.127.2023.5,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5057,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36944,Q130763108,xxi-mendeko-etnomusikologiaren-inguruan-folklorismoaren-auzia-arloaren-ikasketak-eta-eztabaida,"XXI. mendeko etnomusikologiaren inguruan: folklorismoaren auzia, arloaren ikasketak eta eztabaida",2023-01-01T00:00:00Z,"""1"": ""Q130759841""",125,57,70,10.26876/uztaro.125.2023.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5041,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36721,Q130763037,generoaren-araberako-obesitatearen-estigmatizazioa-berrikuspen-sistematikoa,Generoaren araberako obesitatearen estigmatizazioa: berrikuspen sistematikoa,2023-01-01T00:00:00Z,"""2"": ""Q130759773"", ""1"": ""Q57569536""",126,61,90,10.26876/uztaro.126.2023.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5048,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13728,Q130762903,huheziko-mu-lehen-hezkuntzako-graduko-ikasleen-hizkuntza-eta-kultura-identitatea,HUHEZIko (MU) Lehen Hezkuntzako Graduko ikasleen hizkuntza- eta kultura-identitatea,2021-01-01T00:00:00Z,"""2"": ""Q104668800"", ""1"": ""Q98831864""",119,35,57,10.26876/uztaro.119.2021.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4965,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35036,Q130763152,euskal-unibertsitatea-eta-herrigintza-familiak,Euskal Unibertsitatea eta herrigintza-familiak,2022-01-01T00:00:00Z,"""1"": ""Q57659796""",122,39,56,10.26876/uztaro.122.2022.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5010,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13724,Q130763846,herri-ipuingintza-euskal-eta-europar-tradizio-literarioetan-mari-xor-en-kasua,Herri-ipuingintza euskal eta europar tradizio literarioetan. Mari Xor-en kasua,2021-01-01T00:00:00Z,"""1"": ""Q130759837""",119,121,142,10.26876/uztaro.119.2021.7,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4975,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35034,Q130763799,trans-pertsonek-jarduera-fisiko-eta-kirolean-aurkitzen-dituzten-oztopoak,Trans* pertsonek jarduera fisiko eta kirolean aurkitzen dituzten oztopoak,2022-01-01T00:00:00Z,"""4"": ""Q130759880"", ""1"": ""Q130759879"", ""3"": ""Q98831878"", ""2"": ""Q88866323""",122,79,99,10.26876/uztaro.122.2022.5,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5005,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35147,Q130763447,muturreko-goiztiarren-profil-neuropsikologikoaren-luzetarako-azterketa,Muturreko goiztiarren profil neuropsikologikoaren luzetarako azterketa,2022-01-01T00:00:00Z,"""2"": ""Q33000931"", ""4"": ""Q130759882"", ""6"": ""Q92588938"", ""5"": ""Q130759740"", ""3"": ""Q47343728"", ""1"": ""Q58876056""",121,137,152,10.26876/uztaro.121.2022.7,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5004,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36943,Q130763819,mendekotasuna-zahartzaroan-epe-luzeko-zaintzak-noren-esku,Mendekotasuna zahartzaroan: epe luzeko zaintzak noren esku?,2023-01-01T00:00:00Z,"""1"": ""Q104668545"", ""3"": ""Q77049133"", ""2"": ""Q98841172"", ""4"": ""Q130759798""",125,71,92,10.26876/uztaro.125.2023.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5040,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13423,Q130763201,emakume-marokoarra-europara-doan-migrazio-fluxuaren-bektore-ekonomiko-eta-sozial-gisa-marokoko-familia-kodearen-aplikaezintasun-praktikoaren-aurrean,"Emakume marokoarra Europara doan migrazio-fluxuaren bektore ekonomiko eta sozial gisa, Marokoko Familia Kodearen aplikaezintasun praktikoaren aurrean",2022-01-01T00:00:00Z,"""1"": ""Q130759860""",120,5,24,10.26876/uztaro.120.2022.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4976,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36722,Q130763034,edizioa-xviii-mendeko-euskal-herrian-datu-kuantitatiboak-joerak-eta-inprimategien-bilakaera-wikidataren-argitan,"Edizioa XVIII. mendeko Euskal Herrian: datu kuantitatiboak, joerak eta inprimategien bilakaera Wikidataren argitan",2023-01-01T00:00:00Z,"""1"": ""Q107855946""",126,35,60,10.26876/uztaro.126.2023.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5049,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35038,Q130763092,emakumeen-aurkako-indarkeriaren-analisi-feminista-baterako-oinarri-teorikoak-eta-elementu-metodologikoak,Emakumeen aurkako indarkeriaren analisi feminista baterako oinarri teorikoak eta elementu metodologikoak,2022-01-01T00:00:00Z,"""1"": ""Q109769636""",122,5,17,10.26876/uztaro.122.2022.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5006,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36720,Q130763079,gatazkak-ebazteko-bestelako-bideak-alternative-dispute-resolution-araudi-prozesal-zibilean-jurisdikzioaren-galga-ala-akuilu,"Gatazkak ebazteko bestelako bideak (Alternative Dispute Resolution) araudi prozesal zibilean, jurisdikzioaren galga ala akuilu?",2023-01-01T00:00:00Z,"""1"": ""Q109490497""",126,91,119,10.26876/uztaro.126.2023.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5047,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13421,Q130763823,lehen-mailako-unibertsitate-ikasleen-berrikuntzarako-joera,Lehen mailako unibertsitate-ikasleen berrikuntzarako joera,2022-01-01T00:00:00Z,"""3"": ""Q130759819"", ""1"": ""Q104668636"", ""2"": ""Q108042469""",120,51,67,10.26876/uztaro.120.2022.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4979,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35152,,dislexiaren-detekzioa-eta-esku-hartzea-lehen-hezkuntzan,Dislexiaren detekzioa eta esku-hartzea Lehen Hezkuntzan,2022-01-01T00:00:00Z,"""2"": ""Q130759748"", ""1"": ""Q104142719""",121,59,72,10.26876/uztaro.121.2022.3,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4993,
https://wikibase.inguma.eus/entity/Q36469,Q130763391,kode-alternantziaren-erabilera-euskara-gaztelania-gazte-elebidunen-artean,Kode-alternantziaren erabilera euskara-gaztelania gazte elebidunen artean,2024-01-01T00:00:00Z,"""1"": ""Q130759878""",128,5,19,10.26876/uztaro.5061,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5061,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35033,Q130761021,familia-barneko-sexuabusuen-sekretua-apurtzen-metooinceste-txioaren-analisia-iramuteq-softwarearen-bidez,Familia barneko sexuabusuen sekretua apurtzen: #MeTooInceste txioaren analisia Iramuteq softwarearen bidez,2022-01-01T00:00:00Z,"""3"": ""Q70573478"", ""4"": ""Q64008014"", ""2"": ""Q130759743"", ""1"": ""Q64008018""",122,101,119,10.26876/uztaro.122.2022.6,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5009,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q35151,,ikasleen-begirada-heriotzaren-aurrean-gizarte-hezkuntzako-ikasleen-ahotsak-jasotzen,Ikasleen begirada heriotzaren aurrean: Gizarte Hezkuntzako ikasleen ahotsak jasotzen,2022-01-01T00:00:00Z,"""2"": ""Q91962059"", ""1"": ""Q130759747"", ""3"": ""Q70573478"", ""4"": ""Q130759836""",121,75,84,10.26876/uztaro.121.2022.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4994,
https://wikibase.inguma.eus/entity/Q36942,,generoa-politika-liskartsuaren-ikasketan-gazte-aktibisten-ereduen-berrikusketa-hego-euskal-herriko-ziklo-politikoaren-aldaketan,Generoa politika liskartsuaren ikasketan. Gazte aktibisten ereduen berrikusketa Hego Euskal Herriko ziklo politikoaren aldaketan,2023-01-01T00:00:00Z,"""1"": ""Q78199776""",125,95,115,10.26876/uztaro.125.2023.5,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5039,
https://wikibase.inguma.eus/entity/Q36682,Q130763155,gazteen-bizitza-aktiborako-trantsizioa-euskal-autonomia-erkidegoko-egoeraren-azterketa-analisia-eta-ondorioak,"Gazteen bizitza aktiborako trantsizioa: Euskal Autonomia Erkidegoko egoeraren azterketa, analisia eta ondorioak",2023-01-01T00:00:00Z,"""1"": ""Q130759756""",127,5,21,10.26876/uztaro.127.2023.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5053,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13737,,emantzipazioaren-aldeko-bortxaren-ikerketa-joxe-azurmendirengan,Emantzipazioaren aldeko bortxaren ikerketa Joxe Azurmendirengan,2021-01-01T00:00:00Z,"""1"": ""Q12257881""",119,5,14,10.26876/uztaro.119.2021.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4963,
