wikibase_item,pdf,zot
Q35428,https://www.inguma.eus/fso/fitxategia/80-ikergazte.iv.03.153-160.itzulpen-automatikoko.pdf,YCLR95ZT
Q35430,https://www.inguma.eus/fso/fitxategia/78-ikergazte.iv.03.137-144.twitterreko-euskal.pdf,9BQJNUDC
Q35432,https://www.inguma.eus/fso/fitxategia/76-ikergazte.iv.03.123-128.saskigintza-geometriaren.pdf,NKZDCHNS
Q35434,https://www.inguma.eus/fso/fitxategia/74-ikergazte.iv.03.107-114.errealitate-areagotuko.pdf,CIPENMZX
Q35465,https://www.inguma.eus/fso/fitxategia/244-ikergazte.iii.05.23_29.pdf,3F3YUL6E
Q35467,https://www.inguma.eus/fso/fitxategia/242-ikergazte.iii.05.11_15.pdf,MEAMFNTX
Q35469,https://www.inguma.eus/fso/fitxategia/240-ikergazte.iii.04.172_177.pdf,2S3UBF3N
Q35470,https://www.inguma.eus/fso/fitxategia/239-ikergazte.iii.04.166_171.pdf,ZBKWXNTB
Q35476,https://www.inguma.eus/fso/fitxategia/233-ikergazte.iii.04.114_121.pdf,IUVP9BQW
Q35477,https://www.inguma.eus/fso/fitxategia/232-ikergazte.iii.04.106_113.pdf,25ACESBW
Q35480,https://www.inguma.eus/fso/fitxategia/229-ikergazte.iii.04.84_91.pdf,GASAI9LH
Q35483,https://www.inguma.eus/fso/fitxategia/226-ikergazte.iii.04.63_69.pdf,HB2A6UIG
Q35485,https://www.inguma.eus/fso/fitxategia/224-ikergazte.iii.04.49_56.pdf,5S6RZCIR
Q35486,https://www.inguma.eus/fso/fitxategia/223-ikergazte.iii.04.38_48.pdf,XG2MRVMH
Q35487,https://www.inguma.eus/fso/fitxategia/222-ikergazte.iii.04.31_37.pdf,74CJKDZB
Q35488,https://www.inguma.eus/fso/fitxategia/221-ikergazte.iii.04.24_30.pdf,7UP3WVSG
Q35492,https://www.inguma.eus/fso/fitxategia/216-ikergazte.iii.03.148_155.pdf,KE3XRN6Y
Q35493,https://www.inguma.eus/fso/fitxategia/215-ikergazte.iii.03.141_147.pdf,KVKXDXKH
Q35502,https://www.inguma.eus/fso/fitxategia/207-ikergazte.iii.03.72_78.pdf,7QPUIAIK
Q35507,https://www.inguma.eus/fso/fitxategia/202-ikergazte.iii.03.34_41.pdf,UJP743YN
Q35509,https://www.inguma.eus/fso/fitxategia/63-ikergazte.iv.03.17-24.sic-erdieroaleak.pdf,CPXEJGNY
Q35517,https://www.inguma.eus/fso/fitxategia/172-ikergazte.iii.02.97_102.pdf,SIHPJF2N
Q35521,https://www.inguma.eus/fso/fitxategia/168-ikergazte.iii.02.68_74.pdf,4FDWLB29
Q35523,https://www.inguma.eus/fso/fitxategia/163-ikergazte.iii.02.56_60.pdf,Y9ZXG76T
Q35525,https://www.inguma.eus/fso/fitxategia/161-ikergazte.iii.02.44_49.pdf,F47LHEUX
Q35527,https://www.inguma.eus/fso/fitxategia/159-ikergazte.iii.02.27_35.pdf,Z8IN4WD4
Q35528,https://www.inguma.eus/fso/fitxategia/158-ikergazte.iii.02.19_26.pdf,HSLVBV34
Q35530,https://www.inguma.eus/fso/fitxategia/198-ikergazte.iii.01.148_152.pdf,S7EH2NRF
Q35531,https://www.inguma.eus/fso/fitxategia/197-ikergazte.iii.01.139_147.pdf,FDECPV3X
Q35537,https://www.inguma.eus/fso/fitxategia/191-ikergazte.iii.01.91_98.pdf,CLZI9PPH
Q35538,https://www.inguma.eus/fso/fitxategia/190-ikergazte.iii.01.83_90.pdf,DHCEL2IY
Q35541,https://www.inguma.eus/fso/fitxategia/187-ikergazte.iii.01.59_68.pdf,T2VFV8LK
