oocc_item,oocc_st,oocc_id,lehen_argi,oocc_text,jatorrizko_argitalpena,jat_date,jat_tit
https://wikibase.inguma.eus/entity/Q44502,https://wikibase.inguma.eus/entity/statement/Q44502-970A5AFB-8F23-4FFD-A633-DE0693031A39,301,1961,"A. Basilio [Iraola], Elurra ta sua. Santa Jemaren bizitza, Egan 1961 [1-3], 148 [= MEIG III, 59].; A. Basilio [Iraola], Elurra ta sua. Santa Jemaren bizitza, Egan 1961 [1-3], 148 [= MEIG III, 59]. → XIII 359",https://wikibase.inguma.eus/entity/Q44849,1988-01-01T00:00:00Z,"A. Basilio [Iraola], Elurra ta sua. Santa Jemaren bizitza"
https://wikibase.inguma.eus/entity/Q44500,https://wikibase.inguma.eus/entity/statement/Q44500-F4369500-F5E4-4475-90A8-7DB67AC0A3C1,303,1961,"M. Ciriquiain Gaiztarro, Los vascos en la pesca de la ballena, Egan 1961 [1-3], 145-147 [= MEIG III, 56-58]. → XIV 511-513",https://wikibase.inguma.eus/entity/Q44939,1988-01-01T00:00:00Z,"M. Ciriquiain Gaiztarro, Los vascos en la pesca de la ballena"
https://wikibase.inguma.eus/entity/Q44499,https://wikibase.inguma.eus/entity/statement/Q44499-0EC02F8A-2C03-4609-9164-B297B4E99F1E,304,1961,"Congreso de literatura y predicación franciscana en euskera, Egan 1961 [4-6], 257-258 [= MEIG III, 69-70]. → X 651-652",https://wikibase.inguma.eus/entity/Q44934,1988-01-01T00:00:00Z,"Congreso de literatura y predicación franciscana en euskera, Egan 1961 [4,6]"
https://wikibase.inguma.eus/entity/Q44497,https://wikibase.inguma.eus/entity/statement/Q44497-F68FE767-A6B1-477A-B4C7-82D75D58BB04,306,1961,"[N. Etxaniz], Cursos Polyglophone CCC. Curso LV. Vascuence, Egan 1961 [4-6], 260-261 [= MEIG III, 72-73]. → X 653-654",https://wikibase.inguma.eus/entity/Q44935,1988-01-01T00:00:00Z,"[N. Etxaniz], Cursos Polyglophone CCC. Curso LV. Vascuence"
https://wikibase.inguma.eus/entity/Q44496,https://wikibase.inguma.eus/entity/statement/Q44496-311E1B63-E2DC-4EBA-B44C-B7DD646AC83D,307,1961,"Euskalerriko bertsolarien txapelketa, Egan 1961 [1-3], 141 [= MEIG III, 51]. → XIII 403",https://wikibase.inguma.eus/entity/Q44851,1988-01-01T00:00:00Z,"Euskalerriko bertsolarien txapelketa, Egan 1961 [1,3]"
https://wikibase.inguma.eus/entity/Q44494,https://wikibase.inguma.eus/entity/statement/Q44494-931AD19D-F9B9-4B69-99F4-0DA428FAC199,309,1961,"A. Ibiñagabeitia, Aprenda el vasco en 60 horas, Egan 1961 [1-3], 151-152 [= MEIG III, 62-63].; A. Ibiñagabeitia, Aprenda el vasco en 60 horas, Egan 1961 [1-3], 151-152 [= MEIG III, 62-63]. → X 655-656",https://wikibase.inguma.eus/entity/Q44929,1988-01-01T00:00:00Z,"A. Ibiñagabeitia, Aprenda el vasco en 60 horas"
https://wikibase.inguma.eus/entity/Q44492,https://wikibase.inguma.eus/entity/statement/Q44492-A3D9FFED-BD8E-4D6D-9E36-7CD0E722628A,310,1961,"J. Kerexeta, Apostoluen egiñak, Egan 1961 [1-3], 149 [= MEIG III, 60]. → XIII 442",https://wikibase.inguma.eus/entity/Q44852,1988-01-01T00:00:00Z,"J. Kerexeta, Apostoluen egiñak"
https://wikibase.inguma.eus/entity/Q44491,https://wikibase.inguma.eus/entity/statement/Q44491-2525215B-FBD2-4E34-B835-F2D6A6ABED03,311,1961,"L. Lassalle, Gure erlisionearen frogantza, Egan 1961 [4-6], 258-259 [= MEIG III, 70-71]. → XIII 452",https://wikibase.inguma.eus/entity/Q44853,1988-01-01T00:00:00Z,"L. Lassalle, Gure erlisionearen frogantza"
https://wikibase.inguma.eus/entity/Q44489,https://wikibase.inguma.eus/entity/statement/Q44489-85C39FD3-1812-4489-B031-1D18FCAF3082,313,1961,"Loramendi, Olerki ta idatzi guziak, Egan 1961 [1-3], 147-148 [= MEIG III, 58-59]. → XIII 466",https://wikibase.inguma.eus/entity/Q44860,1988-01-01T00:00:00Z,"Loramendi, Olerki ta idatzi guziak"
https://wikibase.inguma.eus/entity/Q44487,https://wikibase.inguma.eus/entity/statement/Q44487-4CF9B18F-2DA7-4B5D-B661-5BED864F9452,315,1961,"M. Soroa, Gabon. Au ostatuba! Anton Kaiku, Egan 1961 [1-3], 143-144 [= MEIG III, 53-54]. → XIII 526-527",https://wikibase.inguma.eus/entity/Q44861,1988-01-01T00:00:00Z,"M. Soroa, Gabon. Au ostatuba! Anton Kaiku"
