entity	label	aipu	oocc_item	oocc_pages	ref_pages	pdf
https://wikibase.inguma.eus/entity/Q47297	Pericot L.	https://wikibase.inguma.eus/entity/statement/Q47297-1B79EF35-7155-4DF9-94A3-626BB5467B3B	https://wikibase.inguma.eus/entity/Q44146	517-543	VII: 538	D2F8K5SV
https://wikibase.inguma.eus/entity/Q47297	Pericot L.	https://wikibase.inguma.eus/entity/statement/Q47297-01B31D01-C82B-4750-B64A-0DEC432F4D8F	https://wikibase.inguma.eus/entity/Q44292	267-275	V: 267	F9JB9QK4
https://wikibase.inguma.eus/entity/Q47298	Perizonio J.	https://wikibase.inguma.eus/entity/statement/Q47298-B69C8DA2-26BF-45FE-96C8-056C6E5FAFBA	https://wikibase.inguma.eus/entity/Q44228	47-62	II: 48 n. 2, II: 56	BLUPHMWI
https://wikibase.inguma.eus/entity/Q47299	Perossi L.	https://wikibase.inguma.eus/entity/statement/Q47299-5F4AE204-1602-4A65-9601-C62D8F22CFD8	https://wikibase.inguma.eus/entity/Q44115	329-332	XIV: 331	H8HUFERN
https://wikibase.inguma.eus/entity/Q47300	Peru eta Mariaren ipuinak	https://wikibase.inguma.eus/entity/statement/Q47300-DE14C8A0-6A28-4C55-A596-B08D8788D5F9	https://wikibase.inguma.eus/entity/Q44213	277-289	XIII: 281	ENTKY4M9
https://wikibase.inguma.eus/entity/Q47301	Peruzzi E.	https://wikibase.inguma.eus/entity/statement/Q47301-5F3E6527-DB31-4425-A285-2DCC46FC29D3	https://wikibase.inguma.eus/entity/Q44217	1-16	III: 2 n. 2	VZBJJ8U8
https://wikibase.inguma.eus/entity/Q47302	Peterfalvi J.-M.	https://wikibase.inguma.eus/entity/statement/Q47302-39D41488-9B18-46C0-9C22-5B2C668A36FB	https://wikibase.inguma.eus/entity/Q44292	267-275	V: 273 n. 17	F9JB9QK4
https://wikibase.inguma.eus/entity/Q47303	Peterson R.	https://wikibase.inguma.eus/entity/statement/Q47303-3DEBDBFB-A47D-4988-BDBF-6752AC67FE74	https://wikibase.inguma.eus/entity/Q44326	299-326	XI: 314	UIXT27W3
https://wikibase.inguma.eus/entity/Q47304	Petrarca F.	https://wikibase.inguma.eus/entity/statement/Q47304-068D72F2-ED5C-4F88-A832-44999FD252F9	https://wikibase.inguma.eus/entity/Q44476	3-5	XIV: 5	PF536WK8
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-441F9EFC-565E-45DE-8E2E-017DBEE46839	https://wikibase.inguma.eus/entity/Q44082	41-46	XIV: 42, XIV: 44	74PED3KN
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-64068C17-45BC-4D1F-A17E-867FD9C2F193	https://wikibase.inguma.eus/entity/Q44089	41-46	XIV: 42, XIV: 44	GS65DBGI
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-AAABC499-5529-4A5E-950C-43784B8309F1	https://wikibase.inguma.eus/entity/Q44094	229-250	XI: 238	XNWYAHSH
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-AAD76026-B5F2-4656-83D8-017A00ABC379	https://wikibase.inguma.eus/entity/Q44102	177-185	XI: 179	NGFPI4UC
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-286270BC-AF40-4828-80B9-393449E1643D	https://wikibase.inguma.eus/entity/Q44113	137-160	X: 156	LAEJXR8B
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-F6CA4FA5-3894-480B-9CB5-E7508F769BC6	https://wikibase.inguma.eus/entity/Q44138	241-247	XIV: 247	3VD6TT3X
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-7985010F-AA42-411F-900C-2C1A779C0E96	https://wikibase.inguma.eus/entity/Q44145	225-240	XIV: 225	H7NQ339X
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-18DBE6DC-B694-414F-9E80-3A148910C6D2	https://wikibase.inguma.eus/entity/Q44148	335-361	VII: 356	AN5XKBXT
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-CD1129E8-FDDE-4E73-A754-081D62D8F4D0	https://wikibase.inguma.eus/entity/Q44164	424-442	VII: 441-442	T59I3T5K
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-72B7914F-0FC8-4573-866C-7CA71EA10386	https://wikibase.inguma.eus/entity/Q44167	213-234	VII: 214	IXRG6HAQ
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-F6272487-4910-4CD8-A492-90C551B29378	https://wikibase.inguma.eus/entity/Q44194	481-499	X: 487 n. 13	FJ49VJ3G
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-16DE8C90-CCEC-484D-A2C3-73BA6B2694AC	https://wikibase.inguma.eus/entity/Q44200	45-54	X: 49	7GYEJY7Q
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-7A304BD1-84B2-4F31-8D70-3D822329813C	https://wikibase.inguma.eus/entity/Q44213	277-289	XIII: 285	ENTKY4M9
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-19CA4F79-5B29-43BB-BAB0-A25FDABD54E5	https://wikibase.inguma.eus/entity/Q44214	501-521	X: 508 n. 13	B5V58GRL
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-FB795290-6249-43B4-A492-17A9BD065772	https://wikibase.inguma.eus/entity/Q44221	527-536	XIV: 528, XIV: 530, XIV: 533	U7WCARN7
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-73E4C7D7-30F9-43CB-B21E-09118E554AE2	https://wikibase.inguma.eus/entity/Q44225	177-194	VII: 193	9YJ6UMP8
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-69561D71-06FE-46C3-B5AB-26E2A1AC6C39	https://wikibase.inguma.eus/entity/Q44274	175-280	II: 234-235	YHKGRKY9
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-82455B98-5017-4542-AD89-D6A7294AB3A3	https://wikibase.inguma.eus/entity/Q44311	23-39	X: 38	XFUE9DPJ
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-2675E563-E34B-440A-B641-C213A12B6A35	https://wikibase.inguma.eus/entity/Q44399	437-441	VIII: 440	SRIEPHWP
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-2E5EBF57-BBB9-473A-9B94-49E5312E426C	https://wikibase.inguma.eus/entity/Q44476	3-5	XIV: 3	PF536WK8
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-6F9CEA3E-F7C9-4D23-883C-F704A02257DD	https://wikibase.inguma.eus/entity/Q44480	21-25	VIII: 22	4JFHEEUT
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-D7245FEF-0EC6-4EE4-9FDE-2AFC21164C54	https://wikibase.inguma.eus/entity/Q44514	503-509	XIII: 506	D6GUD95M
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-0BC05319-B17E-44BE-95D9-90CC1CF391FC	https://wikibase.inguma.eus/entity/Q44519	497-500	XIV: 500	G7FMF8SB
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-82C1C528-7AB2-49E8-839E-5645A08F81C8	https://wikibase.inguma.eus/entity/Q44553	455-458	XIV: 455	IREWRE5A
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-12FD553D-9F2B-4F3A-99BD-6D2E897D1BD3	https://wikibase.inguma.eus/entity/Q44566	81-205	XIII: 99, XIII: 170	EBL26GYI
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-CC5BAD92-DF4A-485A-B331-7AC9ECF0B289	https://wikibase.inguma.eus/entity/Q44600	537-544	XIV: 538-540, XIV: 542-544	NMZZ75B8
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-3E74E6D5-25D4-476D-938E-47430AE1CC61	https://wikibase.inguma.eus/entity/Q44620	435-437	XIII: 435-437	TSAL9ATI
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-29EE0056-98E7-4A39-8738-D3F3A57F4E45	https://wikibase.inguma.eus/entity/Q44637	337-342	IX: 342	H9EZI6A2
https://wikibase.inguma.eus/entity/Q47305	Petriarena J. F. (‘Xenpelar’)	https://wikibase.inguma.eus/entity/statement/Q47305-45BCE138-F057-4D7E-8C0F-51C62F25F866	https://wikibase.inguma.eus/entity/Q44639	3-76	XIII: 12	S2ZK5LCI
