44862	Q13984
44863	Q13983
44864	Q13982
44865	Q13981
44866	Q13980
44867	Q13979
44868	Q13978
44869	Q13977
44870	Q13976
44871	Q13975
44872	Q13974
44873	Q13973
44874	Q13972
44875	Q13971
44876	Q13970
44877	Q13969
44878	Q13968
44879	Q13967
44880	Q13966
44881	Q13965
44882	Q13964
44883	Q13963
44884	Q13962
44885	Q13961
44892	Q13960
44893	Q13959
44894	Q13958
44895	Q13957
44896	Q13956
44897	Q13955
44898	Q13954
44899	Q13953
44900	Q13952
44901	Q13951
44902	Q13950
44903	Q13949
44904	Q13948
44905	Q13947
44906	Q13946
44907	Q13945
44908	Q13944
44909	Q13943
44910	Q13942
44911	Q13941
44912	Q13940
44913	Q13939
44914	Q13938
44915	Q13937
44916	Q13936
44917	Q13935
44918	Q13934
44919	Q13933
44920	Q13932
44921	Q13931
44922	Q13930
44923	Q13929
44924	Q13928
44925	Q13927
44926	Q13926
44927	Q13925
44928	Q13924
44929	Q13923
44930	Q13922
44931	Q13921
44932	Q13920
44933	Q13919
44934	Q13918
44936	Q13917
44937	Q13916
44938	Q13915
44939	Q13914
44940	Q13913
44941	Q13912
44942	Q13911
44943	Q13910
44944	Q13909
44945	Q13908
44946	Q13907
44947	Q13906
44948	Q13905
44949	Q13904
44950	Q13903
44951	Q13902
44954	Q13901
44955	Q13900
44956	Q13899
44957	Q13898
44958	Q13897
44959	Q13896
44960	Q13895
44962	Q13894
44963	Q13893
44965	Q13892
44979	Q13891
44980	Q13890
44982	Q13889
44983	Q13888
44984	Q13887
44985	Q13886
44986	Q13885
44987	Q13884
44988	Q13883
44989	Q13882
44990	Q13881
44991	Q13880
44992	Q13879
44993	Q13878
44994	Q13877
44995	Q13876
44996	Q13875
44997	Q13874
44998	Q13873
44999	Q13872
45000	Q13871
45001	Q13870
45002	Q13869
45003	Q13868
45004	Q13867
45005	Q13866
45006	Q13865
45007	Q13864
45008	Q13863
45009	Q13862
45010	Q13861
45011	Q13860
45012	Q13859
45013	Q13858
45014	Q13857
45016	Q13856
45017	Q13855
45018	Q13854
45019	Q13853
45020	Q13852
45021	Q13851
45022	Q13850
45023	Q13849
45024	Q13848
45025	Q13847
45026	Q13846
45027	Q13845
45028	Q13844
45029	Q13843
45030	Q13842
45031	Q13841
45032	Q13840
45033	Q13839
45034	Q13838
45035	Q13837
45037	Q13836
45038	Q13835
45039	Q13834
45040	Q13833
45041	Q13832
45042	Q13831
45043	Q13830
45044	Q13829
45045	Q13828
45046	Q13827
45047	Q13826
45048	Q13825
45049	Q13824
45050	Q13823
45051	Q13822
45052	Q13821
45053	Q13820
45054	Q13819
45055	Q13818
45056	Q13817
45057	Q13816
45058	Q13815
45059	Q13814
45060	Q13813
45061	Q13812
45063	Q13811
45064	Q13810
45065	Q13809
45066	Q13808
45067	Q13807
45068	Q13806
45069	Q13805
45070	Q13804
45071	Q13803
45085	Q13802
45086	Q13801
45087	Q13800
45088	Q13799
