artikulua	wd	wd_upload	statement	reference
https://wikibase.inguma.eus/entity/Q34642	Q76507756	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507756-507AFD14-BC3B-4F36-B1E1-E1E85126431C	c1e2dbc268ae1ca714d64f9f4eb87bc473665713
https://wikibase.inguma.eus/entity/Q28332	Q76507288	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507288-5846C0ED-1728-41A9-950B-46A3139D3627	5cac3e7c542aa979b1ec976058c2ad6a514b2cad
https://wikibase.inguma.eus/entity/Q17121	Q77311873	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311873-AF0472A9-08E3-4386-AE3D-C94F1EA7EC68	5315e1711c91666039b00a8997959fab615a7c72
https://wikibase.inguma.eus/entity/Q15632	Q64007869	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q64007869-5FCD6678-1B55-4EA3-88DB-CCA12D5570FF	908ff910617d017190e31a0e87a06d6c3ffe9813
https://wikibase.inguma.eus/entity/Q22323	Q77312114	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312114-3C0751CE-FE9A-4C48-BB9D-DD7206D645D7	e11f37af7089f5821c9d1ede00c206fb7e3df973
https://wikibase.inguma.eus/entity/Q34654	Q76507723	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507723-850BE7CE-A9BE-4744-934F-B2A14AF5EA87	bf8aedf7c90aeda0f1ccb2c59a870738b4f6813c
https://wikibase.inguma.eus/entity/Q35032	Q130762106	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130762106-93A7CAE3-866B-436D-A1F3-6E7BE16DA107	9acfde778a745e6cc3f0e8231dc702e2dcab78df
https://wikibase.inguma.eus/entity/Q34658	Q76507712	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507712-1D973B49-FC00-4C7B-AFC0-EA4DCC41BDC1	a4e430ad9e9cdbf684e57a20aa71981e6bc78e7a
https://wikibase.inguma.eus/entity/Q34659	Q76507710	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507710-EECBE4E5-5D5C-4E25-9CB2-93031EA93954	4810abe65e4638f805d9faa226880f919269431c
https://wikibase.inguma.eus/entity/Q35033	Q130761021	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761021-2BFD3B80-5E63-4504-A4FB-8DAEE0D2B38F	c3e076ac3b77fc6330e86ad8187710e80f303a21
https://wikibase.inguma.eus/entity/Q26549	Q77312491	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312491-80D9EE35-E712-453B-8DFB-EAEDEA186080	b713ca89cdcb8122e7acb175d28249f9b8e526a1
https://wikibase.inguma.eus/entity/Q19725	Q77312076	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312076-45C9B4DF-F97C-4057-BC7C-2940D77898C8	3c2373c226651d2ea11329c463a815651d366f31
https://wikibase.inguma.eus/entity/Q34665	Q76507807	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507807-0839BD47-16E8-455D-BBA9-B0D111ADA665	ec6403d8a9e66ad97f7ab29eb5570de14186f1d0
https://wikibase.inguma.eus/entity/Q16924	Q77311907	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311907-D03A110A-2F76-4D52-ADD6-3B801DB8DF45	bc5cf30409c3d80ac1c17de6256ea4cfa02ec6ed
https://wikibase.inguma.eus/entity/Q16925	Q77311904	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311904-2D27436A-89A3-4F71-9882-76498A35C3AD	f5dbf5cff24247e71d8a5db4d8027c6f233db68c
https://wikibase.inguma.eus/entity/Q34670	Q76507795	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507795-AF19FC64-5FF8-4F29-B2A4-E195F6C16D7F	d6c56603aab83da74f815dd3365a246e1f4226c2
https://wikibase.inguma.eus/entity/Q27448	Q77312564	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312564-03B6C62E-6BF7-4C78-83E7-A8953E516E2F	6c03ea1315720e3d3e96176c8de921efd643a3ab
https://wikibase.inguma.eus/entity/Q24999	Q77312350	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312350-709D8EDF-AF68-4974-AA70-505841E8B2A4	8cd0f61cdb844a3759da27b2c05898b3801dd137
https://wikibase.inguma.eus/entity/Q34453	Q76507401	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507401-9DFAA0E1-FB30-4D2D-84D1-B906AAF1E687	84e396be681dc9c3935d8eaffabc633e7b9ecb85
https://wikibase.inguma.eus/entity/Q27450	Q77312558	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312558-5062044B-59F0-4419-9140-781EF322A155	7c642867d639eb437abfb032a83f7167b3ef5a77
https://wikibase.inguma.eus/entity/Q29279	Q76507319	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507319-2D3639BB-7FE0-4B60-9A39-D5179C65B3D8	f8a8bd80abff97152765781373b1993507c048fd
https://wikibase.inguma.eus/entity/Q34676	Q76507781	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507781-71A5C119-AF94-4CE8-9AD3-2879F024656F	faee96f2748048992c0c66d6a269e483168cde34
https://wikibase.inguma.eus/entity/Q25005	Q77312335	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312335-457A2910-84E4-4479-AFB5-21C7BC2954D9	5d75bfdf3bcb81a3520bf1d003c4ea3895350fd7
https://wikibase.inguma.eus/entity/Q34679	Q76507773	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507773-C632CA1D-1DFD-4540-A3B6-D4F6FFEEC829	7d15e66846e581fa95393130912cbc4ab2c41f30
https://wikibase.inguma.eus/entity/Q23667	Q77312270	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312270-10A9D244-0A48-4E1F-938E-2EF03542B28C	955ed36c10bd1fb65a75d9760ce0047d39bbcedf
https://wikibase.inguma.eus/entity/Q34461	Q76507380	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507380-5D30B962-A768-42FA-B417-AC9526C368A3	66035108da42e1523058dab322f7848e00d25b3b
https://wikibase.inguma.eus/entity/Q23668	Q77312266	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312266-2A24B674-75D3-4AE4-8D0C-26628EFC4E81	a9f4ebe123b89210f57089771ff43332726176b5
https://wikibase.inguma.eus/entity/Q34684	Q76507878	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507878-E01B0C7A-2538-4938-A372-DB4340996119	9ed0a98a550304f9a41c8df83b7738b17fcf89c5
https://wikibase.inguma.eus/entity/Q34685	Q76507878	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507878-E01B0C7A-2538-4938-A372-DB4340996119	9ed0a98a550304f9a41c8df83b7738b17fcf89c5
https://wikibase.inguma.eus/entity/Q34686	Q76507876	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507876-2E73EF28-0EF6-4810-9A51-4BEF99ED5371	092f684ebc8a883874fab166e40d6297291a8f6e
https://wikibase.inguma.eus/entity/Q16518	Q77311842	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311842-25B65515-80BE-4933-BFDC-47333CBCD7A4	983975ce33f86bcf8e254249c697bcee9393b783
https://wikibase.inguma.eus/entity/Q34689	Q76507872	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507872-A41FAE63-08E3-421A-9802-83272AAE408D	49fc39be6cca9b2ec8c1884acdb0a500f30e429b
https://wikibase.inguma.eus/entity/Q16519	Q77311840	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311840-AD04B5A9-4920-4CD6-AA7B-B76BC51BF27C	0ccb13fc5796a4b4f6fe2349e3fcdeb5e7fc75f9
https://wikibase.inguma.eus/entity/Q22148	Q77312134	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312134-E1A4B539-6436-4235-8FF6-083B80BA8CEF	614a442c3eb887faea5b234212699127ca7b0577
https://wikibase.inguma.eus/entity/Q34693	Q76507867	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507867-07FED2ED-2A39-4965-9CD0-29FE67331FF0	fb2a471468dbe73ad8146221f666515f22b4498e
https://wikibase.inguma.eus/entity/Q34475	Q76507437	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507437-720D8395-B646-4655-88BC-1341AF41ADC6	2789824c3dcdbdcd27d90c498f707f857901dc8c
https://wikibase.inguma.eus/entity/Q16525	Q77311828	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311828-DCD94B5A-1E7B-495A-ADD3-15BC89EF3AF3	592647e01e2751bae016c487f109d67df251f433
https://wikibase.inguma.eus/entity/Q23255	Q77312193	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312193-3A30FEDF-3761-4894-81CC-FFC56B8A13E9	a62469b14550ec22a03661e324fa5c4989d12e6b
https://wikibase.inguma.eus/entity/Q34702	Q76507850	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507850-F8853582-E7D4-4EC1-B871-F7670B1D3DC6	4d64d5cf222ddfc136d748b8864cdf0c9e4f6832
https://wikibase.inguma.eus/entity/Q34708	Q76507837	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507837-6049BF94-63DF-4BEC-B7D2-9F397367CDB0	3a78a993d6e38d8a906bbd65ff8a167628b79049
https://wikibase.inguma.eus/entity/Q22376	Q77312098	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312098-4D3F5069-9F23-437F-B916-95BBA1C6D35B	cc6a5d1f5c9c36cdc318a07087f829981ff246f5
https://wikibase.inguma.eus/entity/Q34494	Q76507365	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507365-40D3DEF1-7634-441C-9C11-08A376A6C734	24354ab0426dbaae1ea1bf54c0a98407f6c54fb4
https://wikibase.inguma.eus/entity/Q22169	Q77312132	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312132-7D0AAA79-DB1F-4CDD-8A6D-BE3DBC2AEA9F	b87b816508319415d43adbe81896e3e0427a4e6a
