artikulua	wd	p1guid	inguma	title	data	wd_egileak	issue	sp	ep	doi	ojs_landing	pdf	wd_upload
https://wikibase.inguma.eus/entity/Q17862	Q130763017	https://wikibase.inguma.eus/entity/statement/Q17862-9125DDBA-0A1D-4D6C-84B1-0BCCE7E32E67	familiaren-kapital-sozialaren-eta-berrikuntzaren-azterketa-familiaren-efektua-kapital-sozialean	Familiaren kapital sozialaren eta berrikuntzaren azterketa: Familiaren efektua kapital sozialean	2015-01-01T00:00:00Z	"""2"": ""Q104668805"", ""3"": ""Q58065540"", ""1"": ""Q96072437"""	92	27	39	10.26876/uztaro.92.2015.2	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4577	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4577/4686	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q34738	Q76507929	https://wikibase.inguma.eus/entity/statement/Q34738-91AC9D9F-1C7B-4DF6-BC3D-1B32E739D64B	ezezko-nominalizazioak-bizkaieraz	Ezezko nominalizazioak bizkaieraz	1990-01-01T00:00:00Z	"""1"": ""Q12260040"""	0	85	98		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3680	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3680/3789	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q34580	Q76507522	https://wikibase.inguma.eus/entity/statement/Q34580-66E4FCE3-A455-4622-8249-119348C6D062	informatika-eta-euskara-gaur-egungo-arazoak-eta-aurrera-jotzeko-bideak	Informatika eta euskara: gaur egungo arazoak eta aurrera jotzeko bideak	1997-01-01T00:00:00Z	"""1"": ""Q12269005"""	20	77	92		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3946	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3946/4055	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q22375	Q77312101	https://wikibase.inguma.eus/entity/statement/Q22375-78383BAB-CE69-4981-8CD6-7F9A4D11D6B4	hizkuntza-aldakortasuna-goizuetako-euskaran	Hizkuntza-aldakortasuna Goizuetako euskaran	2012-01-01T00:00:00Z	"""1"": ""Q104668754"""	80	77	97	10.26876/uztaro.80.2012.4	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4474	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4474/4583	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q23465	Q76506848	https://wikibase.inguma.eus/entity/statement/Q23465-F2CF22ED-4BED-4283-AB3A-AC6A44432734	gizarte-zaurgarritasun-istorioak-ezegonkortasunaren-egunerokotasuna	Gizarte-zaurgarritasun istorioak: ezegonkortasunaren egunerokotasuna	2010-01-01T00:00:00Z	"""1"": ""Q85835859"""	72	99	110	10.26876/uztaro.72.2010.5	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4409	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4409/4518	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q34557	Q130763717	https://wikibase.inguma.eus/entity/statement/Q34557-E21CA938-EF42-487C-A14E-CF21E5426B12	hezkuntza-gasteizen-xix-mendean	Hezkuntza Gasteizen XIX. mendean	1998-01-01T00:00:00Z	"""1"": ""Q99339280"""	24	29	47		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3903	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3903/4012	
https://wikibase.inguma.eus/entity/Q24999	Q77312350	https://wikibase.inguma.eus/entity/statement/Q24999-FC410777-FE1E-484B-BF2D-FD6DDB8B83EC	euskal-herriko-konfederaziorantz	Euskal Herriko Konfederaziorantz	2007-01-01T00:00:00Z	"""1"": ""Q76876190"""	62	47	78		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4236	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4236/4345	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q34471	Q76507447	https://wikibase.inguma.eus/entity/statement/Q34471-D9F135F1-C5F4-42E4-8C07-0A39C1552BA9	gizarte-erakundeen-erronka-berriak-euskal-herrian	Gizarte-erakundeen erronka berriak Euskal Herrian	1999-01-01T00:00:00Z	"""1"": ""Q104668728"""	30	105	110		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4020	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4020/4129	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q17123	Q77311869	https://wikibase.inguma.eus/entity/statement/Q17123-CE2C4A4D-62CC-4C54-83C5-E97A1292A1A3	haurren-medikalizazioaren-arazoa-hezkuntza-porrotaren-testuinguruan-eredu-biomedikoaren-berriskuspen-kritikoa	Haurren medikalizazioaren arazoa hezkuntza-porrotaren testuinguruan: eredu biomedikoaren berriskuspen kritikoa	2016-01-01T00:00:00Z	"""1"": ""Q98815429"""	97	5	15	10.26876/uztaro.97.2016.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4613	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4613/4722	
https://wikibase.inguma.eus/entity/Q25748	Q76507129	https://wikibase.inguma.eus/entity/statement/Q25748-B072E653-72E6-4649-945B-C3410ECA1AD3	gazteak-eta-gazteen-parte-hartzea	Gazteak eta gazteen parte-hartzea	2005-01-01T00:00:00Z	"""1"": ""Q104668689"""	54	123	131		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4183	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4183/4292	2024-11-03T00:00:00Z
