Leu,pos,alias,Deu,Les,Lfr,Len,wd,source_url,source_title
bertsozaletasun,Q8371,,Bertsoetarako zaletasuna.,afición al bertsolarismo,amour pour le bertsolarisme,love for bertsolaritza,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
betegarri,Q8371,,"Bertsolariak bertso neurria betetzeko erabili behar izan ditzakeen hitz laburrak. Ahalik eta gutxien erabiltzea komeni da, bertsoaren kalitatea kaltetzen duelako.",calzo,mot de remplissage,wedge,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
betelan,Q8371,,"Bertsolariak bere bertsoa betetzeko egiten duena, batez ere azken puntua pentsatu badu baina hasiera ez.",relleno,travail de remplissage,fill-in task,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
Bizkaiko Bertsolari Txapelketa,Q8371,,Bizaiko bertsolarien artean egiten den txapelketa.,Campeonato de Bertsolaris de Bizkaia,Championnat de Bertsolaris de Biscaye,Biscay Bertsolari Championship,Q12255328,https://www.bertsozale.eus/eu/txapelketak/bizkaia/bizkaiko-bertsolari-txapelketa,https://www.bertsozale.eus/eu/txapelketak/bizkaia/bizkaiko-bertsolari-txapelketa
bukaera emanda,Q8375,,Bertsolariak gai-jartzaileak amaiera emanda bertsoa osatzean datzan ariketa.,final forzado,final forcé,imposed final,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
buruz-buruko,Q8371,,"Bertso txapelketetan, finala.",uno contra uno,un contre un,one on one,,https://hiztegiak.elhuyar.eus/eu/buruz%20buruko,https://hiztegiak.elhuyar.eus/eu/buruz%20buruko
doinu,Q8371,,Kantatua izateko gai den musika-noten segida.,tonada,air,melody,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
epaile,Q8371,bertso-epaile,"Bertso txapelketetan, bertsoak puntuatzen dituena.",jurado,juré,jury member,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
errima,Q8371,,Hoskidetasuna.,rima,rime,rhyme,Q178715,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
errima aberats,Q8371,,"Bertsotan, kalitate handiko errima, hoskidetasuna handia denean ematen dena.",rima de calidad,rime de qualité,rhyme of quality,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
errima pobre,Q8371,,"Bertsotan, kalitate urriko errima, hoskidetasuna txikia denean ematen dena.",rima pobre,rime pauvre,poor rhyme,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
errimategi,Q8371,,Errima bilduma.,recopilatorio de rimas,recueil de rimes,rhyme compilation,,https://blogak.eus/laube/errimategi-txikia,https://blogak.eus/laube/errimategi-txikia
etorri,Q8371,,Hitz egiteko edo bertsoak moldatzeko erraztasuna.,elocuencia,éloquence,eloquence,Q1489271,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
gai,Q8371,,"Bertsolaritzan, bertsoak jorratzen duen gaia, sarritan bertsolariari eman egiten zaiona.",tema,thème,topic,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
gai jartzaile,Q8371,gai-jartzaile,"Bertso saioetan, gaiak jartzen dituen pertsona.",conductor/a,meneur du jeu,theme-prompter,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
