izena	bdb_id
Inazio Lizarralde	https://bdb.bertsozale.eus/web/haitzondo/view/1294-inazio-lizarralde
Ander Lizarralde Jimeno	https://bdb.bertsozale.eus/web/haitzondo/view/1295-ander-lizarralde-jimeno
Beñat Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/1300-benat-lizaso
Antonio Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/1301-antonio-lizaso
Sebastian Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/1302-sebastian-lizaso
Koxme Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/1303-koxme-lizaso
Joxe Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/1304-joxe-lizaso
Joxe  Lizaso Peñagarikano "Olaberri"	https://bdb.bertsozale.eus/web/haitzondo/view/1306-joxe-lizaso-penagarikano-olaberri
Arantzazu Loidi	https://bdb.bertsozale.eus/web/haitzondo/view/1310-arantzazu-loidi
Juan Loiola	https://bdb.bertsozale.eus/web/haitzondo/view/1312-juan-loiola
Miren Loizaga	https://bdb.bertsozale.eus/web/haitzondo/view/1313-miren-loizaga
Justo Longarte	https://bdb.bertsozale.eus/web/haitzondo/view/1314-justo-longarte
Jon Lopategi	https://bdb.bertsozale.eus/web/haitzondo/view/1315-jon-lopategi
Aritz Lopategi	https://bdb.bertsozale.eus/web/haitzondo/view/1316-aritz-lopategi
Eusebio  Lopetegi "Agerre"	https://bdb.bertsozale.eus/web/haitzondo/view/1317-eusebio-lopetegi-agerre
Inixio Joxe  Lopetegi "Agerre"	https://bdb.bertsozale.eus/web/haitzondo/view/1318-inixio-joxe-lopetegi-agerre
Jesus  Lopetegi "Agerre"	https://bdb.bertsozale.eus/web/haitzondo/view/1320-jesus-lopetegi-agerre
Martzelina Lopetegi	https://bdb.bertsozale.eus/web/haitzondo/view/1321-martxelina-lopetegi
Juan Mari Lopez	https://bdb.bertsozale.eus/web/haitzondo/view/1325-juan-mari-lopez
Idoia Granizo	https://bdb.bertsozale.eus/web/haitzondo/view/4147-idoia-granizo
Luis Mari  Larreta "Latu"	https://bdb.bertsozale.eus/web/haitzondo/view/4130-luis-mari-larreta-latu
Pablo Perez Indurain	https://bdb.bertsozale.eus/web/haitzondo/view/4131-pablo-perez-indurain
Andoni  Mujika "Anatx"	https://bdb.bertsozale.eus/web/haitzondo/view/4138-andoni-mujika-anatx
Ekain Alegre	https://bdb.bertsozale.eus/web/haitzondo/view/4149-ekain-alegre
Lierni Rekondo	https://bdb.bertsozale.eus/web/haitzondo/view/4156-lierni-rekondo
Xabier Antia	https://bdb.bertsozale.eus/web/haitzondo/view/4164-xabier-antia
Unai Anda	https://bdb.bertsozale.eus/web/haitzondo/view/4165-unai-anda
Peru Amorrortu	https://bdb.bertsozale.eus/web/haitzondo/view/4166-peru-amorrortu
Markel Yoller	https://bdb.bertsozale.eus/web/haitzondo/view/4168-markel-yoller
Peio  Erramouspe "Manexene"	https://bdb.bertsozale.eus/web/haitzondo/view/4172-peio-erramouspe-manexene
Iñaki Lersundi	https://bdb.bertsozale.eus/web/haitzondo/view/4178-iaki-lersundi
Peio Gezuraga	https://bdb.bertsozale.eus/web/haitzondo/view/4196-peio-gezuraga
Iñaki Aranzadi	https://bdb.bertsozale.eus/web/haitzondo/view/4218-inaki-aranzadi
Ibai Amillategi	https://bdb.bertsozale.eus/web/haitzondo/view/4220-ibai-amillategi
Bikain Urkiri	https://bdb.bertsozale.eus/web/haitzondo/view/4225-bikain-urkiri
Aitor Etxebarriazarraga	https://bdb.bertsozale.eus/web/haitzondo/view/4226-aitor-etxebarriazarraga
Josu Ibarguren	https://bdb.bertsozale.eus/web/haitzondo/view/4281-josu-ibarguren
Haizea Arana	https://bdb.bertsozale.eus/web/haitzondo/view/4284-haizea-arana
Iker Letamendia	https://bdb.bertsozale.eus/web/haitzondo/view/4287-iker-letamendia
Sustrai Colina	https://bdb.bertsozale.eus/web/haitzondo/view/573-sustrai-colina
Johnny Kurutxet	https://bdb.bertsozale.eus/web/haitzondo/view/576-johnny-kurutxet
Mixel Dargaitz	https://bdb.bertsozale.eus/web/haitzondo/view/580-mixel-dargaitz
Lander Diaz De Gereñu	https://bdb.bertsozale.eus/web/haitzondo/view/587-lander-diaz-de-gerenu
Emiliano Diez	https://bdb.bertsozale.eus/web/haitzondo/view/590-emiliano-diez
Jose  Dobaran "Jose Umbe"	https://bdb.bertsozale.eus/web/haitzondo/view/591-jose-dobaran-jose-umbe
Roman Dornaku	https://bdb.bertsozale.eus/web/haitzondo/view/593-roman-dornaku
Urko Egaña Calderon	https://bdb.bertsozale.eus/web/haitzondo/view/601-urko-egana-calderon
Andoni Egaña	https://bdb.bertsozale.eus/web/haitzondo/view/602-andoni-egana
Anastasio  Egia "Altza"	https://bdb.bertsozale.eus/web/haitzondo/view/605-anastasio-egia-altza
Jose Ignazio  Egiguren "Urdanzuri"	https://bdb.bertsozale.eus/web/haitzondo/view/608-jose-ignazio-egiguren-urdanzuri
Jazinto Egiguren	https://bdb.bertsozale.eus/web/haitzondo/view/610-jazinto-egiguren
Jesus  Egiguren "Artañola"	https://bdb.bertsozale.eus/web/haitzondo/view/612-jesus-egiguren-artanola
Igor Eguren	https://bdb.bertsozale.eus/web/haitzondo/view/618-igor-eguren
Estitxu Eizagirre	https://bdb.bertsozale.eus/web/haitzondo/view/623-estitxu-eizagirre
Juan Jose  Eizmendi "Loidisaletxe II"	https://bdb.bertsozale.eus/web/haitzondo/view/626-juan-jose-eizmendi-loidisaletxe-ii
Antonio Mari  Eizmendi "Loidisaletxe"	https://bdb.bertsozale.eus/web/haitzondo/view/627-antonio-mari-eizmendi-loidisaletxe
Juan Jose  Eizmendi "Errexil"	https://bdb.bertsozale.eus/web/haitzondo/view/628-juan-jose-eizmendi-errexil
Jon Eizmendi	https://bdb.bertsozale.eus/web/haitzondo/view/629-jon-eizmendi
Iñaki  Eizmendi "Basarri"	https://bdb.bertsozale.eus/web/haitzondo/view/630-inaki-eizmendi-basarri
Joxe Miel Argiñarena	https://bdb.bertsozale.eus/web/haitzondo/view/268-joxe-miel-argiarena
Jose Mari  Aristondo "Muño"	https://bdb.bertsozale.eus/web/haitzondo/view/274-jose-mari-aristondo-muno
Pablo Joxe Aristorena	https://bdb.bertsozale.eus/web/haitzondo/view/276-pablo-joxe-aristorena
