"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q105409324"	"https://wikidata.org/wiki/Q105409324"	"Health_politics"	""	""	""					"Health politics"	"https://en.wikipedia.org/wiki/Health_politics"													
"Q629029"	"https://wikidata.org/wiki/Q629029"	"Occupational_safety_and_health"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q10566551
https://wikidata.org/wiki/Q162297"	"lan-baldintzak"	"https://eu.wikipedia.org/wiki/Laneko_segurtasun_eta_osasuna"	"seguridad y salud del trabajo"	"https://es.wikipedia.org/wiki/Seguridad_y_salud_laboral"	"occupational health and safety"	"https://en.wikipedia.org/wiki/Occupational_safety_and_health"	"santé et sécurité au travail"	"https://fr.wikipedia.org/wiki/Santé_et_sécurité_au_travail"	"sicurezza e salute del lavoro"	"https://it.wikipedia.org/wiki/Salute_e_sicurezza_sul_lavoro"	"Arbeitsschutz"	"https://de.wikipedia.org/wiki/Arbeitsschutz"	"segurança e saúde do trabalho"	"https://pt.wikipedia.org/wiki/Segurança_e_saúde_ocupacionais"	"seguretat i salut laboral"	"https://ca.wikipedia.org/wiki/Seguretat_i_salut_laboral"	"Bezpečnost a ochrana zdraví při práci"	"https://cs.wikipedia.org/wiki/Bezpečnost_a_ochrana_zdraví_při_práci"	
"Q1981388"	"https://wikidata.org/wiki/Q1981388"	"Sexual_and_reproductive_health"	""	"https://wikidata.org/wiki/Q3501817"	"https://wikidata.org/wiki/Q12147"	"Sexu- eta ugalketa-osasun"	"https://eu.wikipedia.org/wiki/Sexu-_eta_ugalketa-osasun"	"salud reproductiva"	"https://es.wikipedia.org/wiki/Salud_reproductiva"	"reproductive health"	"https://en.wikipedia.org/wiki/Sexual_and_reproductive_health"	"santé reproductive"	"https://fr.wikipedia.org/wiki/Santé_sexuelle"	"Salute riproduttiva"	"https://it.wikipedia.org/wiki/Salute_riproduttiva"	"Sexuelle Gesundheit"	"https://de.wikipedia.org/wiki/Sexuelle_Gesundheit"	"saúde sexual"	"https://pt.wikipedia.org/wiki/Saúde_sexual"	"salut reproductiva"	"https://ca.wikipedia.org/wiki/Salut_sexual_i_reproductiva"	"Sexuální zdraví"	"https://cs.wikipedia.org/wiki/Sexuální_zdraví"	
"Q949149"	"https://wikidata.org/wiki/Q949149"	"Sanitation"	"https://wikidata.org/wiki/Q1914636
https://wikidata.org/wiki/Q151885"	""	"https://wikidata.org/wiki/Q162297
https://wikidata.org/wiki/Q2142347
https://wikidata.org/wiki/Q919526"	"Ingurumenaren saneamendu"	"https://eu.wikipedia.org/wiki/Saneamendu"	"saneamiento"	"https://es.wikipedia.org/wiki/Saneamiento_ambiental"	"sanitation"	"https://en.wikipedia.org/wiki/Sanitation"	"assainissement"	"https://fr.wikipedia.org/wiki/Assainissement"	"igienizzazione"		"Sanitärtechnik"	"https://de.wikipedia.org/wiki/Sanitärtechnik"	"saneamento básico"	"https://pt.wikipedia.org/wiki/Saneamento"	"sanejament"	"https://ca.wikipedia.org/wiki/Sanejament_urbà"	"sanitace"		
"Q2725393"	"https://wikidata.org/wiki/Q2725393"	"Global_health"	""	""	"https://wikidata.org/wiki/Q12147"			"salud global"	"https://es.wikipedia.org/wiki/Salud_global"	"global health"	"https://en.wikipedia.org/wiki/Global_health"	"santé mondiale"	"https://fr.wikipedia.org/wiki/Santé_globale"	"salute globale"		"globale Gesundheit"		"Saúde global"	"https://pt.wikipedia.org/wiki/Saúde_global"	"salut global"				
"Q3247219"	"https://wikidata.org/wiki/Q3247219"	"International_health"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q2725393"					"International health"	"https://en.wikipedia.org/wiki/International_health"	"santé internationale"												
"Q3555250"	"https://wikidata.org/wiki/Q3555250"	"Disease_surveillance"	""	""	"https://wikidata.org/wiki/Q821775"					"disease surveillance"	"https://en.wikipedia.org/wiki/Disease_surveillance"	"Veille sanitaire"	"https://fr.wikipedia.org/wiki/Veille_sanitaire"							"vigilància de la malaltia"				
"Q1851928"	"https://wikidata.org/wiki/Q1851928"	"Health_promotion"	"https://wikidata.org/wiki/Q1969448"	"https://wikidata.org/wiki/Q60894"	"https://wikidata.org/wiki/Q60894
https://wikidata.org/wiki/Q60482764"	"Osasunaren sustapen"	"https://eu.wikipedia.org/wiki/Osasunaren_sustapen"	"promoción de la salud"	"https://es.wikipedia.org/wiki/Promoción_de_la_salud"	"health promotion"	"https://en.wikipedia.org/wiki/Health_promotion"	"promotion de la santé"	"https://fr.wikipedia.org/wiki/Promotion_de_la_santé"	"promozione della salute"	"https://it.wikipedia.org/wiki/Promozione_della_salute"	"Gesundheitsförderung"	"https://de.wikipedia.org/wiki/Gesundheitsförderung"	"promoção da saúde"	"https://pt.wikipedia.org/wiki/Promoção_da_saúde"	"promoció de la salut"	"https://ca.wikipedia.org/wiki/Promoció_de_la_salut"			
"Q4880695"	"https://wikidata.org/wiki/Q4880695"	"Behavior_change_(public_health)"	""	""	"https://wikidata.org/wiki/Q1773974
https://wikidata.org/wiki/Q9332"					"behavior change"	"https://en.wikipedia.org/wiki/Behavior_change_(public_health)"	"changement de comportement"	"https://fr.wikipedia.org/wiki/Changement_de_comportement"											
"Q21015795"	"https://wikidata.org/wiki/Q21015795"	"List_of_national_public_health_agencies"	"https://wikidata.org/wiki/Q13406463"	""	""					"list of national public health agencies"	"https://en.wikipedia.org/wiki/List_of_national_public_health_agencies"													
