"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q2018526"	"https://wikidata.org/wiki/Q2018526"	"The_arts"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q3958441"	"https://wikidata.org/wiki/Q11042"	"https://wikidata.org/wiki/Q80083
https://wikidata.org/wiki/Q16887380"	"Arteak"	"https://eu.wikipedia.org/wiki/Arteak"	"numeración de las artes"	"https://es.wikipedia.org/wiki/Numeración_de_las_artes"	"arts"	"https://en.wikipedia.org/wiki/The_arts"	"arts"	"https://fr.wikipedia.org/wiki/Arts"	"arti"		"Künste"		"numeração das artes"	"https://pt.wikipedia.org/wiki/Numeração_das_artes"	"arts"	"https://ca.wikipedia.org/wiki/Arts"	"umění"		
"Q1333743"	"https://wikidata.org/wiki/Q1333743"	"Composition_(language)"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q4671286
https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q2267705
https://wikidata.org/wiki/Q109551317"	"https://wikidata.org/wiki/Q7725634"	"https://wikidata.org/wiki/Q6486703
https://wikidata.org/wiki/Q8236"			"composición"		"composition"	"https://en.wikipedia.org/wiki/Composition_(language)"	"composition"						"Redação"	"https://pt.wikipedia.org/wiki/Redação"	"composició"		"Kompozice literárního díla"	"https://cs.wikipedia.org/wiki/Kompozice_literárního_díla"	
"Q257085"	"https://wikidata.org/wiki/Q257085"	"World_literature"	""	""	"https://wikidata.org/wiki/Q8242"	"Literatura unibertsal"	"https://eu.wikipedia.org/wiki/Literatura_unibertsal"	"literatura universal"	"https://es.wikipedia.org/wiki/Literatura_mundial"	"world literature"	"https://en.wikipedia.org/wiki/World_literature"	"world literature"	"https://fr.wikipedia.org/wiki/World_literature"	"Letteratura mondiale"	"https://it.wikipedia.org/wiki/Letteratura_mondiale"	"Weltliteratur"	"https://de.wikipedia.org/wiki/Weltliteratur"	"literatura mundial"		"literatura universal"		"světová literatura"		
"Q223393"	"https://wikidata.org/wiki/Q223393"	"Literary_genre"	"https://wikidata.org/wiki/Q19361238"	""	"https://wikidata.org/wiki/Q1792379
https://wikidata.org/wiki/Q110169000"	"literatura-genero"	"https://eu.wikipedia.org/wiki/Literatura_genero"	"género literario"	"https://es.wikipedia.org/wiki/Género_literario"	"literary genre"	"https://en.wikipedia.org/wiki/Literary_genre"	"genre littéraire"	"https://fr.wikipedia.org/wiki/Genre_littéraire"	"genere letterario"	"https://it.wikipedia.org/wiki/Genere_letterario"	"Literaturgenre"	"https://de.wikipedia.org/wiki/Gattung_(Literatur)"	"género literário"	"https://pt.wikipedia.org/wiki/Gênero_literário"	"gènere literari"	"https://ca.wikipedia.org/wiki/Gènere_literari"	"literární žánr"	"https://cs.wikipedia.org/wiki/Literární_žánr"	
"Q986539"	"https://wikidata.org/wiki/Q986539"	"Oral_literature"	"https://wikidata.org/wiki/Q223393"	""	"https://wikidata.org/wiki/Q8242"	"ahozko literatura"		"literatura oral"	"https://es.wikipedia.org/wiki/Literatura_oral"	"oral literature"	"https://en.wikipedia.org/wiki/Oral_literature"	"orature"	"https://fr.wikipedia.org/wiki/Orature"	"letteratura orale"	"https://it.wikipedia.org/wiki/Letteratura_orale"	"Volksliteratur"		"literatura oral"	"https://pt.wikipedia.org/wiki/Literatura_oral"	"literatura oral"	"https://ca.wikipedia.org/wiki/Literatura_oral"	"ústní lidová slovesnost"	"https://cs.wikipedia.org/wiki/Ústní_lidová_slovesnost"	
"Q7099402"	"https://wikidata.org/wiki/Q7099402"	"Oral_poetry"	""	"https://wikidata.org/wiki/Q986539"	"https://wikidata.org/wiki/Q482"			"poesía oral"		"oral poetry"	"https://en.wikipedia.org/wiki/Oral_poetry"							"poesia oral"	"https://pt.wikipedia.org/wiki/Poesia_oral"					
"Q37484"	"https://wikidata.org/wiki/Q37484"	"Epic_poetry"	"https://wikidata.org/wiki/Q223393
https://wikidata.org/wiki/Q108368282"	""	"https://wikidata.org/wiki/Q1097273
https://wikidata.org/wiki/Q19310814
https://wikidata.org/wiki/Q474090"	"epopeia"	"https://eu.wikipedia.org/wiki/Epopeia"	"epopeya"	"https://es.wikipedia.org/wiki/Epopeya"	"epic poem"	"https://en.wikipedia.org/wiki/Epic_poetry"	"épopée"	"https://fr.wikipedia.org/wiki/Épopée"	"poema epico"	"https://it.wikipedia.org/wiki/Poema_epico"	"Epos"	"https://de.wikipedia.org/wiki/Epos"	"epopeia"	"https://pt.wikipedia.org/wiki/Poesia_épica"	"poema èpic"	"https://ca.wikipedia.org/wiki/Poema_èpic"	"epos"	"https://cs.wikipedia.org/wiki/Epos"	
"Q44342"	"https://wikidata.org/wiki/Q44342"	"Legend"	"https://wikidata.org/wiki/Q223393
https://wikidata.org/wiki/Q108465955"	""	"https://wikidata.org/wiki/Q8253
https://wikidata.org/wiki/Q7832362"	"Elezahar"	"https://eu.wikipedia.org/wiki/Elezahar"	"leyenda"	"https://es.wikipedia.org/wiki/Leyenda"	"legend"	"https://en.wikipedia.org/wiki/Legend"	"légende"	"https://fr.wikipedia.org/wiki/Légende"	"leggenda"	"https://it.wikipedia.org/wiki/Leggenda"	"Legende"	"https://de.wikipedia.org/wiki/Legende"	"lenda"	"https://pt.wikipedia.org/wiki/Lenda"	"llegenda"	"https://ca.wikipedia.org/wiki/Llegenda"	"pověst"	"https://cs.wikipedia.org/wiki/Pověst"	
"Q9134"	"https://wikidata.org/wiki/Q9134"	"Mythology"	"https://wikidata.org/wiki/Q483394
https://wikidata.org/wiki/Q110401282"	"https://wikidata.org/wiki/Q11042
https://wikidata.org/wiki/Q559618"	"https://wikidata.org/wiki/Q36192
https://wikidata.org/wiki/Q49447"	"mitologia"	"https://eu.wikipedia.org/wiki/Mitologia"	"mitología"	"https://es.wikipedia.org/wiki/Mitología"	"mythology"	"https://en.wikipedia.org/wiki/Mythology"	"mythologie"	"https://fr.wikipedia.org/wiki/Mythologie"	"mitologia"	"https://it.wikipedia.org/wiki/Mitologia"	"Mythologie"	"https://de.wikipedia.org/wiki/Mythologie"	"Mitologia"	"https://pt.wikipedia.org/wiki/Mitologia"	"mitologia"	"https://ca.wikipedia.org/wiki/Mitologia"	"mytologie"	"https://cs.wikipedia.org/wiki/Mytologie"	
"Q182659"	"https://wikidata.org/wiki/Q182659"	"Ballad"	"https://wikidata.org/wiki/Q223393"	""	"https://wikidata.org/wiki/Q7725634
https://wikidata.org/wiki/Q5185279"	"balada"	"https://eu.wikipedia.org/wiki/Balada"	"balada"	"https://es.wikipedia.org/wiki/Balada"	"ballad"	"https://en.wikipedia.org/wiki/Ballad"	"ballade"	"https://fr.wikipedia.org/wiki/Ballade"	"ballata popolare"	"https://it.wikipedia.org/wiki/Ballata_popolare"	"Ballade"	"https://de.wikipedia.org/wiki/Ballade"			"balada"	"https://ca.wikipedia.org/wiki/Balada"	"balada"	"https://cs.wikipedia.org/wiki/Balada"	
