"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q60061622"	"https://wikidata.org/wiki/Q60061622"	"Video_production"	"https://wikidata.org/wiki/Q268592
https://wikidata.org/wiki/Q4671286
https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q47728"	""	"https://wikidata.org/wiki/Q21198548"			"producción de videos"	"https://es.wikipedia.org/wiki/Producción_de_videos"	"video production"	"https://en.wikipedia.org/wiki/Video_production"	"production de vidéos"								"producció de vídeos"				
"Q853710"	"https://wikidata.org/wiki/Q853710"	"Mass_communication"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q11024"			"comunicación de masas"		"mass communication"	"https://en.wikipedia.org/wiki/Mass_communication"	"communication de masse"	"https://fr.wikipedia.org/wiki/Communication_de_masse"	"comunicazione di massa"		"Massenkommunikation"	"https://de.wikipedia.org/wiki/Massenkommunikation"	"comunicação de massa"	"https://pt.wikipedia.org/wiki/Comunicação_de_massa"	"comunicació de masses"		"masová komunikace"	"https://cs.wikipedia.org/wiki/Masová_komunikace"	
"Q190909"	"https://wikidata.org/wiki/Q190909"	"Focus_(optics)"	""	""	"https://wikidata.org/wiki/Q44946"	"Foku"	"https://eu.wikipedia.org/wiki/Foku_(optika)"	"foco"	"https://es.wikipedia.org/wiki/Foco_(óptica)"	"focus"	"https://en.wikipedia.org/wiki/Focus_(optics)"	"foyer"	"https://fr.wikipedia.org/wiki/Foyer_(optique)"	"fuoco"	"https://it.wikipedia.org/wiki/Fuoco_(ottica)"	"Fokus"	"https://de.wikipedia.org/wiki/Fokus"	"foco"	"https://pt.wikipedia.org/wiki/Foco"	"focus"	"https://ca.wikipedia.org/wiki/Focus_(òptica)"			
"Q15328"	"https://wikidata.org/wiki/Q15328"	"Camera"	""	""	"https://wikidata.org/wiki/Q1751850"	"kamera"	"https://eu.wikipedia.org/wiki/Kamera"	"cámara"	"https://es.wikipedia.org/wiki/Cámara_óptica"	"camera"	"https://en.wikipedia.org/wiki/Camera"	"caméra"	"https://fr.wikipedia.org/wiki/Caméra"	"macchina fotografica"		"Kamera"	"https://de.wikipedia.org/wiki/Kamera"	"câmara"	"https://pt.wikipedia.org/wiki/Câmera"	"càmera"	"https://ca.wikipedia.org/wiki/Càmera"			
"Q271960"	"https://wikidata.org/wiki/Q271960"	"Exposure_(photography)"	""	""	"https://wikidata.org/wiki/Q107715"	"Esposizio"	"https://eu.wikipedia.org/wiki/Esposizio_(argarkigintza)"	"exposición"	"https://es.wikipedia.org/wiki/Exposición_(fotografía)"	"exposure"	"https://en.wikipedia.org/wiki/Exposure_(photography)"	"exposition"	"https://fr.wikipedia.org/wiki/Exposition_(photographie)"	"esposizione"	"https://it.wikipedia.org/wiki/Esposizione_(fotografia)"	"Belichtung"	"https://de.wikipedia.org/wiki/Belichtung_(Fotografie)"			"exposició"	"https://ca.wikipedia.org/wiki/Exposició_(fotografia)"	"expozice"	"https://cs.wikipedia.org/wiki/Expozice_(fotografie)"	
"Q189880"	"https://wikidata.org/wiki/Q189880"	"Charge-coupled_device"	"https://wikidata.org/wiki/Q20888925"	""	"https://wikidata.org/wiki/Q11653
https://wikidata.org/wiki/Q167676
https://wikidata.org/wiki/Q96792464"			"dispositivo de carga acoplada"	"https://es.wikipedia.org/wiki/Dispositivo_de_carga_acoplada"	"charge-coupled device"	"https://en.wikipedia.org/wiki/Charge-coupled_device"	"dispositif à transfert de charge"	"https://fr.wikipedia.org/wiki/Capteur_photographique_CCD"	"dispositivo a carica accoppiata"	"https://it.wikipedia.org/wiki/Dispositivo_ad_accoppiamento_di_carica"	"CCD-Sensor"	"https://de.wikipedia.org/wiki/CCD-Sensor"	"dispositivo de carga acoplada"	"https://pt.wikipedia.org/wiki/Dispositivo_de_carga_acoplada"	"sensor CCD"	"https://ca.wikipedia.org/wiki/Sensor_CCD"	"charge-coupled device"	"https://cs.wikipedia.org/wiki/Charge-coupled_device"	
"Q355198"	"https://wikidata.org/wiki/Q355198"	"Pixel"	"https://wikidata.org/wiki/Q47574
https://wikidata.org/wiki/Q78754808
https://wikidata.org/wiki/Q1371562
https://wikidata.org/wiki/Q1978718"	""	"https://wikidata.org/wiki/Q44946"	"Pixel"	"https://eu.wikipedia.org/wiki/Pixel"	"píxel"	"https://es.wikipedia.org/wiki/Píxel"	"pixel"	"https://en.wikipedia.org/wiki/Pixel"	"pixel"	"https://fr.wikipedia.org/wiki/Pixel"	"pixel"	"https://it.wikipedia.org/wiki/Pixel"	"Pixel"	"https://de.wikipedia.org/wiki/Pixel"	"pixel"	"https://pt.wikipedia.org/wiki/Pixel"	"píxel"	"https://ca.wikipedia.org/wiki/Píxel"	"pixel"	"https://cs.wikipedia.org/wiki/Pixel"	
"Q327008"	"https://wikidata.org/wiki/Q327008"	"Image_processing"	""	""	"https://wikidata.org/wiki/Q208163
https://wikidata.org/wiki/Q6661985"			"retoque fotográfico"	"https://es.wikipedia.org/wiki/Retoque_fotográfico"	"image processing"	"https://en.wikipedia.org/wiki/Image_processing"	"traitement d'images"	"https://fr.wikipedia.org/wiki/Traitement_d'images"	"elaborazione delle immagini"	"https://it.wikipedia.org/wiki/Ritocco_fotografico"	"Bildverarbeitung"	"https://de.wikipedia.org/wiki/Bildverarbeitung"	"processamento de imagem"	"https://pt.wikipedia.org/wiki/Processamento_de_imagem"	"Retoc fotogràfic digital"	"https://ca.wikipedia.org/wiki/Retoc_fotogràfic_digital"	"zpracování obrazu"	"https://cs.wikipedia.org/wiki/Zpracování_obrazu"	
"Q355549"	"https://wikidata.org/wiki/Q355549"	"Photographic_emulsion"	""	""	"https://wikidata.org/wiki/Q187634
https://wikidata.org/wiki/Q15303351"			"emulsión fotográfica"	"https://es.wikipedia.org/wiki/Emulsión_fotográfica"	"photographic emulsion"	"https://en.wikipedia.org/wiki/Photographic_emulsion"			"Emulsione fotografica"	"https://it.wikipedia.org/wiki/Emulsione_fotografica"	"Fotoemulsion"	"https://de.wikipedia.org/wiki/Fotoemulsion"			"emulsió fotogràfica"	"https://ca.wikipedia.org/wiki/Emulsió_fotogràfica"			
"Q355645"	"https://wikidata.org/wiki/Q355645"	"Latent_image"	""	""	""					"latent image"	"https://en.wikipedia.org/wiki/Latent_image"	"Image latente"	"https://fr.wikipedia.org/wiki/Image_latente"							"imatge latent"	"https://ca.wikipedia.org/wiki/Imatge_latent"	"Latentní obraz"	"https://cs.wikipedia.org/wiki/Latentní_obraz"	
"Q172899"	"https://wikidata.org/wiki/Q172899"	"Photographic_developer"	""	""	"https://wikidata.org/wiki/Q1069267"			"revelador fotográfico"	"https://es.wikipedia.org/wiki/Revelador_fotográfico"	"photographic developer"	"https://en.wikipedia.org/wiki/Photographic_developer"					"Entwicklerflüssigkeit"	"https://de.wikipedia.org/wiki/Entwicklerflüssigkeit"	"revelador fotográfico"		"Revelador fotogràfic"	"https://ca.wikipedia.org/wiki/Revelador_fotogràfic"	"Vývojka"	"https://cs.wikipedia.org/wiki/Vývojka"	
"Q595597"	"https://wikidata.org/wiki/Q595597"	"Negative_(photography)"	""	""	"https://wikidata.org/wiki/Q125191"			"negativo"	"https://es.wikipedia.org/wiki/Negativo_fotográfico"	"negative"	"https://en.wikipedia.org/wiki/Negative_(photography)"	"film négatif"	"https://fr.wikipedia.org/wiki/Film_négatif"	"pellicola per negativi"	"https://it.wikipedia.org/wiki/Negativo_(fotografia)"	"Negativfilm"	"https://de.wikipedia.org/wiki/Negativfilm"	"negativo"	"https://pt.wikipedia.org/wiki/Negativo_(fotografia)"	"negatiu"	"https://ca.wikipedia.org/wiki/Negatiu"	"negativ"	"https://cs.wikipedia.org/wiki/Negativ"	
"Q1413646"	"https://wikidata.org/wiki/Q1413646"	"Positive_(photography)"	""	""	"https://wikidata.org/wiki/Q125191"			"positivo"		"positive"	"https://en.wikipedia.org/wiki/Positive_(photography)"	"positif"	"https://fr.wikipedia.org/wiki/Film_positif"	"positivo"		"Positiv"	"https://de.wikipedia.org/wiki/Positivfilm"					"pozitiv"		
"Q172839"	"https://wikidata.org/wiki/Q172839"	"Photographic_processing"	""	""	"https://wikidata.org/wiki/Q1408286
https://wikidata.org/wiki/Q1439691"	"Argazkien errebelatze"	"https://eu.wikipedia.org/wiki/Argazkien_errebelatze"	"procesamiento fotográfico"	"https://es.wikipedia.org/wiki/Revelado_fotográfico"	"photographic process"	"https://en.wikipedia.org/wiki/Photographic_processing"	"traitement des images photographiques"	"https://fr.wikipedia.org/wiki/Traitement_des_images_photographiques"	"sviluppo fotografico"	"https://it.wikipedia.org/wiki/Sviluppo_(fotografia)"	"Entwicklung"	"https://de.wikipedia.org/wiki/Entwicklung_(Fotografie)"	"revelação"	"https://pt.wikipedia.org/wiki/Revelação_fotográfica"	"revelatge fotogràfic"	"https://ca.wikipedia.org/wiki/Revelatge_fotogràfic"	"vyvolávání filmu"	"https://cs.wikipedia.org/wiki/Vyvolávání_filmu"	
"Q474642"	"https://wikidata.org/wiki/Q474642"	"Enlarger"	""	""	"https://wikidata.org/wiki/Q311666
https://wikidata.org/wiki/Q1183543"			"Ampliadora fotográfica"	"https://es.wikipedia.org/wiki/Ampliadora_fotográfica"	"enlarger"	"https://en.wikipedia.org/wiki/Enlarger"	"Agrandisseur"	"https://fr.wikipedia.org/wiki/Agrandisseur"	"ingranditore"	"https://it.wikipedia.org/wiki/Ingranditore"	"Vergrößerungsgerät"	"https://de.wikipedia.org/wiki/Vergrößerungsgerät"			"ampliadora"	"https://ca.wikipedia.org/wiki/Ampliadora"	"Zvětšovací přístroj"	"https://cs.wikipedia.org/wiki/Zvětšovací_přístroj"	
"Q372487"	"https://wikidata.org/wiki/Q372487"	"Contact_print"	"https://wikidata.org/wiki/Q47179108"	""	""			"Copia por contacto"	"https://es.wikipedia.org/wiki/Copia_por_contacto"	"contact print"	"https://en.wikipedia.org/wiki/Contact_print"	"tirage contact"	"https://fr.wikipedia.org/wiki/Tirage_contact"	"Stampa a contatto"	"https://it.wikipedia.org/wiki/Stampa_a_contatto"	"Kontaktkopie"	"https://de.wikipedia.org/wiki/Kontaktkopie"			"còpia per contacte"	"https://ca.wikipedia.org/wiki/Còpia_per_contacte"	"Kontaktní otisk"	"https://cs.wikipedia.org/wiki/Kontaktní_tisk"	
