"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q36133"	"https://wikidata.org/wiki/Q36133"	"Suelo"	""	"https://wikidata.org/wiki/Q941094
https://wikidata.org/wiki/Q8535454"	"https://wikidata.org/wiki/Q1155083
https://wikidata.org/wiki/Q11780457"	"Lurzoru"	"https://eu.wikipedia.org/wiki/Lurzoru"	"suelo"	"https://es.wikipedia.org/wiki/Suelo"	"soil"	"https://en.wikipedia.org/wiki/Soil"	"sol"	"https://fr.wikipedia.org/wiki/Sol_(pédologie)"	"suolo"	"https://it.wikipedia.org/wiki/Suolo"	"Boden"	"https://de.wikipedia.org/wiki/Boden_(Bodenkunde)"	"solo"	"https://pt.wikipedia.org/wiki/Solo"	"sòl"	"https://ca.wikipedia.org/wiki/Sòl"	"půda"	"https://cs.wikipedia.org/wiki/Půda"	
"Q838625"	"https://wikidata.org/wiki/Q838625"	"Bancal"	"https://wikidata.org/wiki/Q1165944"	""	"https://wikidata.org/wiki/Q828581"			"bancal"	"https://es.wikipedia.org/wiki/Bancal"	"terrace"	"https://en.wikipedia.org/wiki/Terrace_(earthworks)"	"culture en terrasses"	"https://fr.wikipedia.org/wiki/Culture_en_terrasses"	"terrazzamenti"	"https://it.wikipedia.org/wiki/Terrazzamento"	"Terrasse"	"https://de.wikipedia.org/wiki/Terrasse_(Geländeform)"	"terraceamento"	"https://pt.wikipedia.org/wiki/Terraceamento"	"cultiu en feixes"	"https://ca.wikipedia.org/wiki/Cultiu_en_feixes"	"Terasovité pole"	"https://cs.wikipedia.org/wiki/Terasovité_pole"	
"Q78484"	"https://wikidata.org/wiki/Q78484"	"Rudolf_Steiner"	"https://wikidata.org/wiki/Q5"	""	""	"Rudolf Steiner"	"https://eu.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://es.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://en.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://fr.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://it.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://de.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://pt.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://ca.wikipedia.org/wiki/Rudolf_Steiner"	"Rudolf Steiner"	"https://cs.wikipedia.org/wiki/Rudolf_Steiner"	
"Q11573"	"https://wikidata.org/wiki/Q11573"	"Metro"	"https://wikidata.org/wiki/Q223662
https://wikidata.org/wiki/Q1978718
https://wikidata.org/wiki/Q69197847
https://wikidata.org/wiki/Q82047053"	"https://wikidata.org/wiki/Q730906
https://wikidata.org/wiki/Q12457
https://wikidata.org/wiki/Q512417"	""	"metro"	"https://eu.wikipedia.org/wiki/Metro"	"metro"	"https://es.wikipedia.org/wiki/Metro"	"metre"	"https://en.wikipedia.org/wiki/Metre"	"mètre"	"https://fr.wikipedia.org/wiki/Mètre"	"metro"	"https://it.wikipedia.org/wiki/Metro"	"Meter"	"https://de.wikipedia.org/wiki/Meter"	"metro"	"https://pt.wikipedia.org/wiki/Metro"	"metre"	"https://ca.wikipedia.org/wiki/Metre"	"metr"	"https://cs.wikipedia.org/wiki/Metr"	
"Q1425425"	"https://wikidata.org/wiki/Q1425425"	"Tolerancia_(medicina)"	""	""	"https://wikidata.org/wiki/Q12147416"			"Tolerancia"	"https://es.wikipedia.org/wiki/Tolerancia_(medicina)"	"drug tolerance"	"https://en.wikipedia.org/wiki/Drug_tolerance"	"accoutumance"	"https://fr.wikipedia.org/wiki/Accoutumance"	"tolleranza"	"https://it.wikipedia.org/wiki/Tolleranza_(fisiologia)"	"Toleranzentwicklung"	"https://de.wikipedia.org/wiki/Toleranzentwicklung"	"Tolerância medicamentosa"	"https://pt.wikipedia.org/wiki/Tolerância_medicamentosa"	"tolerància als medicaments"		"tolerance"	"https://cs.wikipedia.org/wiki/Tolerance_(lékařství)"	
"Q2662845"	"https://wikidata.org/wiki/Q2662845"	"Enfermedades_de_las_plantas"	""	""	"https://wikidata.org/wiki/Q12136"			"enfermedad de las plantas"	"https://es.wikipedia.org/wiki/Enfermedades_de_las_plantas"	"plant disease"		"maladie des plantes"	"https://fr.wikipedia.org/wiki/Maladies_des_plantes"			"Pflanzenkrankheit"	"https://de.wikipedia.org/wiki/Pflanzenkrankheit"			"malaltia de les plantes"		"choroba rostlin"	"https://cs.wikipedia.org/wiki/Choroby_rostlin"	
"Q47041"	"https://wikidata.org/wiki/Q47041"	"Biodiversidad"	""	""	"https://wikidata.org/wiki/Q420
https://wikidata.org/wiki/Q1230584"	"Bioaniztasun"	"https://eu.wikipedia.org/wiki/Biodibertsitate"	"biodiversidad"	"https://es.wikipedia.org/wiki/Biodiversidad"	"biodiversity"	"https://en.wikipedia.org/wiki/Biodiversity"	"biodiversité"	"https://fr.wikipedia.org/wiki/Biodiversité"	"biodiversità"	"https://it.wikipedia.org/wiki/Biodiversità"	"Biodiversität"	"https://de.wikipedia.org/wiki/Biodiversität"	"biodiversidade"	"https://pt.wikipedia.org/wiki/Biodiversidade"	"biodiversitat"	"https://ca.wikipedia.org/wiki/Biodiversitat"	"biologická diverzita"	"https://cs.wikipedia.org/wiki/Biodiverzita"	
"Q2925555"	"https://wikidata.org/wiki/Q2925555"	"Lumbricidae"	"https://wikidata.org/wiki/Q16521"	""	""	"Lumbricidae"		"lombriz"	"https://es.wikipedia.org/wiki/Lumbricidae"	"Lumbricidae"	"https://en.wikipedia.org/wiki/Lumbricidae"	"Lumbricidae"	"https://fr.wikipedia.org/wiki/Lumbricidae"	"Lumbricidae"		"Regenwürmer"	"https://de.wikipedia.org/wiki/Regenwürmer"	"Lumbricidae"	"https://pt.wikipedia.org/wiki/Lumbricidae"	"Lumbrícid"	"https://ca.wikipedia.org/wiki/Lumbrícids"	"žížalovití"		
"Q764"	"https://wikidata.org/wiki/Q764"	"Fungi"	"https://wikidata.org/wiki/Q16521"	""	"https://wikidata.org/wiki/Q7239"	"onddo"	"https://eu.wikipedia.org/wiki/Onddo"	"Fungi"	"https://es.wikipedia.org/wiki/Fungi"	"fungus"	"https://en.wikipedia.org/wiki/Fungus"	"Fungi"	"https://fr.wikipedia.org/wiki/Fungi"	"Fungi"	"https://it.wikipedia.org/wiki/Fungi"	"Pilze"	"https://de.wikipedia.org/wiki/Pilze"	"fungus"	"https://pt.wikipedia.org/wiki/Fungi"	"fong"	"https://ca.wikipedia.org/wiki/Fongs"	"houby"	"https://cs.wikipedia.org/wiki/Houby"	
"Q830142"	"https://wikidata.org/wiki/Q830142"	"Rhizobium"	"https://wikidata.org/wiki/Q16521"	""	""	"Rhizobium"	"https://eu.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://es.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://en.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://fr.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://it.wikipedia.org/wiki/Rhizobium"	"Knöllchenbakterien"	"https://de.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://pt.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://ca.wikipedia.org/wiki/Rhizobium"	"Rhizobium"	"https://cs.wikipedia.org/wiki/Rhizobium"	
