"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q680042"	"https://wikidata.org/wiki/Q680042"	"Hyponym"	""	"https://wikidata.org/wiki/Q43201078"	"https://wikidata.org/wiki/Q8171"	"hiponimo"	"https://eu.wikipedia.org/wiki/Hiponimo"	"hipónimo"	"https://es.wikipedia.org/wiki/Hipónimo"	"hyponym"	"https://en.wikipedia.org/wiki/Hyponym"	"hyponyme"	"https://fr.wikipedia.org/wiki/Hyponyme"	"iponimo"	"https://it.wikipedia.org/wiki/Iponimo"	"Hyponym"		"hipônimo"	"https://pt.wikipedia.org/wiki/Hipônimo"	"hipònim"	"https://ca.wikipedia.org/wiki/Hipònim"	"hyponymum"		
"Q1725664"	"https://wikidata.org/wiki/Q1725664"	"Terminology"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q8162
https://wikidata.org/wiki/Q1235196"	"terminologia"	"https://eu.wikipedia.org/wiki/Terminologia"	"terminología"	"https://es.wikipedia.org/wiki/Terminología"	"terminology"	"https://en.wikipedia.org/wiki/Terminology"	"terminologie"	"https://fr.wikipedia.org/wiki/Terminologie"	"terminologia"	"https://it.wikipedia.org/wiki/Terminologia"	"Terminologielehre"	"https://de.wikipedia.org/wiki/Terminologielehre"	"terminologia"	"https://pt.wikipedia.org/wiki/Terminologia"	"terminologia"	"https://ca.wikipedia.org/wiki/Terminologia"	"terminologie"	"https://cs.wikipedia.org/wiki/Terminologie"	
"Q199897"	"https://wikidata.org/wiki/Q199897"	"Medical_Subject_Headings"	"https://wikidata.org/wiki/Q17152639
https://wikidata.org/wiki/Q1916557"	""	""	"Medical Subject Headings"	"https://eu.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://es.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://en.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://fr.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://it.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://de.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://pt.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://ca.wikipedia.org/wiki/Medical_Subject_Headings"	"Medical Subject Headings"	"https://cs.wikipedia.org/wiki/Medical_Subject_Headings"	
"Q2915193"	"https://wikidata.org/wiki/Q2915193"	"Education_Resources_Information_Center"	"https://wikidata.org/wiki/Q212805
https://wikidata.org/wiki/Q7096323
https://wikidata.org/wiki/Q22222786"	"https://wikidata.org/wiki/Q6040253"	""			"Education Resources Information Center"	"https://es.wikipedia.org/wiki/Education_Resources_Information_Center"	"Education Resources Information Center"	"https://en.wikipedia.org/wiki/Education_Resources_Information_Center"	"Education Resources Information Center"	"https://fr.wikipedia.org/wiki/Education_Resources_Information_Center"											
"Q180160"	"https://wikidata.org/wiki/Q180160"	"Metadata"	""	"https://wikidata.org/wiki/Q59139053"	"https://wikidata.org/wiki/Q42848
https://wikidata.org/wiki/Q59157859
https://wikidata.org/wiki/Q16686448"	"Metadatu"	"https://eu.wikipedia.org/wiki/Metadatu"	"metadato"	"https://es.wikipedia.org/wiki/Metadatos"	"metadata"	"https://en.wikipedia.org/wiki/Metadata"	"métadonnée"	"https://fr.wikipedia.org/wiki/Métadonnée"	"metadato"	"https://it.wikipedia.org/wiki/Metadato"	"Metadaten"	"https://de.wikipedia.org/wiki/Metadaten"	"metadados"	"https://pt.wikipedia.org/wiki/Metadados"	"metadades"	"https://ca.wikipedia.org/wiki/Metadades"	"metadata"	"https://cs.wikipedia.org/wiki/Metadata"	
"Q5465779"	"https://wikidata.org/wiki/Q5465779"	"Football_(word)"	"https://wikidata.org/wiki/Q8171"	""	""					"Football"	"https://en.wikipedia.org/wiki/Football_(word)"													
"Q216048"	"https://wikidata.org/wiki/Q216048"	"Team_sport"	"https://wikidata.org/wiki/Q31629"	"https://wikidata.org/wiki/Q1744559"	"https://wikidata.org/wiki/Q349
https://wikidata.org/wiki/Q4438147"	"talde kirol"	"https://eu.wikipedia.org/wiki/Talde-kirol"	"deporte de equipo"	"https://es.wikipedia.org/wiki/Deporte_de_equipo"	"team sport"	"https://en.wikipedia.org/wiki/Team_sport"	"sport d'équipe"	"https://fr.wikipedia.org/wiki/Sport_collectif"	"sport di squadra"	"https://it.wikipedia.org/wiki/Sport_di_squadra"	"Mannschaftssport"	"https://de.wikipedia.org/wiki/Mannschaftssport"	"desporto coletivo"		"esport d'equip"	"https://ca.wikipedia.org/wiki/Esports_d'equip"	"kolektivní sport"	"https://cs.wikipedia.org/wiki/Kolektivní_sport"	
"Q5378"	"https://wikidata.org/wiki/Q5378"	"Rugby_football"	"https://wikidata.org/wiki/Q31629"	""	"https://wikidata.org/wiki/Q1081491"	"errugbi"	"https://eu.wikipedia.org/wiki/Errugbi_(kirola)"	"rugby"	"https://es.wikipedia.org/wiki/Rugby"	"rugby"	"https://en.wikipedia.org/wiki/Rugby_football"	"rugby"	"https://fr.wikipedia.org/wiki/Rugby_(sport)"	"rugby"	"https://it.wikipedia.org/wiki/Rugby"	"Rugby"	"https://de.wikipedia.org/wiki/Rugby"	"râguebi"	"https://pt.wikipedia.org/wiki/Rugby"	"rugbi"	"https://ca.wikipedia.org/wiki/Rugbi"	"ragby"	"https://cs.wikipedia.org/wiki/Ragby"	
"Q5849"	"https://wikidata.org/wiki/Q5849"	"Rugby_union"	"https://wikidata.org/wiki/Q2312410"	""	"https://wikidata.org/wiki/Q5378"	"hamabosteko errugbi"	"https://eu.wikipedia.org/wiki/Hamabosteko_errugbi"	"rugby a 15"	"https://es.wikipedia.org/wiki/Rugby_union"	"rugby union"	"https://en.wikipedia.org/wiki/Rugby_union"	"rugby à XV"	"https://fr.wikipedia.org/wiki/Rugby_à_XV"	"rugby a 15"	"https://it.wikipedia.org/wiki/Rugby_a_15"	"Rugby Union"	"https://de.wikipedia.org/wiki/Rugby_Union"	"râguebi de quinze"		"rugbi a 15"	"https://ca.wikipedia.org/wiki/Rugbi_a_15"	"rugby union"	"https://cs.wikipedia.org/wiki/Rugby_union"	
"Q10962"	"https://wikidata.org/wiki/Q10962"	"Rugby_league"	"https://wikidata.org/wiki/Q877517"	""	"https://wikidata.org/wiki/Q5378"	"hamahiruko errugbi"	"https://eu.wikipedia.org/wiki/Hamahiruko_errugbi"	"rugby league"	"https://es.wikipedia.org/wiki/Rugby_league"	"rugby league"	"https://en.wikipedia.org/wiki/Rugby_league"	"rugby à XIII"	"https://fr.wikipedia.org/wiki/Rugby_à_XIII"	"rugby a 13"	"https://it.wikipedia.org/wiki/Rugby_a_13"	"Rugby League"	"https://de.wikipedia.org/wiki/Rugby_League"	"râguebi de treze"	"https://pt.wikipedia.org/wiki/Rugby_league"	"rugbi a 13"	"https://ca.wikipedia.org/wiki/Rugbi_a_13"	"rugby league"	"https://cs.wikipedia.org/wiki/Rugby_league"	
