"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q9381"	"https://wikidata.org/wiki/Q9381"	"Adam_Smith"	"https://wikidata.org/wiki/Q5"	""	""	"Adam Smith"	"https://eu.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://es.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://en.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://fr.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://it.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://de.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://pt.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://ca.wikipedia.org/wiki/Adam_Smith"	"Adam Smith"	"https://cs.wikipedia.org/wiki/Adam_Smith"	
"Q160270"	"https://wikidata.org/wiki/Q160270"	"David_Ricardo"	"https://wikidata.org/wiki/Q5"	""	""	"David Ricardo"	"https://eu.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://es.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://en.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://fr.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://it.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://de.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://pt.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://ca.wikipedia.org/wiki/David_Ricardo"	"David Ricardo"	"https://cs.wikipedia.org/wiki/David_Ricardo"	
"Q8137"	"https://wikidata.org/wiki/Q8137"	"Kapital"	"https://wikidata.org/wiki/Q29028649"	""	"https://wikidata.org/wiki/Q3736009"	"kapital"	"https://eu.wikipedia.org/wiki/Kapital_(ekoizpen-faktorea)"	"capital"	"https://es.wikipedia.org/wiki/Capital_(economía)"	"capital"	"https://en.wikipedia.org/wiki/Capital_(economics)"	"capital"	"https://fr.wikipedia.org/wiki/Capital"	"capitale"	"https://it.wikipedia.org/wiki/Capitale_(economia)"	"Kapital"	"https://de.wikipedia.org/wiki/Kapital"	"capital"	"https://pt.wikipedia.org/wiki/Capital_(economia)"	"capital"	"https://ca.wikipedia.org/wiki/Capital_(economia)"	"kapitál"	"https://cs.wikipedia.org/wiki/Kapitál"	
"Q10923090"	"https://wikidata.org/wiki/Q10923090"	"Dialektik_bei_Marx_und_Engels#Dialektik_als_die_Methode_des_Aufsteigens_vom_Abstrakten_zum_Konkreten"	""	""	"https://wikidata.org/wiki/Q9453"					"Materialist Dialectics"						"Dialektik bei Marx und Engels"	"https://de.wikipedia.org/wiki/Dialektik_bei_Marx_und_Engels"							
"Q9235"	"https://wikidata.org/wiki/Q9235"	"Georg_Wilhelm_Friedrich_Hegel"	"https://wikidata.org/wiki/Q5"	""	""	"Georg Wilhelm Friedrich Hegel"	"https://eu.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://es.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://fr.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://it.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://de.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://pt.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://ca.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	"Georg Wilhelm Friedrich Hegel"	"https://cs.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel"	
"Q714737"	"https://wikidata.org/wiki/Q714737"	"Kategorie_(Philosophie)"	"https://wikidata.org/wiki/Q33104279"	"https://wikidata.org/wiki/Q44325"	"https://wikidata.org/wiki/Q151885"	"kategoria"	"https://eu.wikipedia.org/wiki/Kategoria_(filosofia)"	"categoría"	"https://es.wikipedia.org/wiki/Categoría"	"category of being"	"https://en.wikipedia.org/wiki/Theory_of_Categories"	"catégorie"		"categoria"	"https://it.wikipedia.org/wiki/Categoria_(filosofia)"	"Kategorie"	"https://de.wikipedia.org/wiki/Kategorie_(Philosophie)"	"categoria"	"https://pt.wikipedia.org/wiki/Categoria_(filosofia)"	"categoria"		"kategorie"	"https://cs.wikipedia.org/wiki/Kategorie_(filosofie)"	
"Q101988"	"https://wikidata.org/wiki/Q101988"	"Helmut_Reichelt"	"https://wikidata.org/wiki/Q5"	""	""			"Helmut Reichelt"		"Helmut Reichelt"	"https://en.wikipedia.org/wiki/Helmut_Reichelt"	"Helmut Reichelt"		"Helmut Reichelt"		"Helmut Reichelt"	"https://de.wikipedia.org/wiki/Helmut_Reichelt"	"Helmut Reichelt"		"Helmut Reichelt"				
"Q63551"	"https://wikidata.org/wiki/Q63551"	"Henryk_Grossmann"	"https://wikidata.org/wiki/Q5"	""	""			"Henryk Grossman"	"https://es.wikipedia.org/wiki/Henryk_Grossman"	"Henryk Grossman"	"https://en.wikipedia.org/wiki/Henryk_Grossman"	"Henryk Grossmann"	"https://fr.wikipedia.org/wiki/Henryk_Grossmann"	"Henryk Grossman"	"https://it.wikipedia.org/wiki/Henryk_Grossman"	"Henryk Grossmann"	"https://de.wikipedia.org/wiki/Henryk_Grossmann"	"Henryk Grossmam"		"Henryk Grossmann"				
"Q3748888"	"https://wikidata.org/wiki/Q3748888"	"Arbeitskraft"	"https://wikidata.org/wiki/Q29028649"	"https://wikidata.org/wiki/Q1433881"	""	"Lan-indarra"	"https://eu.wikipedia.org/wiki/Lan-indar"	"fuerza de trabajo"	"https://es.wikipedia.org/wiki/Fuerza_de_trabajo"	"labour power"	"https://en.wikipedia.org/wiki/Labour_power"	"force de travail"	"https://fr.wikipedia.org/wiki/Force_de_travail"	"forza-lavoro"	"https://it.wikipedia.org/wiki/Forza-lavoro"	"Arbeitskraft"	"https://de.wikipedia.org/wiki/Arbeitskraft"	"força de trabalho"	"https://pt.wikipedia.org/wiki/Força_de_trabalho"	"força de treball"				
"Q332425"	"https://wikidata.org/wiki/Q332425"	"Mehrwert_(Marxismus)"	"https://wikidata.org/wiki/Q1401304"	""	"https://wikidata.org/wiki/Q1850816"	"Gainbalio"	"https://eu.wikipedia.org/wiki/Gainbalio"	"plusvalor"	"https://es.wikipedia.org/wiki/Plusvalor"	"surplus value"	"https://en.wikipedia.org/wiki/Surplus_value"	"plus-value"	"https://fr.wikipedia.org/wiki/Plus-value_(marxisme)"	"plusvalore"	"https://it.wikipedia.org/wiki/Plusvalore"	"Mehrwert"	"https://de.wikipedia.org/wiki/Mehrwert_(Marxismus)"	"mais-valia"	"https://pt.wikipedia.org/wiki/Mais-valia"	"plusvàlua"	"https://ca.wikipedia.org/wiki/Plusvàlua"	"Nadhodnota"	"https://cs.wikipedia.org/wiki/Nadhodnota"	
