"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q1770362"	"https://wikidata.org/wiki/Q1770362"	"Air Force blue"	"https://wikidata.org/wiki/Q1075"	""	"https://wikidata.org/wiki/Q1088"					"Air Force blue"	"https://en.wikipedia.org/wiki/Air_Force_blue"			"Avio"	"https://it.wikipedia.org/wiki/Avio_(colore)"			"Azul força aérea"	"https://pt.wikipedia.org/wiki/Azul_força_aérea"					
"Q17118741"	"https://wikidata.org/wiki/Q17118741"	"Shades of violet"	"https://wikidata.org/wiki/Q97380911"	""	"https://wikidata.org/wiki/Q372948"			"variedades de violeta"		"shade of violet"	"https://en.wikipedia.org/wiki/Shades_of_violet"	"nuance de violet"				"Violettton"				"varietats de violat"		"odstíny fialové"		
"Q1770362"	"https://wikidata.org/wiki/Q1770362"	"Air Force blue"	"https://wikidata.org/wiki/Q1075"	""	"https://wikidata.org/wiki/Q1088"					"Air Force blue"	"https://en.wikipedia.org/wiki/Air_Force_blue"			"Avio"	"https://it.wikipedia.org/wiki/Avio_(colore)"			"Azul força aérea"	"https://pt.wikipedia.org/wiki/Azul_força_aérea"					
"Q7460350"	"https://wikidata.org/wiki/Q7460350"	"Shades of white"	"https://wikidata.org/wiki/Q97380911"	""	"https://wikidata.org/wiki/Q372948"			"variedades de blanco"		"shade of white"	"https://en.wikipedia.org/wiki/Shades_of_white"	"nuance de blanc"				"Weißton"						"odstíny bílé"		
"Q372669"	"https://wikidata.org/wiki/Q372669"	"Alice blue"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460342
https://wikidata.org/wiki/Q7915816"	"https://wikidata.org/wiki/Q1088"			"alice blue"	"https://es.wikipedia.org/wiki/Alice_blue"	"alice blue"	"https://en.wikipedia.org/wiki/Alice_blue"			"blu alice"	"https://it.wikipedia.org/wiki/Blu_alice"			"alice blue"	"https://pt.wikipedia.org/wiki/Alice_blue"					
"Q454847"	"https://wikidata.org/wiki/Q454847"	"Amaranth (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q3142
https://wikidata.org/wiki/Q429220"			"amaranto"	"https://es.wikipedia.org/wiki/Amaranto_(color)"	"amaranth"	"https://en.wikipedia.org/wiki/Amaranth_(color)"	"amarante"	"https://fr.wikipedia.org/wiki/Amarante_(couleur)"	"amaranto"	"https://it.wikipedia.org/wiki/Amaranto_(colore)"	"Amarant"	"https://de.wikipedia.org/wiki/Amarant_(Farbe)"			"Amarant (color)"	"https://ca.wikipedia.org/wiki/Amarant_(color)"			
"Q19847194"	"https://wikidata.org/wiki/Q19847194"	"Shades of orange"	"https://wikidata.org/wiki/Q97380911"	""	"https://wikidata.org/wiki/Q372948"			"variedades de naranja"	"https://es.wikipedia.org/wiki/Melón_(color)"	"shade of orange"	"https://en.wikipedia.org/wiki/Shades_of_orange"	"nuance d'orange"				"Orangeton"				"tonalitats de taronja"				
"Q454847"	"https://wikidata.org/wiki/Q454847"	"Amaranth (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q3142
https://wikidata.org/wiki/Q429220"			"amaranto"	"https://es.wikipedia.org/wiki/Amaranto_(color)"	"amaranth"	"https://en.wikipedia.org/wiki/Amaranth_(color)"	"amarante"	"https://fr.wikipedia.org/wiki/Amarante_(couleur)"	"amaranto"	"https://it.wikipedia.org/wiki/Amaranto_(colore)"	"Amarant"	"https://de.wikipedia.org/wiki/Amarant_(Farbe)"			"Amarant (color)"	"https://ca.wikipedia.org/wiki/Amarant_(color)"			
"Q454847"	"https://wikidata.org/wiki/Q454847"	"Amaranth (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q3142
https://wikidata.org/wiki/Q429220"			"amaranto"	"https://es.wikipedia.org/wiki/Amaranto_(color)"	"amaranth"	"https://en.wikipedia.org/wiki/Amaranth_(color)"	"amarante"	"https://fr.wikipedia.org/wiki/Amarante_(couleur)"	"amaranto"	"https://it.wikipedia.org/wiki/Amaranto_(colore)"	"Amarant"	"https://de.wikipedia.org/wiki/Amarant_(Farbe)"			"Amarant (color)"	"https://ca.wikipedia.org/wiki/Amarant_(color)"			
"Q454847"	"https://wikidata.org/wiki/Q454847"	"Amaranth (color)"	"https://wikidata.org/wiki/Q1075"	"https://wikidata.org/wiki/Q7460345
https://wikidata.org/wiki/Q19847189"	"https://wikidata.org/wiki/Q3142
https://wikidata.org/wiki/Q429220"			"amaranto"	"https://es.wikipedia.org/wiki/Amaranto_(color)"	"amaranth"	"https://en.wikipedia.org/wiki/Amaranth_(color)"	"amarante"	"https://fr.wikipedia.org/wiki/Amarante_(couleur)"	"amaranto"	"https://it.wikipedia.org/wiki/Amaranto_(colore)"	"Amarant"	"https://de.wikipedia.org/wiki/Amarant_(Farbe)"			"Amarant (color)"	"https://ca.wikipedia.org/wiki/Amarant_(color)"			
