"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q828322"	"https://wikidata.org/wiki/Q828322"	"Platform game"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q270948"	"plataforma-bideo joko"	"https://eu.wikipedia.org/wiki/Plataforma_bideo-joko"	"videojuego de plataformas"	"https://es.wikipedia.org/wiki/Videojuego_de_plataformas"	"platform game"	"https://en.wikipedia.org/wiki/Platform_game"	"jeu de plates-formes"	"https://fr.wikipedia.org/wiki/Jeu_de_plates-formes"	"videogioco a piattaforme"	"https://it.wikipedia.org/wiki/Videogioco_a_piattaforme"	"Jump ’n’ Run"	"https://de.wikipedia.org/wiki/Jump_’n’_Run"	"jogo eletrônico de plataforma"	"https://pt.wikipedia.org/wiki/Jogo_eletrônico_de_plataforma"	"videojoc de plataformes"	"https://ca.wikipedia.org/wiki/Videojoc_de_plataformes"	"plošinovka"	"https://cs.wikipedia.org/wiki/Plošinovka"	
"Q4282636"	"https://wikidata.org/wiki/Q4282636"	"Shooter game"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q270948"	"tiro bideo-joko"		"videojuego de disparos"	"https://es.wikipedia.org/wiki/Videojuego_de_disparos"	"shooter game"	"https://en.wikipedia.org/wiki/Shooter_game"	"jeu de tir"	"https://fr.wikipedia.org/wiki/Jeu_de_tir"	"sparatutto"	"https://it.wikipedia.org/wiki/Sparatutto"	"Shooter"	"https://de.wikipedia.org/wiki/Shooter_(Computerspielgenre)"	"jogo eletrônico de tiro"	"https://pt.wikipedia.org/wiki/Jogo_eletrônico_de_tiro"	"videojoc de tir"	"https://ca.wikipedia.org/wiki/Videojoc_de_tir"	"střílečka"		
"Q185029"	"https://wikidata.org/wiki/Q185029"	"First-person shooter"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q4282636"	"lehen pertsonako tiro bideo-joko"	"https://eu.wikipedia.org/wiki/Lehen_pertsonako_tiro_bideo-joko"	"disparos en primera persona"	"https://es.wikipedia.org/wiki/Videojuego_de_disparos_en_primera_persona"	"first-person shooter"	"https://en.wikipedia.org/wiki/First-person_shooter"	"jeu de tir en vue subjective"	"https://fr.wikipedia.org/wiki/Jeu_de_tir_à_la_première_personne"	"sparatutto in prima persona"	"https://it.wikipedia.org/wiki/Sparatutto_in_prima_persona"	"Ego-Shooter"	"https://de.wikipedia.org/wiki/Ego-Shooter"	"jogo de tiro em primeira pessoa"	"https://pt.wikipedia.org/wiki/Tiro_em_primeira_pessoa"	"acció en primera persona"	"https://ca.wikipedia.org/wiki/Videojoc_d'acció_en_primera_persona"	"střílečka z pohledu první osoby"	"https://cs.wikipedia.org/wiki/First-person_shooter"	
"Q3965952"	"https://wikidata.org/wiki/Q3965952"	"Light gun shooter"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q4282636"					"light gun shooter"	"https://en.wikipedia.org/wiki/Light_gun_shooter"	"jeu de tir au pistolet optique"	"https://fr.wikipedia.org/wiki/Tir_au_pistolet_optique"	"sparatutto su rotaie"	"https://it.wikipedia.org/wiki/Sparatutto_con_pistola_ottica"	"Lightgun-Shooter"				"tic amb pistola de llum"				
"Q380266"	"https://wikidata.org/wiki/Q380266"	"Third-person shooter"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q4282636
https://wikidata.org/wiki/Q9086092"	"hirugarren pertsonako tiro bideo-joko"	"https://eu.wikipedia.org/wiki/Hirugarren_pertsonako_tiro_bideo-joko"	"disparos en tercera persona"	"https://es.wikipedia.org/wiki/Videojuego_de_disparos_en_tercera_persona"	"third-person shooter"	"https://en.wikipedia.org/wiki/Third-person_shooter"	"jeu de tir à la troisième personne"	"https://fr.wikipedia.org/wiki/Jeu_de_tir_à_la_troisième_personne"	"sparatutto in terza persona"	"https://it.wikipedia.org/wiki/Sparatutto_in_terza_persona"	"Third-Person-Shooter"	"https://de.wikipedia.org/wiki/Third-Person-Shooter"	"tiro em terceira pessoa"	"https://pt.wikipedia.org/wiki/Tiro_em_terceira_pessoa"	"acció en tercera persona"	"https://ca.wikipedia.org/wiki/Videojoc_d'acció_en_tercera_persona"	"střílečka z pohledu třetí osoby"	"https://cs.wikipedia.org/wiki/Third-person_shooter"	
"Q104830011"	"https://wikidata.org/wiki/Q104830011"	"Hero shooter"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q4282636"			"hero shooter"	"https://es.wikipedia.org/wiki/Hero_shooter"	"hero shooter"	"https://en.wikipedia.org/wiki/Hero_shooter"													
"Q1260861"	"https://wikidata.org/wiki/Q1260861"	"Tactical shooter"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q185029"			"videojuego de disparos táctico"	"https://es.wikipedia.org/wiki/Videojuego_de_disparos_táctico"	"tactical shooter"	"https://en.wikipedia.org/wiki/Tactical_shooter"	"jeu de tir tactique"	"https://fr.wikipedia.org/wiki/Jeu_de_tir_tactique"	"sparatutto tattico"	"https://it.wikipedia.org/wiki/Sparatutto_tattico"	"Taktik-Shooter"	"https://de.wikipedia.org/wiki/Taktik-Shooter"	"jogo de tiro tático"	"https://pt.wikipedia.org/wiki/Jogo_de_tiro_tático"	"videojoc d'acció tàctica"	"https://ca.wikipedia.org/wiki/Videojoc_d'acció_tàctica"	"taktická střílečka"		
"Q21030988"	"https://wikidata.org/wiki/Q21030988"	"Survival game"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q270948
https://wikidata.org/wiki/Q100965152"	"biziraupen joko"		"Supervivencia, Aventura y Sandbox"	"https://es.wikipedia.org/wiki/Videojuego_de_supervivencia"	"survival game"	"https://en.wikipedia.org/wiki/Survival_game"	"jeu de survie"	"https://fr.wikipedia.org/wiki/Jeu_de_survie"	"videogioco di sopravvivenza"	"https://it.wikipedia.org/wiki/Videogioco_di_sopravvivenza"	"Survival-Spiel"	"https://de.wikipedia.org/wiki/Survival-Spiel"	"jogo de sobrevivência"	"https://pt.wikipedia.org/wiki/Jogo_eletrônico_de_sobrevivência"	"joc de supervivència"		"hra o přežití"		
"Q30607131"	"https://wikidata.org/wiki/Q30607131"	"Battle royale game"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q21030988
https://wikidata.org/wiki/Q4282636"			"battle royale"	"https://es.wikipedia.org/wiki/Battle_royale_(videojuegos)"	"battle royale game"	"https://en.wikipedia.org/wiki/Battle_royale_game"	"battle royale"	"https://fr.wikipedia.org/wiki/Battle_royale_(genre_de_jeu_vidéo)"	"battle royale"	"https://it.wikipedia.org/wiki/Battle_royale_(videogiochi)"	"Battle Royale"	"https://de.wikipedia.org/wiki/Battle_Royale_(Genre)"	"jogo eletrônico de batalha real"	"https://pt.wikipedia.org/wiki/Battle_royale_(jogos_eletrônicos)"	"battle royale"	"https://ca.wikipedia.org/wiki/Videojoc_battle_royale"	"battle royale"	"https://cs.wikipedia.org/wiki/Battle_royale"	
"Q343568"	"https://wikidata.org/wiki/Q343568"	"Action-adventure game"	"https://wikidata.org/wiki/Q659563"	""	"https://wikidata.org/wiki/Q23916
https://wikidata.org/wiki/Q270948"	"akzio eta abentura bideo-joko"		"acción-aventura"	"https://es.wikipedia.org/wiki/Videojuego_de_acción_y_aventura"	"action-adventure game"	"https://en.wikipedia.org/wiki/Action-adventure_game"	"jeu d'action-aventure"	"https://fr.wikipedia.org/wiki/Jeu_d'action-aventure"	"avventura dinamica"	"https://it.wikipedia.org/wiki/Avventura_dinamica"	"Action-Adventure"	"https://de.wikipedia.org/wiki/Action-Adventure"	"jogo eletrônico de ação-aventura"	"https://pt.wikipedia.org/wiki/Jogo_eletrônico_de_ação_e_aventura"	"videojoc d'acció i aventura"	"https://ca.wikipedia.org/wiki/Videojoc_d'acció_i_aventura"	"akční adventura"	"https://cs.wikipedia.org/wiki/Akční_adventura"	
"Q867123"	"https://wikidata.org/wiki/Q867123"	"Open world"	"https://wikidata.org/wiki/Q1751513"	""	"https://wikidata.org/wiki/Q1331296
https://wikidata.org/wiki/Q21802675"	"mundu ireki"		"videojuego de mundo abierto"	"https://es.wikipedia.org/wiki/Videojuego_de_mundo_abierto"	"open world"	"https://en.wikipedia.org/wiki/Open_world"	"monde ouvert"	"https://fr.wikipedia.org/wiki/Monde_ouvert"	"open world"	"https://it.wikipedia.org/wiki/Open_world"	"Open-World-Spiel"	"https://de.wikipedia.org/wiki/Open-World-Spiel"	"mundo aberto"	"https://pt.wikipedia.org/wiki/Mundo_aberto"	"món obert"	"https://ca.wikipedia.org/wiki/Món_obert"	"hra s otevřeným světem"	"https://cs.wikipedia.org/wiki/Hra_s_otevřeným_světem"	
