id	lemma	pos
271	akupana	s.
272	akurma	s.
273	akuy	v.intr.
274	akuy	v.tr.
275	akwa	s.
276	akwa-akwa	s.
277	akwa hiringa	v.tr.
278	akyay	s.
279	ala	s.
280	Alabadu	s.
281	alabaduq	s.a.
282	alabaduy	v.tr.
283	alabakuq	adj.
284	alabay	v.tr.
285	ala khuyay khuyaylla	s.
286	alalachiy	v.tr.
287	alalaq	adj.
288	alalaqrusqa	p.p.p.
289	alalasqa	p.p.
290	Alalaw!	interj.
291	Alalaw!	interj.
292	alalay	s.
293	alalay	s.
294	alalay	v.impers.
295	alalay	v.tr.
296	Alama	s.
297	alamu	s.
298	alapay	v.tr.
299	alariy	v.mov.
300	alasan	adj.
301	alaski	s.
302	alasta quy	expr.v.
303	alaw!	interj.
304	alawniy	v.pron.
305	alaw ñiy	v.dic.
306	alay	s.
307	alay	s.
308	alay	v.impers.
309	alay	v.impers.
310	alaymuska	s.
311	alayri	adj.
312	alayri	expr.adv.
313	alchay	v.tr.
314	algudun	s.
315	alhibra	s.
316	alhibrap	adj.poses.
317	alhiwra	s.
318	ali	s.
319	aligri	adj.
320	aligriyay	v.intr.
321	aliman	s.
322	alimintu	s.
323	alimiski	s.
324	alistakuy	v.
325	alistay	v.tr.
326	alkaldi	s.
327	alkatakuy	v.intr.
328	alkay	v.tr.
329	alki	s.
330	alkilay	v.tr.
331	alkul	s.
332	alkula	s.
333	alkuy	v.tr.
334	alma	s.
335	alma pampana	s.
336	almasay	v.
337	almilla	s.
338	almusa	s.
339	almusay	v.tr.
340	almut	s.
341	alpargatis	s.
342	alpurha	s.
343	alqa	adj.
344	alqa	s.
345	alqa	s.
346	alqa	s.
347	alqa-alqa	adj.
348	alqamari	s.
349	Alqamayu	s.
350	alqay	v.tr.
351	alsa	s.
352	alsakay	v.mov.
353	alsakuy	s.
354	alsakuy	v.intr.
355	alsakuy	v.tr.
356	alsay	v.tr.
357	altay	v.tr.
358	altu	adj.
359	altu	s.
360	Altu Mayu	s.
361	altumisayuq	s.
362	altupiña ch'aska	s.
363	altus	s.
364	alud	s.
365	aluhakuy	v.intr.
366	alukay	v.tr.
367	aluminiyu	s.
368	alumnu	s.
369	alunsillu	s.
370	alunsu	s.
371	alwa	s.
372	alwiris	s.
373	alwun	s.
374	alwuritmu	s.
375	allá	adv.l.
376	allachikuy	v.tr.
377	allachiy	v.tr.
378	allachu	s.
379	allakuq	s.
380	allakuy	v.intr.
381	allallanka	s.
382	allampasu	s.
383	allamuy	v.tr.
384	allana	s.
385	Allana	s.
