id	lemma	pos
4244	ch'uqrikuy	v.intr.
4245	ch'uqrisapa	s.p.
4246	ch'uqriy	v.intr.
4247	ch'uqriy	v.tr.
4248	ch'uqriyku	s.
4249	ch'uqri yuyu	s.
4250	ch'uqunakuy	v.tr.
4251	ch'uquy	v.tr.
4252	ch'ura	s.
4253	ch'uraq	adj.
4254	ch'urki	s.
4255	ch'urkiy	v.tr.
4256	ch'urkiyakuy	v.tr.
4257	ch'urkuy	v.tr.
4258	ch'uru	s.
4259	ch'usa	s.
4260	ch'usa kay	v.intr.
4261	ch'usaq	adj.
4262	ch'usaq	num.c.
4263	ch'usaq	pron.indef.
4264	ch'usaq	s.
4265	ch'usaq	s.
4266	ch'usaq	s.
4267	ch'usaq	s.a.
4268	ch'usaqapuy	v.tr.
4269	ch'usaqchay	v.tr.
4270	ch'usaqta kachiq	s.a.
4271	ch'usaqyachiy	v.tr.
4272	ch'usaqyay	v.intr.
4273	ch'usay	s.
4274	ch'usay	v.intr.
4275	ch'usay	v.mov.
4276	ch'usiqa	s.
4277	ch'uskikuq	s.a.
4278	ch'uskikuy	v.intr.
4279	ch'uskisqa	p.adj.
4280	ch'uskiy	v.tr.
4281	ch'usku	s.
4282	ch'uskullikuy	v.tr.
4283	ch'usña	s.
4284	ch'uspa	s.
4285	ch'uspi	s.
4286	ch'uspillu	s.
4287	ch'uspisqa	p.p.p.
4288	ch'uspi wira	s.
4289	ch'ustikuy	v.intr.
4290	ch'ustiy	v.tr.
4291	ch'usu	adj.
4292	ch'usu	s.
4293	ch'usu ñawi	adj.
4294	ch'usuyachiy	v.tr.
4295	ch'usuyay	v.intr.
4296	ch'uswari	adj.
4297	ch'usway	v.intr.
4298	ch'uta	adj.
4299	ch'utikuy	v.intr.
4300	ch'utillu	adj.
4301	ch'utillu	s.
4302	ch'utiy	v.tr.
4303	ch'utiy	v.tr.
4304	ch'utu	s.
4305	ch'utu	s.
4306	ch'utu	s.
4307	ch'utu	s.
4308	ch'utuq	interj.onom.
4309	ch'utuy	v.tr.
4310	ch'uwip	adj.poses.
4311	ch'uwiy	v.tr.
4312	ch'uya	adj.
4313	ch'uya	adj.
4314	ch'uya	adj.
4315	ch'uyachay	v.tr.
4316	ch'uyachiy	v.tr.
4317	ch'uya-ch'uya	adj.
4318	ch'uya-ch'uyata away	v.tr.
4319	ch'uya ispiritu	s.
4320	ch'uyanchaku	s.
4321	ch'uyanchasqa	p.p.p.
4322	ch'uyanchay	v.tr.
4323	ch'uyanchay	v.tr.
4324	ch'uya p'acha	s.
4325	ch'uyaq	adj.
4326	ch'uyaqlla	adj.
4327	ch'uyaqllachiy	s.
4328	ch'uyaqllachiy	v.tr.
4329	ch'uyaqlla yaku	s.
4330	ch'uyaq yaku	s.
4331	ch'uya sunqu	s.
4332	ch'uya sunqu kay	s.
4333	ch'uya unu	s.
4334	ch'uya uya	s.
4335	ch'uyay	s.
4336	ch'uyayachiy	v.tr.
4337	ch'uyayachiy	v.tr.
4338	ch'uyayay	s.
4339	ch'uyayay	v.intr.
4340	ch'uyayay	v.intr.
4341	ch'uychukuy (p'acha)	v.intr.
4342	ch'uyita	adj.
4343	ch'uyka	adj.
4344	ch'uyka kay	s.
4345	ch'uyllur	s.
4346	ch'uymay	v.tr.
4347	ch'uytu	adj.
4348	ch'uytu	s.
4349	ch'uytu	s.
4350	ch'uytu	s.
4351	ch'uytup	adj.poses.
4352	dakuy	v.tr.
4353	daliy	v.tr.
4354	dansa	s.
4355	dansaq	s.a.
4356	dansay	v.tr.
4357	dañarina p'unchaw	s.
4358	dañaw	adj.
4359	dañay	v.tr.
4360	dañu	s.
4361	dañuchiy	v.tr.
4362	dañuq	s.
4363	daru	s.
4364	das	adv.m.
4365	dawa	s.
4366	dibuhay	v.tr.
4367	dibuhu	s.
4368	didu	s.
4369	dihay	v.tr.
4370	dihur	interj.
4371	dihuru	adj.
4372	diki	s.
4373	dilikaw	adj.
4374	diluwyu	s.
4375	dimanday	v.tr.
4376	dimas	s.
4377	dimintu	adj.
4378	dimuray	v.intr.
4379	diricha	adv.l.
4380	dirichay	v.tr.
4381	dirichu	adj.
4382	dirichuy	v.tr.
4383	dirihiy	v.tr.
4384	di ripinti	adv.m.
4385	disfrasi	s.
4386	disgrasya	s.
4387	disimri	s.
4388	diskutiy	v.tr.
4389	dispachay	v.tr.
4390	dispachu	s.
4391	disparati	s.
4392	distapay	v.tr.
4393	distruwiy	v.tr.
4394	disyakuq	s.a.
4395	disyay	v.tr.
4396	diwda	s.
4397	diwdakuy	v.tr.
4398	diwiy	v.tr.
4399	diya	s.
4400	diyablu	s.
4401	diyablu llulla	adj.
4402	diyachaku	s.
4403	diyachakuy	v.intr.
4404	diyagrama	s.
4405	diyantin	adv.t.
4406	duktur	s.
4407	dulsayna	s.
4408	dumingu	s.
4409	dun	s.
4410	dunduma	s.
4411	dunduma	s.
4412	dunsilla	s.
4413	durmi-durmi	adj.
4414	durmi-durmi	s.
4415	duwiñu	s.
4416	dyuntiru	adv.m.
4417	Dyus	s.
4418	Dyus ima(ta) ñisqata willakuq	s.
4419	Dyusman kutiriq	s.a.
4420	Dyusman kutiriy	s.
4421	Dyusman kutiriy	v.tr.
4422	Dyusmanta mañakuy	s.
4423	Dyusmanta mañakuy	v.tr.
4424	Dyusninchik	s.
4425	Dyuspa akllankuna	s.
4426	Dyuspa atiynin	s.
4427	Dyuspagarasunki!	expr.
4428	Dyuspagarasunkichik!	expr.
4429	dyuspagaray	v.tr.
4430	Dyuspa grasyan	s.
4431	Dyuspa Simin Qillqa	s.
4432	Dyuspi suyana	s.
4433	Dyus yachan sinallatam yachanki	expr.
4434	fabrika	s.
4435	faldin	s.
4436	faltay	v.intr.
4437	familiya	s.
4438	fandankuy	v.intr.
4439	fantasma	s.
4440	fasil	adj.
4441	fibriru	s.
4442	fidiyukuna	s.
4443	fila	s.
4444	filu	s.
4445	finka	s.
4446	finu	adj.
4447	firiya	s.
4448	firmay	v.tr.
4449	firus	s.
4450	fiy	s.
4451	fiyakuy	v.tr.
4452	fiyamri	s.
4453	fiyiru	adj.
4454	fiyista	s.
4455	fiyistay	v.tr.
4456	fiymanta willana	s.
4457	fiyu	adj.
4458	flaqu	adj.
4459	flawta	s.
4460	flayri	s.
4461	flitay	v.tr.
4462	fransis	s.
4463	frasada	s.
4464	frigay	v.tr.
4465	frihul	s.
4466	frinti	s.
4467	frisku	adj.
4468	friyiy	v.tr.
4469	fruta	s.
4470	fundu	s.
4471	fusfuru	s.
4472	fusfuru	s.
4473	futbul	s.
4474	futu	s.
4475	futu hurquy	v.tr.
4476	fututa hap'iy	v.tr.
4477	fuwirsanchakuy	s.
4478	fuwirti	adj.
4479	gagu	adj.
4480	gallu	s.
4481	gallu waqay	s.
4482	gamitana	s.
4483	ganas	s.
4484	ganasniy tiyan	expr.
4485	ganay	v.tr.
4486	garra	adj.
4487	garr ñichina, asa kachita churaspa	v.intr.
4488	garrucha	s.
4489	gastay	v.tr.
4490	gastu	s.
4491	gatyay	v.tr.
4492	Gindas Pampas	s.
4493	glurya unquy	s.
4494	grabi	adj.
4495	granu	s.
4496	grasyas	expr.
4497	grasyas	s.
4498	grasyayuq hanaq pacha chayaqiyuqmi	expr.
4499	gringa	s.
4500	gringu	s.
4501	gringu simi	s.
4502	Gringu simita rimankichu?	expr.
4503	gubyirnu	s.
4504	gulpi	adv.m.
4505	gumitay	v.tr.
4506	gurdu	adj.
4507	gustay	v.intr.
4508	gustay	v.tr.
4509	gustu	s.
4510	h	fon.
4511	ha	pron.
4512	habun	s.
4513	hacha	s.
4514	hacha	s.
4515	hachay	v.tr.
4516	hachisyay	v.dic.
4517	hachhiy	v.intr.
4518	hach'a ch'illka	s.
4519	hach'u	s.
4520	hach'u	s.
4521	hach'u simi	s.
4522	hach'uy	v.tr.
4523	hahatiy	v.dic.
4524	hahatiyay	v.dic.
4525	hakanñiy	v.impers.
4526	hakatay	v.dic.
4527	hakaylla	adv.m.
4528	hakima	s.
4529	hakllu	s.
4530	haklluq	s.a.
4531	haklluy	v.dic.
4532	Haku!	interj.
4533	haku	s.
4534	haku buhanda	s.
4535	haku kipiy	s.
4536	hakukuna	s.
4537	Haku mikumusunchik!	expr.
4538	hakun illawasqa	s.
4539	hakun umachasqa	s.
4540	hakun uman watasqa	s.
4541	haku ñañantin	s.
4542	haku pikatasqa	s.
4543	hakuq	adj.
4544	hakuq	s.
4545	hakusun!	expr.
4546	haku shawatasqa	s.
4547	haku shukutasqa	s.
4548	haku wallqa mich'akusqa	s.
4549	haku wallqasqa	s.
4550	hakuwan	s.
4551	Haku wasita!	expr.
4552	haku waska	s.
4553	hakuy	adj.
4554	hakuy	v.tr.
4555	Hakuychik!	interj.
4556	hakyachiy	v.tr.
4557	hak'alawa	s.
4558	hak'u	adj.
4559	hak'u	s.
4560	hak'uchay	v.tr.
4561	hak'uchiy	v.tr.
4562	hak'u hak'u	adj.
4563	hak'uy	v.tr.
4564	hak'uy	v.tr.
4565	hak'uyay	v.intr.
4566	hala!	interj.
4567	halaku	interj.
4568	halantay	v.mov.
4569	halay	v.mov.
4570	halki	s.
4571	halq'a	s.
4572	halsuri	s.
4573	haluchu	s.
4574	halusacha	s.
4575	hallch'ay	s.
4576	hallch'ay	v.tr.
4577	hallch'ay	v.tr.
4578	hallkakunap tukukuynin	s.
4579	hallka k'iti kanchar	s.
4580	hallk'a	s.
4581	hallk'akuy	v.intr.
4582	hallmaq	s.a.
4583	hallmay	s.
4584	hallmay	s.
4585	hallmay	v.tr.
4586	hallmu	adj.
4587	hallmukiru	adj.
4588	hallmuyay	v.intr.
4589	hallpa	s.
4590	hallpay	v.intr.
4591	hallp'isqa	p.p.p.
4592	hallp'iy	v.tr.
4593	hallqa	adj.
4594	hallq'ay	s.
4595	hamaka	s.
4596	hamanta	s.
4597	hamchi	adj.
4598	hamchi	s.
4599	hamillu	s.
4600	hamiyakuq	s.
4601	hamiyakuy	v.tr.
4602	hamk'a	adj.
4603	hamk'a	s.
4604	hamk'achiy	v.tr.
4605	hamk'akipay	v.tr.
4606	hamk'a k'analla	s.
4607	hamk'amuy	v.tr.
4608	hamk'ana	s.
4609	hamk'apuy	v.tr.
4610	hamk'asqa	p.p.p.
4611	hamk'ay	v.tr.
4612	hampi	s.
4613	hampichikuy	v.intr.
4614	hampichiy	v.tr.
4615	hampi kamayuq	s.
4616	hampikuq	s.a.
4617	hampikuy	v.intr.
4618	hampikuy	v.tr.
4619	hampina	s.
4620	hampina wasi	s.
4621	hampiq	s.a.
4622	hampiq runa	s.
4623	hampi qura	s.
4624	hampiq wasi	s.
4625	hampi qhatu	s.
4626	hampi qhatuq	s.
4627	hampi qhatuq wasi	s.
4628	hampiri	s.
4629	hampiripaq	adj.
4630	hampiriy	v.intr.
4631	hampis	s.
4632	hampisqa	p.p.p.
4633	hampita chaskinapaq llakikuna	s.
4634	hampiwan unquchiy	v.tr.
4635	hampiwasi	s.
4636	hampi waska	s.
4637	hampiway	expr.
4638	hampiy	v.tr.
4639	hampi yachaq	s.a.
4640	hampiyuq wasi	s.
4641	hampusqayki	expr.
4642	hampuy!	expr.
4643	hampuy	v.mov.
4644	hamp'ara	s.
4645	Hamp'atu	s.
4646	Hamp'atu; Ampatu	s.
4647	hamp'atu	s.
4648	hamp'atukuna	s.
4649	Hamp'atup Simin	s.
4650	hamu	s.
4651	hamu	s.
4652	hamullayki	expr.
4653	hamuna pacha	s.
4654	hamunayki mana hamunaykita tapurqa	expr.
4655	hamunpa	adj.
4656	hamupallachi	adj.
4657	hamupasaq	expr.
4658	hamupay	expr.
4659	Hamupay!	expr.
4660	hamupayay	v.intr.
4661	hamuphallachi	adj.
4662	hamuq	s.a.
4663	hamuq hamuriy	v.tr.
4664	hamuq killa	adv.t.
4665	hamuqlla	s.a.
4666	hamuq pacha	s.
4667	hamuq pacha	s.
4668	hamuq punchawkuna	expr.
4669	hamuq rina pacha	s.
4670	hamuq wata	adv.t.
4671	hamuriy	v.tr.
4672	hamurpayay	v.
4673	hamuy	s.
4674	hamuy	v.mov.
4675	hamuy a!	expr.
4676	hamuyay	v.tr.
4677	hamuypallay	v.tr.
4678	hana	s.
4679	hanak'achi	s.
4680	hanan	adj.
4681	hanan	adv.l.
4682	hanan	s.
4683	hanan anqas	s.
4684	hananchay	v.tr.
4685	hanan kay	s.
4686	hanan llachapa	s.
4687	hanan pata	s.
4688	hananpi	postpos.
4689	Hanan Qusqu	s.
4690	hanan saya	s.
4691	hanan sayana	s.
4692	hanan simpa	s.
4693	hanan suyu	s.
4694	hananta	s.
4695	Hanan Wanka	s.
4696	hanaq	adj.
4697	hanaq	adv.l.
4698	hanaq	s.
4699	hanaq	s.
4700	hanaqcha	s.
4701	hanaqchay	v.tr.
4702	hanaq kaq	adv.l.
4703	hanaq law	s.
4704	hanaq lawpi	postpos.
4705	Hanaq Lluqa	s.
4706	hanaqman	adv.l.
4707	hanaqmanta	adv.l.
4708	hanaqnin	adj.
4709	hanaqninpi	adv.l.
4710	hanaq pacha	s.
4711	Hanaqpacha, Kaypacha, Ukhupacha	s.
4712	hanaqpachakamasqa	adj.
4713	hanaqpachakamay	s.
4714	hanaqpachakamayuq	s.
4715	hanaqpi	adv.l.
4716	hanaqpi qhipaq	adj.
4717	hanaqyachiy	v.tr.
4718	hanaska	adj.
4719	hanay	v.tr.
4720	hanaycha	s.
4721	hanaymin	s.pr.
4722	hancha	s.
4723	hanchay	v.tr.
4724	hanchi	s.
4725	hanch'ay	v.dic.
4726	hanch'i	s.
4727	hanch'uy	v.tr.
4728	haniqa	s.
4729	hanka	s.
4730	hanka	s.
4731	hanku	adj.
4732	hankuchay	v.tr.
4733	hank'a	adj.
4734	hank'ay	s.
4735	hank'ay	v.mov.
4736	hank'ay	v.tr.
4737	hanllalli	s.
4738	hanllariy	v.intr.
4739	hanllay	v.dic.
4740	hanllaykachay	v.intr.
4741	hanq'a	adj.
4742	hanq'ay	v.mov.
4743	hanra	s.
4744	hañakuy	v.tr.
4745	hañas	adj.
4746	hañasyay	v.intr.
4747	hañay	v.tr.
4748	hapa	s.
4749	hapa-hapa	s.
4750	haparkuy	v.mov.
4751	hapay	v.mov.
4752	hapaypa	adv.m.
4753	hapkay	v.intr.
4754	haprichu	s.
4755	hapru	s.
4756	hapt'a	s.
4757	hapu	s.
4758	hapu	s.
4759	hapuriy	v.intr.
4760	hapus pampa	s.
4761	hapuy	v.intr.
4762	hapyu; apyu	s.
4763	hap'a	s.
4764	hap'aka	s.
4765	hap'apiyay	v.intr.
4766	hap'ay	v.intr.
4767	hap'i	adj.
4768	hap'ichikuy	v.intr.
4769	hap'ichikuy	v.tr.
4770	hap'ichisqa	p.p.p.
4771	hap'ichiy	v.tr.
4772	hap'ichiy	v.tr.
4773	hap'ikapuy	v.tr.
4774	hap'ikuy	v.intr.
4775	hap'ina	s.
4776	hap'ina	s.
4777	hap'inakuy	s.
4778	hap'inakuy	v.recip.
4779	hap'i ñunu	s.
4780	hap'ipakuy	v.intr.
4781	hap'ipakuy	v.tr.
4782	hap'ipariy	v.tr.
4783	hap'ipayay	v.tr.
4784	hap'iq	s.
4785	hap'iqa	s.
4786	hap'iqaq	s.a.
4787	hap'iqasqa	s.
4788	hap'iqay	v.tr.
4789	hap'iqay	v.tr.
4790	hap'iray	v.tr.
4791	hap'iriy	v.mov.
4792	hap'iriy	v.recip.
4793	hap'isqa	p.p.p.
4794	hap'iy	v.tr.
4795	hap'iy	v.tr.
4796	hap'iynin	s.
4797	hap'iynin	s.pr.
4798	hap'iyninpi	expr.
4799	haqa	s.
4800	haqarwi	s.
4801	haqawariy	v.tr.
4802	haqay	adv.l.
4803	haqay	pron.dem.
4804	haqay hina	adv.m.
4805	haqay hinapi	adv.m.
4806	haqaykama	adv.l.
4807	haqaykuna	pron.dem.
4808	haqayman	adv.l.
4809	haqaymanta	adv.l.
4810	haqayñiqpi	adv.l.
4811	haqaypi	adv.l.
4812	haqaysitullapi	adv.l.
4813	haqchiwsay	v.dic.
4814	haqchiwsuy	s.
4815	haqchu	adj.
4816	haqi	adj.
4817	haqi	s.
4818	haqllu	adj.
4819	haqra	s.a.
4820	haqras	adj.
4821	haq'arwa	s.
4822	haq'arwitu	s.
4823	hara	s.
4824	harap'ay	s.
4825	harap'ay	v.tr.
4826	Hararay!	interj.
4827	harasyay	v.intr.
4828	harawi	s.
4829	harawi	s.
4830	harawi	s.
4831	harawiq	s.
4832	harawiy	v.dic.
4833	harawiy	v.tr.
4834	harawi yachay	s.
4835	harka	s.
4836	harkusqa	p.p.p.
4837	harkuy	v.tr.
4838	hark'a	s.
4839	hark'achiq	s.
4840	hark'achiy	v.tr.
4841	hark'akuy	v.intr.
4842	hark'amuy	v.tr.
4843	hark'ana	s.
4844	hark'ana	s.
4845	hark'ana	s.
4846	hark'anachay	v.tr.
4847	hark'ana urna	s.
4848	hark'apa	s.
4849	hark'apakuy	v.tr.
4850	hark'apay	v.tr.
4851	hark'apuy	v.tr.
4852	hark'aq	s.
4853	hark'aq	s.
4854	hark'aqi	s.
4855	hark'arina	s.
4856	hark'arina	s.
4857	hark'asqa	p.p.p.
4858	hark'asqa ñiy	v.dic.
4859	hark'asqa simiki	s.
4860	hark'ay	s.
4861	hark'ay	v.tr.
4862	hark'ay	v.tr.
4863	hark'aykuq	s.a.
4864	harra	s.
4865	harwichiy	v.tr.
4866	harwimuy	v.tr.
4867	harwipuy	v.tr.
4868	harwisqa	p.p.p.
4869	harwiy	v.tr.
4870	haryay	v.dic.
4871	hasa	adj.
4872	hasa	s.
4873	hasachay	v.tr.
4874	hasachiy	v.tr.
4875	hasa kay	s.
4876	hasamanta	adv.m.
4877	hasa ruraynalla kay	s.
4878	hasayachiy	v.tr.
4879	hasi	s.
4880	hasinta	s.
4881	hasllata	adv.m.
4882	hasllawan	adv.m.
4883	hasta	prep.
4884	hatari	s.
4885	hatarichikuy	v.tr.
4886	hatarichiy	v.tr.
4887	hatarikuy	v.intr.
4888	hataripakuq	p.p.p.
4889	hatarisqa	p.p.p.
4890	hatarisunchik	expr.
4891	hatariy	s.
4892	hatariy	v.mov.
4893	hatariy	v.tr.
4894	hataykachay	v.intr.
4895	hatucha	s.
4896	hatuchachiq	adj.
4897	hatuchaq	adj.
4898	hatu-hatun	adj.
4899	hatun	adj.
4900	hatun	adj.
4901	hatun	s.
4902	hatun apuq	s.
4903	hatun apuq tukusqa	s.
4904	hatun asiy	s.
4905	hatun ayllu	s.
4906	hatunchachaq	p.p.p.
4907	hatunchachiy	v.tr.
4908	hatunchaku	s.
4909	hatunchakuy	v.intr.
4910	hatun chala	s.
4911	hatun charapa	s.
4912	hatunchay	v.tr.
4913	hatun ch'illka	adj.
4914	hatun hallmay	s.
4915	hatun hallmay	v.tr.
4916	hatun huchayuq	adj.
4917	hatun ispay	s.
4918	hatun ispay	v.tr.
4919	hatun kaksas	s.
4920	hatun kamachi	s.
4921	hatun kamachina	s.
4922	hatun kamachiq	s.
4923	hatun kamachita alliyachiq tantari	s.
4924	hatun kana	s.
4925	Hatun Kañar	s.
4926	hatunkaray	adj.
4927	hatunkaray kaq	expr.
4928	hatun karpay	s.
4929	hatun kay	s.
4930	hatun kilun-kilun	s.
4931	hatun kinuwa	s.
4932	Hatun Krus	s.
4933	hatun kuraka	s.
4934	hatun kuyllin	s.
4935	hatun k'anchay	s.
4936	hatun lagartu	s.
4937	hatun llaki	s.
4938	hatun llaqta	s.
4939	hatun llaqtakamayuq	s.
4940	hatun llulla	s.
4941	hatun malagri p'anqa	s.
4942	hatun mama	s.
4943	hatun mama	s.
4944	hatun manchay	s.
4945	hatun muchuy	s.
4946	hatun muru unquy	s.
4947	hatunni	s.
4948	hatun ñan	s.
4949	hatun pacha	s.
4950	Hatun Pachakamaq	s.
4951	hatun palanta	s.
4952	hatun papa	s.
4953	hatun paqtay	s.
4954	hatun pichna	s.
4955	hatun puquy	s.
4956	hatun puquy	s.
4957	hatun puquy killa	s.
4958	hatun puquy killa	s.
4959	hatun pusaq	s.a.
4960	hatun p'unchaw	s.
4961	hatun qillqa	s.
4962	hatun qishyay	s.
4963	hatun qucha	s.
4964	hatun qucha puma	s.
4965	hatun quyllur	s.
4966	Hatun Quyllur	s.
4967	hatun qhatu	s.
4968	hatun qhucha	s.
4969	Hatun Q'iru	s.
4970	hatun raymi killa	s.
4971	hatun rikuchiq	s.
4972	hatun rimanakuy suyu	s.
4973	hatun rimanakuy wasi	s.
4974	hatunruku	adj.
4975	hatun rumi	s.
4976	hatun runa	s.
4977	hatun ruray yuyay	s.
4978	hatun sach'a allqu	s.
4979	hatun sanampa	s.
4980	hatun sikwanka	s.
4981	hatun simi	s.
4982	hatun sirk'a	s.
4983	hatun sisaq	s.
4984	hatun sullu-sullu	s.
4985	hatun sunqu	adj.
4986	Hatun Shawsha	s.
4987	hatunta ispay	v.tr.
4988	hatun tata	s.
4989	hatun tawna sirk'a	s.
4990	hatun tayta	s.
4991	hatun taytakuna	s.
4992	hatun tukuypachata kirpaq para	s.
4993	hatun tumi	s.
4994	hatun tunqur	s.
4995	hatun ukucha	s.
4996	hatun unquy	s.
4997	hatun wamp'u	s.
4998	hatun wankurikuna	s.
4999	hatun wasi	s.
5000	hatun wayra	s.
5001	hatun wichq'ay wasi	s.
5002	hatun willana	s.
5003	hatunya	s.
5004	hatun yachay	s.
5005	hatun yachay wasi	s.
5006	hatunyachi	s.
5007	hatunyachiy	v.tr.
5008	hatun yaku	s.
5009	hatunyay	v.intr.
5010	hatun yaya	s.
5011	hatun yuthu	s.
5012	hatusaq	adj.
5013	hatuynin	s.pr.
5014	hat'alli	s.
5015	hat'allichakuy	s.
5016	hat'alliq	s.a.
5017	hat'alliy	v.tr.
5018	hat'alliy	v.tr.
5019	hat'alliy	v.tr.
5020	hat'aqu	s.
5021	hat'ay	v.tr.
5022	hat'upa	s.
5023	Haw!	interj.
5024	haw?	interj.
5025	Haw! Imata ñinki!	expr.
5026	hawa	adj.
5027	hawa	adv.l.
5028	hawa	postpos.
5029	hawa	postpos.
5030	hawa	postpos.
5031	hawa	s.
5032	hawa	s.
5033	hawa	s.
5034	hawa	s.
5035	hawa(pata) astawan hawaman	adv.l.
5036	hawa churi	s.
5037	hawa hawa	adj.
5038	hawaka pacha	s.
5039	hawakay mit'a	s.
5040	hawakuy	v.mov.
5041	hawa laqha	s.
5042	hawa law	s.
5043	hawalla	adj.
5044	hawalla ch'uqri	s.
5045	hawallallpa	s.
5046	hawa llaqta	s.
5047	hawalla simiki	s.
5048	hawa mama	s.
5049	hawaman	adv.l.
5050	hawaman churay	v.tr.
5051	hawaman hatun hatarikuna!	expr.
5052	hawamanta	adv.l.
5053	hawan	adv.l.
5054	hawanchay	s.
5055	hawanchay	v.tr.
5056	hawanchay (qusanta, warminta)	v.tr.
5057	hawanpi	adv.l.
5058	hawanpi	adv.l.
5059	hawanpi churay	v.tr.
5060	hawanta	adv.l.
5061	hawanta	adv.l.
5062	hawa pacha	s.
5063	hawapacha	s.
5064	hawapas	postpos.
5065	hawapata	s.
5066	hawapi	adj.
5067	hawapi	adv.l.
5068	hawapura	adj.
5069	hawaqlla muru unquy	s.
5070	hawaq'ullay	s.
5071	hawar	s.
5072	hawa rikch'aynin	s.pr.
5073	hawarikuy simi	s.
5074	hawariy	s.
5075	hawa runa	adj.
5076	hawas	s.
5077	hawa simi chiktakuna	s.
5078	hawas phasi	s.
5079	hawa sunqu llika	s.
5080	hawa suyumanta	adj.
5081	hawata puriq anka	s.
5082	hawa tayta	s.
5083	hawa urqu	s.
5084	hawa ususi	s.
5085	haway	s.
5086	haway	v.tr.
5087	hawayachiy	v.tr.
5088	hawaykawsay	s.
5089	hawcha	adj.
5090	hawcha	s.
5091	hawcha	s.
5092	hawcha	s.
5093	hawchakay	s.
5094	hawchansu yura	s.
5095	hawchay	v.tr.
5096	hawch'a	adj.
5097	hawch'ay	v.intr.
5098	hawi	s.
5099	hawichiy	v.tr.
5100	hawikuna	s.
5101	hawikuy	v.intr.
5102	hawina	s.
5103	hawipuy	v.tr.
5104	hawisqa	p.p.p.
5105	hawiy	s.
5106	hawiy	v.tr.
5107	hawiy	v.tr.
5108	hawka	adj.
5109	hawka kawsay	v.intr.
5110	hawkariku	s.
5111	hawkay	s.
5112	hawkay	s.
5113	hawkay	s.
5114	hawkay	s.
5115	hawkay	v.intr.
5116	hawkay kuski	s.
5117	hawkaykuski killa	s.
5118	hawkay mit'a	s.
5119	hawkay pacha	s.
5120	hawkaypachahawa	s.
5121	hawkaypata	s.
5122	Hawkaypata	s.
5123	hawmanaku	s.
5124	hawmay	s.
5125	hawmay	v.tr.
5126	hawq'anchay	v.tr.
5127	hawq'iy	v.tr.
5128	hawrika	s.
5129	hawun	s.
5130	hay?	pron.int.
5131	haya	adj.
5132	haya	s.
5133	hayachikuy	v.intr.
5134	hayanaq	adj.
5135	hayaq	adj.
5136	hayaq	s.
5137	hayaq ch'illka	s.
5138	hayaqi	s.
5139	hayaqin	s.
5140	hayaqin allinta rimay	v.dic.
5141	hayaq piñaq	s.a.
5142	hayaq willk'u	s.
5143	hayaq yaku	s.
5144	haya simi	adj.
5145	hayaski	s.
5146	hayay	v.tr.
5147	hayay	v.tr.
5148	hayayay	expr.
5149	hayka	adj.
5150	hayka!	interj.
5151	hayka, hayka	expr.
5152	hayk'a?	pron.int.
5153	hayk'akama?	adv.int.
5154	hayk'a kuti?	adv.int.
5155	hayk'aman?	adv.int.
5156	hayk'ap?	adv.int.
5157	hayk'apmanta?	adv.int.
5158	hayk'aqpaq?	adv.int.
5159	hayk'ataq?	pron.int.
5160	hayk'ataq watayki?	expr.
5161	haylli	s.
5162	haylli	s.
5163	hayllikuq	s.a.
5164	haylliy	v.tr.
5165	hayma	s.
5166	haymay	v.tr.
5167	hayñi	adv.l.
5168	hayñi	s.
5169	hayñi	s.
5170	hayñi	s.
5171	hayñikuna	s.
5172	hayñiq	adj.
5173	hayñiy	v.tr.
5174	hayñiy	v.tr.
5175	haypay	v.tr.
5176	haypuy	v.tr.
5177	hayri	adv.t.
5178	hayrilla	s.
5179	hayru	s.
5180	hayruy	v.tr.
5181	hayt'a	s.
5182	hayt'ana	s.
5183	hayt'anakuy	v.recip.
5184	hayt'aq	s.a.
5185	hayt'arakuy	v.intr.
5186	hayt'arikuy	v.intr.
5187	hayt'asqa	p.p.p.
5188	hayt'ay	v.tr.
5189	hayt'ukaynin	s.pr.
5190	hayt'uq	adj.
5191	hayu	adj.
5192	hayu	s.
5193	hayu	s.
5194	hayupa	s.
5195	hayuy	v.tr.
5196	haywachiy	v.tr.
5197	haywakuy	s.
5198	haywakuy	v.intr.
5199	haywamuy	v.tr.
5200	haywanakuy	v.recip.
5201	haywapayay	v.tr.
5202	haywaraku	s.
5203	haywariq	p.p.p.
5204	haywarisqa	s.
5205	hayway	s.
5206	hayway	v.tr.
5207	haywaykachaq maki	s.
5208	hibri	s.
5209	hichapacha tukuy charisqata sitay	v.tr.
5210	hichatukuy	v.tr.
5211	hichiy	v.tr.
5212	hichusqa	p.p.p.
5213	hichuy	v.tr.
5214	hich'akuy	v.intr.
5215	hich'asqa	p.p.p.
5216	hich'ay	v.tr.
5217	hikama	s.
5218	hiki	s.
5219	hiki p'anqa	s.
5220	hikutay	v.tr.
5221	hik'i	s.
5222	hik'iy	s.
5223	hik'iy	v.dic.
5224	hik'iy	v.dic.
5225	hik'u	s.
5226	hik'un	adj.
5227	hik'un hik'unta waqay	v.dic.
5228	hik'uy	v.intr.
5229	hilaqata	s.
5230	hilli	s.
5231	hilliyuq	adj.
5232	hillpuna	s.
5233	hillpuy	v.tr.
5234	hillp'u	s.
5235	hillp'una	s.
5236	hillp'usqa	p.p.p.
