interimid,lemma,entry
111,achka tiyay,https://qichwa.wikibase.cloud/entity/L117
112,achka t'asla,https://qichwa.wikibase.cloud/entity/L118
113,achka uya,https://qichwa.wikibase.cloud/entity/L119
114,Achkay,https://qichwa.wikibase.cloud/entity/L120
115,achkayachiq,https://qichwa.wikibase.cloud/entity/L121
116,achkayachiy,https://qichwa.wikibase.cloud/entity/L122
117,achkayay,https://qichwa.wikibase.cloud/entity/L123
118,achka yupa,https://qichwa.wikibase.cloud/entity/L124
119,achki,https://qichwa.wikibase.cloud/entity/L125
120,achkikuq,https://qichwa.wikibase.cloud/entity/L126
121,achkina,https://qichwa.wikibase.cloud/entity/L127
122,achkiy,https://qichwa.wikibase.cloud/entity/L128
123,achkiy,https://qichwa.wikibase.cloud/entity/L129
124,achku,https://qichwa.wikibase.cloud/entity/L130
125,achkukuy,https://qichwa.wikibase.cloud/entity/L131
126,achkuy,https://qichwa.wikibase.cloud/entity/L132
127,achkuy,https://qichwa.wikibase.cloud/entity/L133
128,achmikuq,https://qichwa.wikibase.cloud/entity/L134
129,achmiy,https://qichwa.wikibase.cloud/entity/L135
130,achpay,https://qichwa.wikibase.cloud/entity/L136
131,achpaykachay,https://qichwa.wikibase.cloud/entity/L137
132,achqay,https://qichwa.wikibase.cloud/entity/L138
133,achu,https://qichwa.wikibase.cloud/entity/L139
134,achu,https://qichwa.wikibase.cloud/entity/L140
135,achucha,https://qichwa.wikibase.cloud/entity/L141
136,achuchiy,https://qichwa.wikibase.cloud/entity/L142
137,achukay,https://qichwa.wikibase.cloud/entity/L143
138,achuma qhiwillu,https://qichwa.wikibase.cloud/entity/L144
139,achuni,https://qichwa.wikibase.cloud/entity/L145
140,achuni sananku,https://qichwa.wikibase.cloud/entity/L146
141,achuni ullu,https://qichwa.wikibase.cloud/entity/L147
142,achupalla,https://qichwa.wikibase.cloud/entity/L148
143,achupalla,https://qichwa.wikibase.cloud/entity/L149
144,achuqalla,https://qichwa.wikibase.cloud/entity/L150
145,achuqalla,https://qichwa.wikibase.cloud/entity/L151
146,achuqcha,https://qichwa.wikibase.cloud/entity/L152
147,achura,https://qichwa.wikibase.cloud/entity/L153
148,achuray,https://qichwa.wikibase.cloud/entity/L154
149,achuy,https://qichwa.wikibase.cloud/entity/L155
150,achuy,https://qichwa.wikibase.cloud/entity/L156
151,achwatakuy,https://qichwa.wikibase.cloud/entity/L157
152,achhiq ñiy,https://qichwa.wikibase.cloud/entity/L158
153,achhiy,https://qichwa.wikibase.cloud/entity/L159
154,achhiy,https://qichwa.wikibase.cloud/entity/L160
155,achhumuy,https://qichwa.wikibase.cloud/entity/L161
156,achhuray,https://qichwa.wikibase.cloud/entity/L162
157,achhuy,https://qichwa.wikibase.cloud/entity/L163
158,achhuykuy,https://qichwa.wikibase.cloud/entity/L164
159,achhuyuy,https://qichwa.wikibase.cloud/entity/L165
160,adisir,https://qichwa.wikibase.cloud/entity/L166
161,Adiyús,https://qichwa.wikibase.cloud/entity/L167
162,admirasqa kay,https://qichwa.wikibase.cloud/entity/L168
163,adrí,https://qichwa.wikibase.cloud/entity/L169
164,adubi,https://qichwa.wikibase.cloud/entity/L170
165,afanakuy,https://qichwa.wikibase.cloud/entity/L171
166,afaniru,https://qichwa.wikibase.cloud/entity/L172
167,afaniswan,https://qichwa.wikibase.cloud/entity/L173
168,afilay,https://qichwa.wikibase.cloud/entity/L174
169,aflihiy,https://qichwa.wikibase.cloud/entity/L175
170,agradisiy,https://qichwa.wikibase.cloud/entity/L176
171,agustu,https://qichwa.wikibase.cloud/entity/L177
172,aha,https://qichwa.wikibase.cloud/entity/L178
173,Ahá!,https://qichwa.wikibase.cloud/entity/L179
174,ahachiy,https://qichwa.wikibase.cloud/entity/L180
175,Ahahay!,https://qichwa.wikibase.cloud/entity/L181
176,ahahay,https://qichwa.wikibase.cloud/entity/L182
177,ahalla,https://qichwa.wikibase.cloud/entity/L183
178,ahallay,https://qichwa.wikibase.cloud/entity/L184
179,ahan,https://qichwa.wikibase.cloud/entity/L185
180,ahasqa,https://qichwa.wikibase.cloud/entity/L186
181,ahay,https://qichwa.wikibase.cloud/entity/L187
182,ahay,https://qichwa.wikibase.cloud/entity/L188
183,ahayachiy,https://qichwa.wikibase.cloud/entity/L189
184,ahayay,https://qichwa.wikibase.cloud/entity/L190
185,ahi!,https://qichwa.wikibase.cloud/entity/L191
186,ahina,https://qichwa.wikibase.cloud/entity/L192
187,ahina,https://qichwa.wikibase.cloud/entity/L193
188,ahinhu,https://qichwa.wikibase.cloud/entity/L194
189,ahitay,https://qichwa.wikibase.cloud/entity/L195
190,ahiy,https://qichwa.wikibase.cloud/entity/L196
191,ahumpay,https://qichwa.wikibase.cloud/entity/L197
192,ahus,https://qichwa.wikibase.cloud/entity/L198
193,ahus chiru,https://qichwa.wikibase.cloud/entity/L199
194,ahus p'anqa,https://qichwa.wikibase.cloud/entity/L200
195,ahus k'aspi,https://qichwa.wikibase.cloud/entity/L201
196,ahus sach'a,https://qichwa.wikibase.cloud/entity/L202
197,ahus waska,https://qichwa.wikibase.cloud/entity/L203
198,ahuy,https://qichwa.wikibase.cloud/entity/L204
