label,liderURI
symbol,<http://www.lexinfo.net/ontology/2.0/lexinfo#symbol>
synonym,<http://www.lexinfo.net/ontology/2.0/lexinfo#synonym>
synonymousPhrase,<http://tbx2rdf.lider-project.eu/tbx#synonymousPhrase>
technicalRegister,<http://tbx2rdf.lider-project.eu/tbx#technicalRegister>
trademark,<http://tbx2rdf.lider-project.eu/tbx#trademark>
tradeName,<http://tbx2rdf.lider-project.eu/tbx#tradeName>
transcribedForm,<http://tbx2rdf.lider-project.eu/tbx#transcribedForm>
transdisciplinaryBorrowing,<http://tbx2rdf.lider-project.eu/tbx#transdisciplinaryBorrowing>
translatedContext,<http://tbx2rdf.lider-project.eu/tbx#translatedContext>
translatedDefinition,<http://tbx2rdf.lider-project.eu/tbx#translatedDefinition>
translingualBorrowing,<http://tbx2rdf.lider-project.eu/tbx#translingualBorrowing>
transliteratedForm,<http://tbx2rdf.lider-project.eu/tbx#transliteratedForm>
variant,<http://tbx2rdf.lider-project.eu/tbx#variant>
verb,<http://tbx2rdf.lider-project.eu/tbx#verb>
vulgarRegister,<http://tbx2rdf.lider-project.eu/tbx#vulgarRegister>
workingElement,<http://tbx2rdf.lider-project.eu/tbx#workingElement>
