element	attribute	attributeValue	liderURI	dtype	values	
termNote	type	termType	<http://www.lexinfo.net/ontology/2.0/lexinfo#termType>	wikibase-item	abbreviation,acronym,clippedTerm,commonName,entryTerm,equation,formula,fullForm,initialism,internationalism,internationalScientificTerm,logicalExpression,partNumber,phraseologicalUnit,transcribedForm,transliteratedForm,shortForm,shortcut,sku,standardText,string,symbol,synonym,synonymousPhrase,variant	
termNote	type	timeRestriction	<http://tbx2rdf.lider-project.eu/tbx#timeRestriction>	string		
termNote	type	transferComment	<http://tbx2rdf.lider-project.eu/tbx#transferComment>	string		
termNote	type	usageNote	<http://tbx2rdf.lider-project.eu/tbx#usageNote>	string		
transac	type	transactionType	<http://tbx2rdf.lider-project.eu/tbx#transactionType>	string		
transacNote	type	responsibility	<http://www.w3.org/ns/prov#wasAssociatedWith>	string		
transacNote	type	usageCount	<http://tbx2rdf.lider-project.eu/tbx#usaageCount>	string		
xref	type	corpusTrace	<http://tbx2rdf.lider-project.eu/tbx#corpusTrace>	url		
xref	type	externalCrossReference	<http://tbx2rdf.lider-project.eu/tbx#externalCrossReference>	url		
xref	type	xAudio	<http://tbx2rdf.lider-project.eu/tbx#xAudio>	url		
xref	type	xGraphic	<http://tbx2rdf.lider-project.eu/tbx#xGraphic>	url		
xref	type	xMathML	<http://tbx2rdf.lider-project.eu/tbx#xMathML>	url		
xref	type	xSource	<http://tbx2rdf.lider-project.eu/tbx#xSource>	url		
xref	type	xVideo	<http://tbx2rdf.lider-project.eu/tbx#xVideo>	url		
