eusterm,wikidata
Q1571,Q3500368
Q1572,Q12131
Q1586,Q5404396
Q1587,Q6817453
Q1589,Q7448114
Q1590,Q56354572
Q1659,Q113129019
Q1045,Q471855
Q1680,Q2835
Q1681,Q4903784
Q1683,Q12355039
Q1687,Q3760344
Q1689,Q1151556
Q3036,Q145909
Q3043,Q1660197
Q3059,Q3332645
Q3060,Q474191
Q3061,Q351792
Q3088,Q178885
Q3214,Q620629
Q3217,Q728455
Q3226,Q9159
Q3229,Q2348383
Q3255,Q727413
Q3256,Q47142
Q3257,Q236226
Q3258,Q236092
Q3277,Q50380212
Q3282,Q2703864
Q3288,Q1723432
Q3297,Q17163284
Q3317,Q1366722
Q3327,Q17210512
Q3336,Q1543471
Q3355,Q29863201
Q3357,Q56512863
Q3358,Q22936940
Q3363,Q66242135
Q3377,Q3242199
Q3395,Q247299
Q3397,Q1464545
Q3410,Q2084454
Q3456,Q28089258
Q3490,Q5164840
Q3494,Q1962728
Q3499,Q185411
Q3519,Q1322323
Q3538,Q847803
Q3540,Q1048067
Q3557,Q1465133
Q3560,Q25394518
Q3569,Q1430466
Q3570,Q2493211
Q3572,Q1759104
Q3600,Q204917
Q3601,Q62059481
Q3682,Q771405
