lexeme,lila
L265857,lemma/95440
L265861,hypolemma/8178
L265864,lemma/141720
L265865,lemma/95445
L265874,lemma/95452
L265896,lemma/95475
L265930,hypolemma/8246
L265932,lemma/95506
L265945,hypolemma/8271
L265946,lemma/97788
L265953,hypolemma/8267
L265954,lemma/95519
L265959,lemma/95523
L265963,lemma/96302
L265969,lemma/95525
L265970,lemma/95526
L265973,lemma/95529
L265978,hypolemma/112906
L265984,lemma/97712
L266008,lemma/97790
L266017,lemma/43254
L266022,lemma/95555
L266027,lemma/95557
L266030,lemma/95560
L266050,lemma/95574
L266058,lemma/97715
L266792,lemma/95268
L286378,lemma/129299
L1733,lemma/129639
L265858,hypolemma/8178
L266742,lemma/95226
L266892,lemma/95376
L266893,lemma/95346
L266907,lemma/95380
L266934,lemma/95414
L280042,lemma/115057
L287051,lemma/130991
L266854,lemma/95330
L267537,lemma/96302
L275410,lemma/130556
L287096,lemma/130990
L265250,lemma/95013
L265860,lemma/95440
L266793,lemma/95270
L275408,hypolemma/46972
L286992,lemma/129639
L273682,hypolemma/15795
L273924,lemma/103022
L274077,lemma/103256
L265077,lemma/94864
L265111,lemma/94886
L265142,lemma/94917
L265172,lemma/138521
L273599,lemma/102272
L273614,lemma/102301
L273625,lemma/102313
L273650,lemma/102352
L273664,lemma/102378
L273669,lemma/102390
L273670,lemma/102391
L273677,lemma/102401
L273692,lemma/102426
L273704,lemma/102435
L273725,lemma/102465
L273726,lemma/102365
L273745,lemma/102390
L273746,lemma/102497
L273750,lemma/102710
L273753,lemma/6989
L273756,lemma/102716
L273799,lemma/102798
L273810,lemma/102819
L273812,lemma/102822
L273817,lemma/102830
L273829,lemma/102844
L273832,lemma/102846
L273833,lemma/102847
L273845,lemma/102882
L273862,lemma/51403
L273870,lemma/102934
L273874,lemma/102951
L273897,lemma/102985
L273898,lemma/102989
L273915,lemma/103026
L273925,lemma/103023
L273935,lemma/140893
L273991,lemma/103116
L273998,lemma/103126
L274001,lemma/103129
L274008,hypolemma/104428
L274013,lemma/103149
L274019,lemma/103162
L274025,lemma/103165
L274034,lemma/103183
L274045,lemma/103198
L274058,lemma/103227
L274069,lemma/103248
L274072,hypolemma/17675
L274074,lemma/104188
L274078,lemma/103257
L274104,lemma/103305
L274124,lemma/103893
L274127,lemma/103329
L274144,lemma/103366
L274148,lemma/103372
L274174,lemma/103428
L274179,lemma/103439
L274182,lemma/103442
L274183,hypolemma/113503
L274190,lemma/103453
L274192,lemma/104171
L274198,lemma/52533
L274199,hypolemma/16882
L274228,lemma/103542
L274233,lemma/103552
L274242,lemma/103561
L274246,hypolemma/84845
L274271,lemma/103630
L274280,lemma/103649
L274285,lemma/103655
L274299,lemma/103674
L274305,lemma/103682
L274318,hypolemma/113079
L274336,lemma/103720
L274341,lemma/104240
L274344,lemma/103734
L274347,lemma/103736
L274353,lemma/103741
L274355,lemma/103746
L274363,lemma/103763
L279082,lemma/113135
L273978,lemma/103162
L274014,lemma/103149
L273655,lemma/102365
L274048,lemma/103561
L266695,lemma/94886
L273965,lemma/102798
L274009,hypolemma/104428
L274158,lemma/104240
L274229,lemma/103542
L273378,lemma/102301
L273697,lemma/102352
L273899,lemma/102989
L274123,lemma/103893
L274362,lemma/103763
L273415,lemma/102313
L268341,lemma/96712
L280998,lemma/116930
L281003,hypolemma/32233
L281008,lemma/116961
L281047,lemma/117032
L281049,lemma/117035
L281054,lemma/117042
L281065,lemma/120866
L281067,lemma/117118
L281071,lemma/117088
L281082,lemma/117118
L281096,lemma/117147
L281104,lemma/117163
L281108,lemma/117170
L281113,lemma/117183
L281122,lemma/117219
L281123,lemma/117220
L281125,lemma/117227
L281127,lemma/117233
L281137,hypolemma/32751
L281155,lemma/117291
L281175,hypolemma/32992
L281177,lemma/117392
L281191,lemma/117413
L281194,lemma/117422
L281202,lemma/117432
L260052,lemma/90714
L260056,lemma/90734
L266081,lemma/95594
L266108,lemma/95614
L266112,lemma/95618
L266143,lemma/95644
L266152,lemma/95653
L266154,lemma/95654
L266162,lemma/95662
L266163,lemma/95664
L266166,lemma/95666
L266188,lemma/95678
L266192,lemma/95681
L266193,lemma/95682
L266194,lemma/43339
L266205,lemma/95689
L266234,lemma/95707
L266248,lemma/95715
L266250,lemma/95718
L266256,lemma/95725
L266282,hypolemma/8580
L266295,lemma/97795
L266300,hypolemma/8553
L266309,lemma/95743
L266333,lemma/95775
L266341,lemma/95782
L266345,lemma/95784
L266357,hypolemma/8608
L266362,lemma/97797
L266370,lemma/95803
L266372,lemma/136290
L266380,lemma/95811
L266403,lemma/95822
L266404,lemma/95823
L266417,lemma/95836
L266426,lemma/95843
L266438,hypolemma/8685
L266440,lemma/95854
L266453,lemma/95861
L266459,lemma/95868
L266462,lemma/43501
L266470,lemma/95874
L266474,lemma/97732
L266476,lemma/95880
L266505,lemma/95905
L266526,lemma/95929
L266566,hypolemma/8825
L266567,lemma/95940
L266576,lemma/95948
L266624,lemma/94817
L266686,lemma/94877
L266702,lemma/94896
L266744,lemma/95958
L266767,lemma/95961
L266768,lemma/95962
L266775,lemma/95250
L266858,lemma/95335
L266860,lemma/95338
L266927,lemma/95397
L267006,lemma/96712
L267018,lemma/95975
L265790,lemma/95397
L265019,lemma/94817
L266281,hypolemma/8580
L265700,lemma/95338
L266371,lemma/136290
L266750,lemma/95707
L266766,lemma/95961
L265101,lemma/94877
L266310,lemma/95743
L266467,lemma/95874
L265121,lemma/94896
L265694,lemma/95335
L280997,lemma/116930
L285865,lemma/138020
L285866,lemma/126999
L285887,lemma/127018
L285898,lemma/127039
L285935,lemma/138027
L285940,lemma/127099
L285949,hypolemma/43613
L285970,lemma/127099
L285975,lemma/138050
L285979,lemma/127155
L285988,lemma/127165
L285991,lemma/127347
L285992,lemma/127173
L286040,lemma/142120
L286041,lemma/127516
L286045,lemma/127520
L286061,lemma/127553
L286069,lemma/127564
L286083,lemma/127589
L286099,lemma/127620
L286100,lemma/127617
L286104,lemma/127628
L286115,lemma/127651
L286135,lemma/127716
L286138,lemma/127719
L286159,lemma/127750
L286163,lemma/127759
L286180,lemma/127786
L255487,lemma/88091
L256557,lemma/87961
L256592,lemma/87990
L256642,lemma/88025
L256643,lemma/88025
L256668,hypolemma/1435
L256706,lemma/136464
L256708,lemma/91035
L256714,lemma/88080
L256725,lemma/88091
L256731,lemma/88096
L256733,lemma/88097
L256747,lemma/88108
L256752,lemma/88112
L256773,lemma/88134
L256812,lemma/88181
L256837,lemma/88191
L256841,lemma/88201
L256860,lemma/88266
L256867,lemma/88227
L256868,hypolemma/1585
L256869,lemma/91077
L256883,lemma/10119
L256893,lemma/88258
L256898,lemma/88264
L256899,lemma/88263
L256900,lemma/88265
L256914,lemma/135669
L256923,lemma/88289
L256927,lemma/88291
L256969,lemma/88328
L256992,lemma/91139
L257003,hypolemma/113071
L257009,hypolemma/112821
L257011,lemma/91088
L257041,lemma/88353
L257048,lemma/88361
L257065,lemma/88378
L257092,lemma/10838
L257122,lemma/88432
L257132,lemma/11277
L257139,lemma/88451
L257154,lemma/88459
L257168,lemma/88469
L257178,lemma/88485
L257196,lemma/88503
L257197,lemma/88504
L257205,lemma/91075
L257209,lemma/88514
L257220,lemma/88537
L257255,hypolemma/2061
L257259,lemma/88559
L257261,lemma/88561
L257278,lemma/88579
L257321,hypolemma/1970
L257327,lemma/88624
L257353,lemma/88645
L257357,lemma/88649
L255460,lemma/91035
L255592,lemma/88361
L285993,lemma/127173
L286096,lemma/127617
L255424,lemma/88025
L255425,lemma/88025
L255468,lemma/88112
L257328,lemma/88624
L285867,lemma/126999
L255376,lemma/87990
L255477,lemma/88134
L285987,lemma/127165
L255478,lemma/88080
L285990,lemma/127347
L272411,lemma/100441
L272441,lemma/100255
L284785,lemma/124743
L272397,lemma/48373
L272409,lemma/100203
L272418,lemma/48430
L272430,lemma/100355
L272444,lemma/100275
L272489,lemma/100335
L272505,lemma/100490
L272507,lemma/100492
L272509,lemma/100496
L272510,lemma/100498
L272514,lemma/100504
L272565,lemma/100560
L272570,lemma/100568
L272571,lemma/100572
L272595,lemma/100610
L272604,lemma/102591
L272619,lemma/100621
L272621,lemma/100624
L272653,lemma/100673
L272674,lemma/100715
L272677,lemma/100717
L272698,lemma/100733
L272735,lemma/48881
L272740,lemma/100814
L272756,lemma/100850
L272758,lemma/100856
L272765,hypolemma/113174
L272771,lemma/100871
L272803,lemma/100958
L272806,lemma/100964
L272822,lemma/100985
L272837,lemma/101007
L272853,lemma/101025
L272860,lemma/101052
L272915,hypolemma/14292
L272925,hypolemma/14335
L272932,lemma/101181
L272942,lemma/101208
L272952,lemma/101221
L272969,lemma/101250
L272978,lemma/101261
L272983,lemma/101274
L272990,hypolemma/14410
L273017,lemma/101342
L273023,lemma/101349
L273034,lemma/101371
L273044,lemma/101390
L273056,lemma/101424
L273068,lemma/101458
L273070,lemma/102654
L273097,lemma/6400
L273121,lemma/101538
L284529,lemma/124339
L284536,hypolemma/40377
L284559,lemma/124378
L284574,lemma/124402
L284577,lemma/124403
L284583,lemma/137794
L284600,lemma/124436
L284606,lemma/124442
L284635,lemma/124472
L284641,lemma/124478
L284660,lemma/124518
L284661,lemma/124520
L284663,hypolemma/40609
L284678,lemma/124541
L284687,lemma/124566
L284696,lemma/124578
L284701,lemma/124596
L284706,lemma/124617
L284721,lemma/124637
L284740,lemma/21506
L284744,lemma/139954
L284745,lemma/124675
L284773,lemma/124722
L284774,lemma/138711
L284787,lemma/124746
L284792,lemma/127421
L284798,lemma/124770
L284800,lemma/124775
L284808,lemma/124790
L284835,lemma/124826
L284836,hypolemma/40925
L284859,hypolemma/40955
L284861,lemma/124863
L284900,lemma/124919
L284905,lemma/124932
L284571,lemma/124403
L284664,hypolemma/40609
L284746,lemma/124675
L284906,lemma/124932
L272610,lemma/100610
L284694,lemma/124578
L272487,lemma/100335
L275142,lemma/100850
L284580,lemma/124402
L272984,lemma/101274
L286969,lemma/129341
L264446,lemma/94482
L286831,lemma/129052
L287284,lemma/129551
L287256,lemma/129509
L287394,lemma/129776
L264249,lemma/94331
L264265,lemma/94350
L264285,hypolemma/113105
L264286,lemma/94365
L264301,lemma/41786
L264310,lemma/94387
L264313,lemma/138905
L264319,lemma/94389
L264338,lemma/94402
L264356,hypolemma/7016
L264368,lemma/94420
L264374,lemma/94424
L264378,lemma/94430
L264383,lemma/94435
L264405,lemma/41950
L264416,lemma/97772
L264424,lemma/42006
L264430,hypolemma/7083
L264453,lemma/94487
L264466,lemma/94497
L264467,lemma/96789
L264488,lemma/94517
L264492,lemma/94519
L264513,lemma/94535
L286721,lemma/128787
L286733,lemma/128798
L286779,lemma/128905
L286793,lemma/128933
L286810,lemma/128993
L286858,lemma/129096
L286865,lemma/129116
L286886,lemma/24201
L286892,lemma/129202
L286896,lemma/129210
L286902,lemma/129218
L286918,lemma/129251
L286920,lemma/129241
L286925,lemma/129250
L286928,lemma/129263
L286939,lemma/129280
L286940,lemma/129282
L286945,lemma/129287
L286946,lemma/129288
L286970,lemma/129341
L286981,lemma/129351
L286987,lemma/131037
L286995,lemma/129646
L287000,lemma/129652
L287013,lemma/130504
L287021,lemma/130512
L287030,lemma/130528
L287052,lemma/130574
L287057,hypolemma/104081
L287062,lemma/130597
L287076,lemma/130633
L287079,lemma/130638
L287093,lemma/130663
L287098,lemma/130668
L287100,lemma/130669
L287139,lemma/131021
L287152,lemma/130857
L287174,lemma/130906
L287204,lemma/139791
L287225,lemma/129468
L287229,lemma/129511
L287230,lemma/129474
L287238,lemma/129482
L287248,lemma/129504
L287274,lemma/84044
L287293,lemma/131119
L287311,lemma/129621
L287318,lemma/129632
L287340,lemma/129695
L287379,lemma/129753
L287393,lemma/129773
L287398,lemma/129780
L287410,lemma/129799
L287422,hypolemma/46181
L287423,lemma/129826
L287431,lemma/129841
L287445,lemma/139801
L287460,lemma/129883
L287468,hypolemma/111474
L287473,lemma/129917
L287477,lemma/129923
L286826,lemma/129039
L287055,lemma/130578
L264373,lemma/94430
L264443,lemma/94402
L287083,lemma/130663
L287183,lemma/130906
L287216,lemma/129504
L287341,lemma/129695
L287249,lemma/129504
L285027,lemma/125106
L264804,lemma/94681
L264491,lemma/94518
L264493,lemma/94520
L264504,lemma/94528
L264521,lemma/94539
L264529,lemma/97555
L264550,lemma/94553
L264560,lemma/94533
L264568,lemma/42181
L264587,lemma/94567
L264595,lemma/138506
L264600,lemma/94577
L264602,lemma/94578
L264606,lemma/94581
L264611,lemma/94585
L264625,hypolemma/7325
L264627,lemma/94599
L264629,lemma/94600
L264630,lemma/42208
L264641,lemma/94610
L264645,lemma/94614
L264649,lemma/94621
L264664,lemma/94637
L264669,lemma/141711
L264680,lemma/94651
L264683,lemma/94649
L264724,lemma/94676
L264746,lemma/96590
L264764,lemma/97570
L264765,lemma/96551
L264770,lemma/97575
L264773,lemma/97575
L264808,lemma/94684
L264826,lemma/94690
L264839,lemma/97854
L264848,lemma/94704
L264863,lemma/94717
L264873,lemma/94725
L264875,lemma/94727
L264898,lemma/94740
L264930,lemma/141712
L264941,hypolemma/7365
L264948,lemma/94770
L264957,hypolemma/7505
L284910,lemma/139758
L284943,lemma/126262
L284950,lemma/124993
L284962,lemma/81051
L284967,lemma/125021
L284988,lemma/125081
L284995,lemma/125062
L285009,lemma/123629
L285014,hypolemma/113069
L285016,lemma/125086
L285028,lemma/125107
L285048,lemma/125141
L285052,lemma/125144
L285060,lemma/125156
L285068,lemma/125168
L285073,lemma/125176
L285088,lemma/81381
L285089,lemma/125211
L285096,lemma/125223
L285104,lemma/81551
L285143,lemma/125323
L285150,lemma/125350
L285155,lemma/125366
L285159,lemma/125371
L285170,lemma/125397
L285172,lemma/125400
L285192,lemma/125448
L285206,lemma/125471
L285243,lemma/125521
L285282,lemma/125603
L285285,lemma/125606
L285314,lemma/125661
L285328,lemma/125676
L285342,lemma/125702
L285358,lemma/125736
L285363,lemma/125747
L285371,lemma/125768
L285381,lemma/125797
L285400,lemma/125831
L285410,lemma/125863
L285426,lemma/125890
L285431,lemma/125897
L285440,lemma/125912
L264522,lemma/94539
L264561,lemma/94533
L263836,lemma/94681
L264497,lemma/94533
L264498,lemma/94533
L264549,lemma/94553
L285566,lemma/126262
L264573,lemma/94567
L265247,lemma/94649
L284987,lemma/123629
L285010,lemma/125081
L285061,lemma/125156
L261149,lemma/91898
L261649,lemma/92265
L264715,lemma/93448
L261761,lemma/92339
L261132,lemma/141620
L261137,lemma/91891
L261172,lemma/91913
L261173,lemma/138340
L261178,lemma/91917
L261191,lemma/91924
L261192,lemma/91926
L261205,lemma/91939
L261211,lemma/91940
L261221,lemma/91948
L261233,lemma/91959
L261242,lemma/91967
L261249,lemma/91973
L261257,lemma/91978
L261258,lemma/91979
L261259,lemma/91979
L261264,lemma/91984
L261265,lemma/91982
L261276,lemma/91991
L261287,lemma/91999
L261298,lemma/92011
L261343,lemma/92043
L261344,lemma/92044
L261348,lemma/92048
L261366,lemma/92122
L261378,lemma/92132
L261419,lemma/92170
L261446,lemma/92197
L261454,lemma/92204
L261487,lemma/92222
L261492,lemma/92228
L261496,lemma/92232
L261498,lemma/92233
L261518,lemma/93382
L261647,lemma/1970
L261672,lemma/92277
L261673,lemma/92279
L261678,lemma/92286
L261689,lemma/92296
L261690,lemma/92297
L261696,lemma/92303
L261702,lemma/92308
L261713,lemma/38060
L261730,lemma/97829
L261733,lemma/92327
L261738,lemma/92332
L261740,lemma/92323
L261752,lemma/92335
L261766,lemma/92343
L261769,lemma/92348
L261779,lemma/97629
L261782,lemma/94974
L261806,lemma/92361
L261812,lemma/94958
L261817,lemma/94974
L261820,lemma/92368
L261821,lemma/92370
L261823,lemma/92371
L261832,lemma/92378
L261836,lemma/38203
L261871,lemma/92405
L261891,lemma/92423
L261893,lemma/92425
L261914,lemma/92448
L261928,lemma/92455
L263367,lemma/92265
L267956,lemma/96524
L267967,lemma/96512
L267977,lemma/96535
L267979,hypolemma/9596
L267987,lemma/93448
L267994,lemma/96547
L268004,lemma/96554
L268008,lemma/96557
L268015,lemma/96561
L268019,lemma/97628
L268038,lemma/96576
L268050,hypolemma/9640
L268055,lemma/44253
L268081,lemma/3888
L268098,hypolemma/88810
L263066,lemma/92232
L263069,lemma/92233
L264794,lemma/92222
L264820,lemma/93382
L261263,lemma/91982
L261773,lemma/94958
L263093,lemma/93382
L267908,lemma/96512
L261268,lemma/91973
L261856,lemma/92378
L261150,lemma/91898
L261228,lemma/91948
L261724,lemma/92323
L261837,lemma/38203
L261892,lemma/92425
L263372,lemma/93608
L263379,lemma/93612
L263380,lemma/93614
L263383,lemma/93616
L263396,lemma/93626
L263405,lemma/93634
L263410,lemma/93637
L263422,lemma/93647
L263460,lemma/93682
L263467,lemma/93688
L263470,lemma/93693
L263486,lemma/93701
L263488,lemma/93703
L263510,lemma/93718
L263514,lemma/93726
L263522,lemma/93731
L263530,lemma/93738
L263536,lemma/93746
L263556,lemma/93761
L263559,lemma/41199
L263567,lemma/138465
L263570,lemma/138467
L263577,lemma/93773
L263596,lemma/93789
L263599,lemma/3040
L263602,lemma/93793
L263613,lemma/93804
L263627,lemma/93816
L263659,lemma/93833
L263702,lemma/93861
L263711,lemma/93871
L270469,lemma/98008
L270499,lemma/136363
L270504,lemma/98042
L270505,lemma/98041
L270536,hypolemma/112876
L270549,lemma/98081
L270552,lemma/98082
L270557,lemma/98088
L270561,lemma/98091
L270591,lemma/98146
L270601,hypolemma/10839
L270602,lemma/98126
L270604,lemma/98128
L270607,lemma/98131
L270608,lemma/98132
L270610,lemma/98134
L270625,hypolemma/96463
L270646,lemma/98157
L270647,lemma/98156
L270669,lemma/98177
L270672,hypolemma/10849
L270677,lemma/98186
L270685,lemma/98194
L270717,hypolemma/10593
L270732,lemma/98222
L270733,lemma/131297
L270744,hypolemma/10903
L270746,lemma/98208
L270754,lemma/98249
L270755,lemma/98248
L270767,lemma/98256
L270780,hypolemma/10976
L270782,lemma/98266
L270806,lemma/100448
L270826,lemma/98296
L270857,hypolemma/11053
L270864,lemma/98330
L270885,lemma/98349
L270895,lemma/98358
L270902,lemma/98365
L270907,lemma/98372
L270909,lemma/98381
L270920,lemma/98390
L270921,lemma/98391
L270927,lemma/98376
L270935,lemma/98395
L270946,lemma/98404
L270947,lemma/98403
L270952,lemma/98406
L270956,lemma/98411
L270962,lemma/100384
L270968,lemma/100389
L270973,hypolemma/11250
L270983,lemma/98428
L270999,lemma/98439
L271009,lemma/98449
L271017,lemma/98457
L270771,lemma/98222
L270948,lemma/98404
L263346,lemma/93588
L270729,lemma/98256
L263277,lemma/93588
L263344,lemma/93588
L263657,lemma/93833
L270910,lemma/98381
L263375,lemma/93608
L263421,lemma/93647
L270636,lemma/98146
L270722,lemma/98222
L279501,lemma/114113
L279492,lemma/113393
L279296,lemma/113566
L279091,lemma/113151
L283285,lemma/121572
L279034,lemma/113031
L279057,lemma/113071
L279081,lemma/113130
L279097,lemma/113172
L279118,lemma/112283
L279137,lemma/113345
L279151,lemma/114087
L279161,lemma/113399
L279174,lemma/113421
L279177,hypolemma/28512
L279191,lemma/113441
L279208,lemma/113452
L279234,lemma/113499
L279243,lemma/113504
L279255,lemma/114122
L279262,lemma/114163
L279268,lemma/114139
L279281,lemma/114131
L279283,hypolemma/113186
L279290,lemma/113555
L279295,lemma/113565
L279301,lemma/113575
L279304,lemma/113577
L279313,lemma/113603
L279323,lemma/114066
L279337,lemma/113626
L279351,lemma/113559
L279356,lemma/113655
L279361,lemma/113666
L279362,lemma/113667
L279372,lemma/67454
L279400,lemma/113704
L279402,lemma/113707
L279420,lemma/113752
L279428,lemma/113773
L279440,lemma/113800
L279442,lemma/113804
L279462,lemma/114153
L279477,lemma/113844
L279487,lemma/113866
L279494,lemma/113869
L279497,hypolemma/28988
L279511,lemma/113896
L279512,lemma/16034
L279537,lemma/113923
L279541,lemma/113942
L279555,lemma/113968
L279563,hypolemma/29080
L279572,lemma/113986
L279577,lemma/16103
L279602,lemma/114008
L279650,lemma/115490
L279672,lemma/114243
L279674,lemma/114245
L279679,lemma/114265
L279681,lemma/114270
L279683,lemma/114274
L279687,lemma/114282
L279697,lemma/114299
L279700,lemma/114316
L283300,lemma/122444
L283302,lemma/122445
L283312,lemma/121594
L283314,lemma/122463
L283322,lemma/122471
L283327,lemma/121606
L283329,lemma/121608
L283335,hypolemma/38171
L283346,lemma/122490
L283348,lemma/122493
L283364,lemma/122516
L283365,lemma/122517
L283366,lemma/122518
L283367,lemma/121632
L283370,lemma/122522
L283372,lemma/122523
L283417,lemma/121704
L283419,lemma/122563
L283420,lemma/122935
L283438,lemma/122575
L283439,lemma/122576
L283443,lemma/121739
L283448,lemma/121743
L283453,lemma/121750
L283462,hypolemma/112986
L283476,lemma/122619
L283485,lemma/121780
L283489,lemma/122641
L283491,lemma/121788
L283504,lemma/121801
L279252,lemma/114131
L279284,lemma/114122
L279100,lemma/113172
L279287,lemma/114122
L279584,lemma/114008
L269187,lemma/97346
L278592,lemma/112046
L19616,lemma/99334
L268701,lemma/96985
L268706,lemma/96990
L268714,lemma/96995
L268716,lemma/96990
L268739,lemma/97012
L268767,lemma/97026
L268773,lemma/97032
L268775,lemma/97034
L268776,lemma/97033
L268778,lemma/45247
L268782,lemma/97039
L268798,lemma/97055
L268802,lemma/136325
L268821,lemma/93668
L268828,lemma/97073
L268832,lemma/97076
L268834,lemma/97325
L268847,lemma/97090
L268851,lemma/97522
L268901,lemma/97133
L268912,lemma/97142
L268930,lemma/97158
L268944,lemma/97167
L268953,lemma/97176
L269000,lemma/97203
L269020,lemma/139990
L269037,lemma/97236
L269045,lemma/97242
L269057,lemma/97250
L269061,lemma/97252
L269065,lemma/97254
L269067,lemma/97264
L269086,lemma/97273
L269102,lemma/97286
L269125,lemma/97299
L269142,hypolemma/10267
L269152,lemma/97310
L269162,lemma/97315
L269191,lemma/97523
L269192,lemma/97351
L269205,lemma/97824
L269212,lemma/97365
L269213,lemma/97364
L269217,lemma/97369
L269220,lemma/97372
L269222,lemma/97375
L269224,lemma/97377
L269228,lemma/97380
L269237,lemma/97391
L269241,lemma/97395
L269264,lemma/97100
L278573,lemma/64998
L278580,lemma/112016
L278583,lemma/112022
L278585,lemma/112023
L278598,lemma/112055
L278604,lemma/112072
L278605,lemma/112076
L278622,lemma/112102
L278628,lemma/112109
L278630,lemma/112114
L278631,lemma/112113
L278632,lemma/112116
L278639,lemma/112126
L278645,lemma/112142
L278650,lemma/112148
L278665,lemma/112211
L278674,lemma/112254
L278678,lemma/112258
L278681,lemma/112261
L278686,lemma/65589
L278687,lemma/112313
L278701,lemma/65630
L278702,lemma/112336
L278722,lemma/136161
L278727,hypolemma/27352
L278739,lemma/112400
L278753,hypolemma/113145
L278759,hypolemma/27408
L278778,lemma/136086
L278789,lemma/112460
L278792,lemma/112465
L278810,lemma/112500
L278815,lemma/14765
L278816,lemma/14765
L278824,lemma/112521
L278848,lemma/112561
L278855,lemma/66041
L278857,lemma/112578
L278893,lemma/112656
L268833,lemma/97076
L274936,lemma/96990
L268824,lemma/97090
L269101,lemma/97286
L269225,lemma/97377
L268842,lemma/93668
L269056,lemma/97250
L258261,lemma/89431
L257865,hypolemma/2424
L273136,lemma/101550
L273138,lemma/101551
L273174,lemma/101698
L273175,lemma/6723
L273181,lemma/101564
L273184,lemma/101569
L273201,lemma/101598
L273203,lemma/101602
L282127,lemma/119306
L282128,lemma/120721
L282139,lemma/119325
L282162,lemma/119391
L282184,lemma/120893
L282205,lemma/119452
L282227,hypolemma/35374
L282246,lemma/73424
L282247,lemma/119505
L282260,lemma/119582
L282261,lemma/119583
L282280,lemma/119617
L282287,lemma/119630
L282291,lemma/119641
L282297,lemma/119648
L282313,lemma/119672
L282321,lemma/119695
L282338,hypolemma/35622
L282342,lemma/119724
L282350,lemma/119737
L255705,lemma/87578
L257647,lemma/88854
L257655,lemma/88866
L257675,lemma/89748
L257680,lemma/88894
L257693,lemma/88908
L257698,lemma/88916
L257720,lemma/88939
L257724,lemma/88942
L257757,lemma/88979
L257759,lemma/88982
L257769,lemma/30292
L257782,lemma/89015
L257786,lemma/89021
L257805,lemma/89033
L257808,lemma/89036
L257809,lemma/89036
L257817,hypolemma/88611
L257826,lemma/90975
L258229,lemma/89397
L257837,lemma/89063
L257840,lemma/89066
L257876,lemma/88992
L257883,lemma/87578
L257884,lemma/88829
L257889,lemma/91022
L257908,lemma/89119
L257939,lemma/87746
L257951,lemma/89143
L257953,lemma/89145
L257969,lemma/89162
L257999,lemma/89193
L258010,lemma/89207
L258026,lemma/89216
L258029,lemma/89221
L258030,lemma/89222
L258032,lemma/89224
L258056,lemma/89246
L258064,lemma/89254
L258070,lemma/89261
L258071,lemma/101162
L258079,lemma/137001
L258088,lemma/89276
L258091,lemma/89278
L258094,lemma/19280
L258116,lemma/89293
L258141,lemma/89306
L258145,lemma/89307
L258153,hypolemma/2641
L258227,lemma/89396
L258230,lemma/89400
L258252,lemma/89421
L258264,lemma/89434
L258294,lemma/89470
L258306,lemma/89491
L258318,lemma/89502
L258338,lemma/89522
L258343,lemma/89527
L258348,lemma/89534
L258371,lemma/89559
L258497,lemma/89652
L258500,lemma/89653
L258022,lemma/89216
L282237,hypolemma/35374
L255712,lemma/91022
L258110,lemma/89193
L258235,lemma/89400
L257630,lemma/88829
L257903,lemma/88829
L282129,lemma/120721
L277602,lemma/110043
L277703,lemma/110224
L277658,lemma/110149
L277677,lemma/110182
L262154,lemma/92629
L262160,lemma/92624
L262174,lemma/92641
L262178,lemma/92644
L262183,lemma/38854
L262190,lemma/92651
L262202,lemma/92659
L262207,lemma/92661
L262212,lemma/92666
L262250,lemma/92701
L262257,lemma/92707
L262269,lemma/92717
L262291,lemma/92731
L262302,lemma/92742
L262318,lemma/92753
L262322,lemma/92760
L262326,lemma/92763
L262327,lemma/92765
L262346,lemma/92779
L262369,lemma/39178
L262373,lemma/93704
L262411,lemma/92906
L262421,lemma/92813
L262439,lemma/92827
L262463,lemma/39314
L262467,lemma/92899
L262478,lemma/92854
L262486,lemma/92861
L262497,lemma/2424
L262502,lemma/92871
L262506,lemma/92874
L262511,lemma/92879
L262518,lemma/92888
L262528,lemma/92888
L262535,hypolemma/113549
L262540,lemma/92900
L262561,lemma/97645
L262575,lemma/92929
L262580,lemma/2481
L262603,lemma/92971
L262627,lemma/92974
L262634,lemma/92981
L277139,lemma/109050
L277150,lemma/109075
L277191,lemma/109138
L277205,lemma/109476
L277228,lemma/106123
L277241,hypolemma/24055
L277242,lemma/108925
L277246,lemma/135742
L277312,lemma/10964
L277330,lemma/109570
L277333,lemma/109260
L277347,lemma/109282
L277406,lemma/109633
L277423,lemma/109667
L277465,lemma/109748
L277467,lemma/109750
L277469,lemma/109756
L277482,lemma/109779
L277485,lemma/109784
L277496,lemma/109813
L277509,lemma/109852
L277513,lemma/109870
L277534,lemma/109922
L277539,lemma/109931
L277548,lemma/109942
L277553,lemma/109945
L277556,lemma/109950
L277564,lemma/109981
L277594,lemma/110034
L277607,lemma/110056
L277624,lemma/110108
L277647,lemma/110129
L277660,lemma/110156
L277665,lemma/110166
L277668,lemma/110171
L277673,lemma/110175
L277678,lemma/111115
L277693,lemma/110201
L277700,lemma/110214
L277702,lemma/110225
L277704,lemma/110228
L277705,lemma/110229
L277708,lemma/110233
L277714,lemma/110251
L277724,lemma/110278
L262163,lemma/92629
L262304,lemma/92742
L262625,lemma/92971
L263490,lemma/93704
L276668,lemma/109075
L262572,lemma/92929
L262538,lemma/92899
L262548,lemma/92906
L277542,lemma/109950
L262087,lemma/92575
L40313,hypolemma/16096
L438,lemma/92949
L7558,lemma/116432
L184993,lemma/92575
L229747,lemma/3086
L238443,lemma/131241
L252836,lemma/131184
L254563,hypolemma/8
L254571,lemma/86850
L254583,lemma/86855
