lexeme,lila
L266074,lemma/43269
L266077,lemma/95590
L266085,lemma/95597
L266088,lemma/95600
L266105,lemma/95612
L266107,lemma/95611
L266120,lemma/95624
L266125,lemma/95625
L266150,lemma/43310
L266160,lemma/95660
L266161,lemma/95661
L266174,hypolemma/85410
L266199,hypolemma/8472
L266201,lemma/95688
L266202,lemma/95687
L266221,lemma/95638
L266227,lemma/95705
L266228,lemma/95699
L266239,lemma/97727
L266251,lemma/95719
L266280,lemma/95759
L266283,lemma/95739
L266292,lemma/95747
L266297,lemma/95749
L266304,lemma/95755
L266321,hypolemma/8574
L266323,lemma/95765
L266338,lemma/138927
L266346,lemma/95785
L266350,lemma/95788
L266353,hypolemma/8602
L266358,lemma/95793
L266364,lemma/95797
L266389,lemma/95818
L266412,lemma/43479
L266429,lemma/95845
L266441,lemma/95855
L266446,lemma/95857
L266458,lemma/95866
L266461,lemma/95870
L266471,lemma/95877
L266479,lemma/95883
L266484,lemma/95887
L266486,lemma/95889
L266488,lemma/95891
L266499,lemma/95899
L266511,lemma/97734
L266514,hypolemma/8786
L266531,lemma/141729
L266548,lemma/95925
L266551,lemma/95907
L266554,hypolemma/8802
L266571,lemma/95944
L266572,hypolemma/112907
L266581,lemma/97737
L266587,hypolemma/8840
L266589,lemma/95952
L266590,lemma/94786
L266603,lemma/94797
L266606,lemma/97000
L266612,lemma/43571
L266614,lemma/94809
L266621,lemma/94814
L266671,lemma/94862
L273461,lemma/102055
L273485,lemma/102099
L273498,lemma/102117
L273526,lemma/102163
L264951,lemma/95952
L264991,lemma/94797
L265016,lemma/94814
L266040,lemma/95566
L266604,lemma/97000
L266754,lemma/97727
L266755,lemma/97727
L264978,lemma/94786
L266044,lemma/95569
L266135,lemma/95638
L266445,lemma/95857
L264992,lemma/97000
L265081,lemma/94862
L266073,lemma/43269
L266106,lemma/95612
L264949,lemma/95925
L266220,lemma/95699
L265009,lemma/94809
L266238,lemma/97727
L266498,lemma/95899
L266583,lemma/95952
L273457,lemma/102055
L264994,lemma/97000
L266535,lemma/141729
L266573,hypolemma/112907
L266584,lemma/95952
L266586,hypolemma/8840
L275904,lemma/109507
L275914,lemma/107020
L275938,lemma/106997
L275953,lemma/109512
L275961,lemma/107043
L275963,lemma/107046
L275997,lemma/59031
L276004,lemma/107118
L276031,lemma/107177
L276060,lemma/107222
L276071,lemma/107251
L276072,lemma/107252
L276091,lemma/109445
L276095,lemma/107292
L276096,lemma/107297
L276105,lemma/10278
L276106,lemma/107323
L276128,lemma/59178
L276140,lemma/59186
L276150,lemma/107402
L276162,lemma/107427
L276190,lemma/107473
L276195,lemma/107498
L276213,lemma/107548
L276231,lemma/107589
L276237,lemma/59293
L276239,hypolemma/63134
L276241,lemma/107599
L276245,lemma/59301
L276256,lemma/107631
L276269,lemma/107646
L276270,lemma/107647
L276274,hypolemma/22040
L276280,lemma/107702
L276281,lemma/107667
L276296,hypolemma/22096
L276300,lemma/107691
L276312,lemma/107717
L276319,lemma/107735
L276335,lemma/107767
L276354,lemma/107798
L276364,hypolemma/22296
L276380,lemma/107838
L276400,hypolemma/22383
L276404,lemma/107872
L276409,lemma/107880
L276457,lemma/106239
L276469,lemma/106276
L276479,hypolemma/19622
L276500,lemma/106451
L276502,lemma/106459
L276503,lemma/107925
L276509,lemma/107932
L276513,lemma/107939
L276514,lemma/107940
L276528,lemma/107969
L276531,lemma/59620
L276555,lemma/107998
L276562,lemma/108011
L276587,lemma/106573
L276602,lemma/106696
L276613,lemma/106715
L276616,lemma/106735
L276638,lemma/108976
L276654,lemma/109033
L276667,lemma/109062
L276675,lemma/108059
L276702,lemma/108112
L276707,lemma/108121
L276710,lemma/108131
L276716,lemma/108148
L276761,lemma/108224
L276762,lemma/108226
L276768,hypolemma/111638
L276770,lemma/108241
L276778,lemma/108258
L276787,lemma/108268
L276788,lemma/108269
L276793,lemma/108276
L276803,lemma/108304
L276818,lemma/108330
L275583,lemma/106276
L276355,lemma/107798
L277129,lemma/109033
L275621,hypolemma/19622
L275676,lemma/106451
L275737,lemma/106573
L275950,lemma/107020
L275682,lemma/106459
L275790,lemma/106696
L277147,lemma/109062
L275567,lemma/106239
L276299,lemma/107691
L276603,lemma/106696
L275791,lemma/106696
L11788,lemma/108241
L275806,lemma/106715
L275819,lemma/106735
L275926,lemma/106969
L276303,lemma/107702
L258257,lemma/89426
L258272,lemma/89445
L258275,lemma/89452
L258276,lemma/89455
L258283,lemma/89464
L258285,lemma/89465
L258295,hypolemma/2757
L258316,lemma/89500
L258364,lemma/89551
L272614,lemma/100615
L272616,lemma/100618
L272626,lemma/100619
L272641,lemma/102595
L272670,lemma/100704
L272690,lemma/100728
L272695,lemma/102603
L272711,hypolemma/111492
L272739,lemma/100812
L272753,lemma/100840
L272762,lemma/100863
L272766,lemma/102693
L272767,lemma/100864
L272770,lemma/100870
L272779,lemma/100479
L272780,lemma/100892
L272787,lemma/100910
L272797,lemma/100944
L272807,lemma/100966
L272827,lemma/100991
L272828,lemma/100992
L272829,lemma/100996
L272836,lemma/101004
L272882,lemma/101090
L272886,lemma/101107
L272888,lemma/101111
L272893,lemma/102617
L272918,lemma/101151
L272924,lemma/101169
L272989,lemma/101291
L272992,lemma/101293
L273030,lemma/101356
L273048,lemma/101393
L273053,lemma/101411
L273072,lemma/101466
L273081,lemma/101479
L273088,lemma/101379
L273100,lemma/100757
L273104,lemma/101531
L273134,lemma/101548
L273141,lemma/102559
L273146,lemma/101560
L273156,lemma/101621
L273157,lemma/101621
L273163,lemma/101649
L273168,lemma/6684
L273177,lemma/101701
L273194,lemma/101580
L273197,lemma/101582
L273207,lemma/101604
L273238,lemma/101671
L273250,lemma/101729
L273255,lemma/101735
L273261,lemma/101756
L273264,hypolemma/14872
L273268,lemma/101778
L273291,lemma/101819
L273306,lemma/102698
L273328,lemma/102280
L273333,lemma/101878
L273335,lemma/101882
L273340,lemma/101885
L273348,lemma/101905
L273352,lemma/101915
L273353,lemma/101920
