wd_item,wd_itemLabel,wn31
Q1361229,conquest,00161352-n
Q12888920,choice,00162063-n
Q849891,casting,00162423-n
Q49908,sampling,00162708-n
Q7519600,ordination,00166119-n
Q102877,castling,00167373-n
Q842046,check,00168267-n
Q20819848,checkmate,00168585-n
Q208544,gambit,00168771-n
Q267917,parking,00169326-n
Q2918584,relocation,00169479-n
Q7187753,Photogenic,00170082-a
Q178113,Chandelle,00170472-n
Q191062,mnemonic,00172328-n
Q931092,practical joke,00172439-n
Q427117,feint,00172894-n
Q1032176,countermeasure,00175512-n
Q2260952,Greenmail,00176901-n
Q5370734,emergency procedure,00178632-n
Q211101,voice,00180532-n
Q40231,public election,00182630-n
Q1057954,by-election,00184089-n
Q615255,two-round system,00184206-n
Q1896513,mercerizing,00185843-v
Q813687,breech presentation,00186287-n
Q228036,cesarean section,00186627-n
Q20862341,midwifery,00187398-n
Q18530,goal,00188186-n
Q3492688,spare,00188739-n
Q1050303,downtown,00189364-r
Q650807,touchdown,00189615-n
Q2603777,conversion,00189955-n
Q906099,earned run,00190745-n
Q123086,hat-trick,00191428-n
Q244772,filtration,00192829-n
Q1367555,percolation,00192998-n
Q1303150,compounding,00193830-v
Q419793,accommodation,00194074-n
Q933949,milking,00194514-v
Q11395,domestication,00195106-n
Q2738925,metrication,00195494-n
Q2705215,macabre,00197276-a
Q322768,subrogation,00198967-n
Q333203,weaning,00199119-n
Q574433,promotion,00199300-n
Q7306364,Reduction in rank,00199642-n
Q194105,editing,00200761-v
Q204244,shunning,00204602-n
Q3942953,Backslide,00204947-v
Q7313594,renunciation,00205928-n
Q723838,proscription,00207151-n
Q379693,deportation,00208155-n
Q186240,ostracism,00208283-n
Q21811,Ornithorhynchidae,00208492-a
Q188863,exile,00208610-n
Q379693,deportation,00208610-n
Q175447,Babylonian captivity,00208990-n
Q49822,excommunication,00209126-n
Q1054021,graduation,00212914-n
Q1509918,swan song,00213527-n
Q1503967,pickling,00213649-v
Q1143371,cession,00213901-n
Q843389,canning,00214220-v
Q100926628,breakup,00216181-n
Q14130,waist-length hair,00216404-a
Q1060330,subversion,00216705-n
Q685744,termination of employment,00217041-n
Q5514687,food drying,00218901-v
Q188721,annihilation,00219075-n
Q465119,decimation,00219294-n
Q5514687,food drying,00219829-v
Q524931,coup de grâce,00220330-n
Q100159,euthanasia,00220723-n
Q2691275,honor killing,00221086-n
Q132821,murder,00221389-n
Q1627825,picturesque,00221516-a
Q3882219,assassination,00221923-n
Q1136456,matricide,00222686-n
Q992216,fratricide,00222848-n
Q6000508,filicide,00223022-n
Q10737,suicide,00223352-n
Q689846,assisted suicide,00223806-n
Q133462,seppuku,00224229-n
Q208088,sati,00224442-n
Q4282505,animal slaughter,00224721-n
Q3199915,massacre,00224850-n
Q216169,execution by firing squad,00226017-n
Q172336,chokehold,00226653-n
Q279330,bronchospasm,00227378-n
Q172336,chokehold,00228131-n
Q179723,sacrifice,00228462-n
Q11453,irrigation,00228662-v
Q204933,decapitation,00229048-n
Q685744,termination of employment,00230681-n
Q897825,firefighting,00230801-n
Q28693,miscarriage,00231342-n
Q2781245,perinatal death,00231342-n
Q1185311,Reining,00235558-v
Q172937,polyhedron,00236114-a
Q215304,creation myth,00238736-n
Q1068633,groundbreaking,00240350-n
Q3010369,opening ceremony,00240777-n
Q55237917,installation,00241805-n
Q1420117,reefing,00242285-v
Q570364,kick-off,00242374-n
Q17037980,shrivelling,00242575-v
Q611749,scrum,00243013-n
Q1417098,inauguration,00244240-n
Q202741,Blondie,00244463-a
Q38695,cooking,00244785-n
Q2111686,culinary art,00244785-n
Q1211290,Norsemen,00245180-a
Q152357,red hair,00245266-a
Q2040833,chestnut,00246716-a
Q720398,baking,00247208-n
Q264619,grilling,00247621-n
Q300472,frying,00247807-n
Q784148,braising,00248096-n
Q34577,poaching,00248209-n
Q4865573,roasting,00248309-n
Q41716,boiling,00248659-n
Q240164,simmering,00248659-n
Q1367555,percolation,00249119-n
Q2351730,social progress,00250368-n
Q2121926,fruit ripening,00250738-v
Q12773274,cleaning,00251880-n
Q2306047,pest control,00252387-n
Q949149,sanitation,00255282-n
Q369570,shaving,00255636-n
Q16726164,clockwise direction,00255849-r
Q380913,Ablution in Christianity,00256081-n
Q380913,Ablution in Christianity,00256317-n
Q336152,dishwashing,00256467-n
Q23841,washing,00256577-n
Q951150,Ibid.,00257456-r
Q327651,bath,00258637-n
Q304502,mud bath,00259144-n
Q249401,à la carte,00259491-r
Q4004659,ointment,00260235-n
Q12713481,laborer,00260966-a
Q208128,land reform,00261724-n
Q3772446,Glorification,00262815-n
Q7314101,Repointing,00262843-v
Q5370025,embellishment,00263586-n
Q214856,tessellation,00264007-n
Q43006,tattooing,00264196-n
Q3480260,marbling,00264790-n
