wd_item,wd_itemLabel,wn31
Q326426,string,04345281-n
Q1771040,stringer,04346140-n
Q182925,fluorescent lamp,04346957-n
Q7624088,strip mall,04347097-n
Q4278128,Stripper well,04347456-n
Q178873,stroboscope,04347599-n
Q3390714,stronghold,04348013-n
Q3501496,bank vault,04348211-n
Q2142266,razor strop,04348366-n
Q6671777,structure,04348764-n
Q2039332,strut,04350226-n
Q7627808,student center,04350818-n
Q18663765,stud farm,04350997-n
Q746628,studio,04351324-n
Q1335996,Studio apartment,04351812-n
Q1759167,study,04352106-n
Q7628403,study hall,04352279-n
Q7628517,stuff,04352366-n
Q180987,stupa,04353406-n
Q1651566,pigsty,04353506-n
Q2647209,stylus,04353589-n
Q2704381,subcompact car,04354197-n
Q2811,submarine,04354832-n
Q428661,U-boat,04354832-n
Q1570255,submersible,04355262-n
Q1570255,submersible,04355437-n
Q174814,electrical substation,04355780-n
Q770289,subwoofer,04356479-n
Q424378,succinylcholine,04356604-n
Q420394,sucralfate,04356779-n
Q1643563,prescription drug,04357425-n
Q1071417,suede,04357536-n
Q227857,sugar refinery,04357766-n
Q614806,suit,04357983-n
Q27905,suit,04358311-n
Q1367530,suite,04358628-n
Q2022983,sulfacetamide,04358854-n
Q2555060,sulfadiazine,04359014-n
Q411398,sulfonamide drug,04359148-n
Q415843,sulfamethoxazole,04359658-n
Q423423,sulfanilamide,04359837-n
Q3976827,sulfapyridine,04359984-n
Q372598,sulfisoxazole,04360094-n
Q418776,sulfonylurea,04360267-n
Q963093,sulindac,04360488-n
Q222902,sulky,04360651-n
Q5783893,summer house,04361104-n
Q65965993,sunbonnet,04361667-n
Q7638694,Sun deck,04362345-n
Q80793,sundial,04362416-n
Q7639866,sundress,04362589-n
Q217541,sunglasses,04363134-n
Q867269,ha-ha,04363510-n
Q7638701,sun hat,04363682-n
Q1791429,sunroom,04364012-n
Q2165438,Sunroof,04364208-n
Q827658,sunscreen,04364401-n
Q6151406,sun visor,04364882-n
Q1079988,supercharger,04365017-n
Q121117,supercomputer,04365204-n
Q180846,supermarket,04365794-n
Q1370583,superstructure,04365961-n
Q1088843,supertanker,04366121-n
Q48767324,supper club,04366211-n
Q339340,ogee,04368888-n
Q1675826,surcoat,04369024-n
Q109924081,surface-to-air missile system,04370499-n
Q457689,surfboard,04370646-n
Q2368503,surfboat,04370758-n
Q1675826,surcoat,04370864-n
Q745332,surplice,04372081-n
Q1256079,Surrey,04372199-n
Q11460,clothing,04372316-n
Q272870,suspension,04373203-n
Q12570,suspension bridge,04373454-n
Q619800,surgical suture,04374458-n
Q828361,mop,04374567-n
Q44413935,swaddling clothes,04375037-n
Q7652942,Swage block,04375322-n
Q250902,swagger stick,04375452-n
Q1146387,morning coat,04375583-n
Q7653358,swamp buggy,04375782-n
Q232191,sweater,04377135-n
Q2426768,tracksuit bottoms,04377375-n
Q19968163,sweat shirt,04377543-n
Q1415635,sweatshop,04377687-n
Q1501,swimming pool,04378312-n
Q785952,public bath,04378312-n
Q212989,swimsuit,04378650-n
Q188688,swing,04378861-n
Q5320,electrical switch,04379457-n
Q82818,railroad switch,04379843-n
Q972351,switchblade,04380176-n
Q589666,telephone switchboard,04380351-n
Q1994071,swivel,04380650-n
Q3954162,swivel chair,04380791-n
Q2267337,Swizzle stick,04380882-n
Q12791,sword,04380981-n
Q274556,gladius,04380981-n
Q34627,synagogue,04381822-n
Q255481,Tabernacle,04381822-n
Q2142826,synchrocyclotron,04381994-n
Q689863,synchrotron,04382862-n
Q1298796,synchroscope,04383013-n
Q163829,synthesizer,04383487-n
Q847847,synthetism,04383802-n
Q273318,syringe,04383963-n
Q535449,tabard,04385576-n
Q255481,Tabernacle,04385738-n
Q2140759,Salt Lake Tabernacle,04385929-n
Q775874,tabi,04386043-n
Q378910,tab key,04386183-n
Q14748,table,04386330-n
Q14748,table,04387051-n
Q536168,tablecloth,04387230-n
Q3130638,table knife,04387433-n
Q36641511,table lamp,04387620-n
Q6964858,Napery,04387704-n
Q2002583,tablespoon,04388160-n
Q48961427,table for table tennis,04388674-n
Q851782,tableware,04389081-n
Q1751598,Tamborim,04389421-n
Q4733163,taboret,04389525-n
Q1756810,Tachistoscope,04389624-n
Q942667,tachograph,04389782-n
Q206976,tachometer,04389967-n
Q641296,total station,04390102-n
Q16985269,Tacoma Narrows Bridge,04390488-n
Q424156,tadalafil,04390624-n
Q5448807,fillet,04390783-n
Q909391,taffeta,04390926-n
Q21660838,taffrail,04391010-n
Q1506785,empennage,04391103-n
Q1452217,tailored suit,04392166-n
Q896967,tailpiece,04392518-n
Q683005,exhaust system,04392623-n
Q795064,tail rotor,04392886-n
Q2142216,tailstock,04393138-n
Q9141,Taj Mahal,04393370-n
Q1960423,winged sandals,04393751-n
Q83060969,Talcum,04393879-n
Q2038222,tam o' shanter,04394182-n
Q193666,tambourine,04394487-n
Q3515436,tampion,04395127-n
Q976338,tampon,04395249-n
Q379831,Tandoor,04395560-n
Q245336,tangram,04395661-n
Q1047832,reservoir,04395830-n
Q12876,tank,04396120-n
Q3446398,tankard,04396517-n
Q1146040,tank car,04396608-n
Q161161,tank destroyer,04396805-n
Q785745,tank locomotive,04396941-n
Q214649,tape measure,04399200-n
Q510176,cassette deck,04399613-n
Q213777,tape recorder,04400182-n
Q184296,tapestry,04400491-n
Q184296,tapestry,04400642-n
Q125841,Tappan Zee Bridge,04400774-n
Q1719345,tappet,04400901-n
Q1047579,target,04401354-n
Q5347026,tarpaulin,04402159-n
Q216797,tartan,04402241-n
Q5508197,full plaid,04402241-n
Q1194132,tassel,04402336-n
Q2385618,tassets,04402467-n
Q498133,tatting,04402630-n
Q154250,tavern,04403010-n
Q200199,marble,04403228-n
Q1643904,tawse,04403361-n
Q1135572,taximeter,04403470-n
Q910386,taxiway,04403601-n
Q863250,tea bag,04403943-n
Q7691116,tea chest,04404303-n
Q5733109,neck gaiter,04404513-n
Q1827414,tea garden,04404688-n
Q1351525,tea gown,04404780-n
Q245005,teapot,04405179-n
Q3408351,tea set,04405444-n
Q774861,cannabis coffee shop,04405632-n
Q1072166,tea house,04405632-n
Q216425,teaspoon,04405823-n
Q10691698,tea table,04406086-n
Q569612,technical,04406404-n
Q213477,teddy bear,04406517-n
Q1938377,tee,04406672-n
Q6987428,telegraph,04407634-n
Q209867,telemetry,04408034-n
Q11035,telephone,04408223-n
Q1143785,telephone booth,04408815-n
Q1373572,telephone line,04409192-n
Q861310,wirephoto,04410414-n
Q770692,teleprompter,04410659-n
Q4213,telescope,04410773-n
Q1945033,monocular,04410773-n
Q66196,teleprinter,04411335-n
Q289,television,04411547-n
Q629413,television antenna,04411952-n
Q313625,professional video camera,04412132-n
Q1616075,television station,04413485-n
Q1285993,television transmitter,04413687-n
Q1411613,hoist,04413822-n
Q1576693,gondola lift,04413952-n
Q414796,temazepam,04414142-n
Q175166,tempera,04414392-n
Q427287,wat,04414570-n
Q44539,temple,04414821-n
Q43018,Temple of Artemis,04415309-n
Q1286790,auxiliary vessel,04416146-n
Q837139,Full-rigged pinnace,04416263-n
Q1236143,pinnace,04416263-n
Q749311,tender,04416414-n
Q1078374,tenement,04416519-n
Q28810688,Cortiço,04416519-n
Q246514,tennis ball,04416650-n
Q741118,tennis court,04416847-n
Q153362,tennis racquet,04416941-n
Q706199,nine-pin bowling,04417700-n
Q519545,tensiometer,04417798-n
Q2403806,tensiometer,04417895-n
Q519545,tensiometer,04418154-n
Q170544,tent,04418399-n
Q7700839,tenterhook,04418970-n
Q7700839,tenterhook,04419101-n
Q1609983,tent peg,04419435-n
Q134932,tipi,04419551-n
Q280786,terazosin,04419685-n
Q415259,terbinafine,04419862-n
Q1191753,bus depot,04420036-n
Q20202072,terminus,04420036-n
Q67183571,terminal,04420036-n
Q216640,computer terminal,04420554-n
Q60424,terracotta,04421236-n
Q1131243,terrarium,04421334-n
Q1470617,terry cloth,04421611-n
Q2484793,tessera,04421956-n
Q2484793,tessera,04422044-n
Q579036,sounding rocket,04422798-n
Q213452,measuring cylinder,04423056-n
Q208129,battering ram,04423140-n
Q419608,tetracaine,04423336-n
Q422676,tetracycline antibiotic,04423665-n
Q190067,tetrahydrocannabinol,04423920-n
Q203174,thalidomide,04424602-n
Q24354,theatre,04424944-n
Q181517,theodolite,04426208-n
Q407308,theophylline,04426450-n
Q207691,theremin,04426777-n
Q175973,thermistor,04427341-n
Q190241,thermocouple,04427855-n
Q646,thermometer,04429007-n
Q11536219,fusion reactor,04429544-n
Q915693,thermopile,04429701-n
Q23664,vacuum flask,04429862-n
Q187665,thermostat,04430010-n
Q424986,thiabendazole,04430309-n
Q665843,thiazide,04430423-n
Q322483,thimble,04430980-n
Q385347,6-thioguanine,04431961-n
Q58375,thioridazine,04432397-n
Q2608288,(Z)-thiothixene,04432791-n
Q12955949,thong,04433562-n
Q49007,yarn,04433923-n
Q3539922,Three-decker,04434511-n
Q3539922,Three-decker,04434608-n
Q2998484,three-piece suit,04434850-n
Q506839,threshing machine,04435326-n
Q1350230,threshing floor,04435517-n
Q189233,throne,04436510-n
Q3275521,thrust bearing,04437609-n
Q335225,rocket engine,04437739-n
Q1172968,Thumb index,04438430-n
Q12357600,list of screw drives,04438570-n
Q1172972,thumbscrew,04438681-n
Q406839,drawing pin,04438879-n
Q1263450,Thwart,04439177-n
Q749249,tiara,04439337-n
Q7800690,ticking,04439796-n
Q220229,railroad tie,04440719-n
Q6581348,tie pin,04441804-n
Q219616,tightrope walking,04441914-n
Q3651083,tights,04442066-n
Q468402,tile,04442314-n
Q1932076,tiller,04442893-n
Q2675076,loo table,04443146-n
Q7804752,timbrel,04443676-n
Q1849539,time bomb,04443966-n
Q629411,timesheet,04444265-n
Q1500858,time clock,04444410-n
Q186612,timer,04445438-n
Q186612,timer,04445641-n
Q413994,(S)-(−)-timolol,04445876-n
Q969804,tincture,04446256-n
Q867226,Tincture of iodine,04446439-n
Q2373617,tinderbox,04446639-n
Q15043709,tine,04446719-n
Q7807826,tin box,04446974-n
Q1707568,tinsel,04447344-n
Q205076,Tinware,04447620-n
Q13650530,tippet,04447731-n
Q169545,tire,04447883-n
Q184698,tithe barn,04448796-n
Q191010,titration,04448924-n
Q170167,TNT,04449277-n
Q14890,toaster,04449446-n
Q1566,tobacco,04449965-n
Q144101,toboggan,04450567-n
Q1758380,tobramycin,04450722-n
Q20184062,Toby Jug,04450900-n
Q183171,toga,04452174-n
Q4891564,toga virilis,04452288-n
Q592289,wheel and axle,04452461-n
Q7813355,toilet,04453410-n
Q7857,toilet,04453655-n
Q1806590,hair gel,04455013-n
Q116191,toilet seat,04455132-n
Q939954,magnetic confinement fusion,04455456-n
Q751944,token coin,04455632-n
Q7814101,tolazamide,04455782-n
Q413772,tolazoline,04455951-n
Q414275,tolbutamide,04456097-n
Q1364150,tollbooth,04456561-n
Q7814330,toll bridge,04456720-n
Q107438826,tollgate,04456821-n
Q86436,tomahawk,04457237-n
Q3276479,tongs,04458020-n
Q39546,tool,04459089-n
Q1501161,toolbox,04459886-n
Q134205,toothbrush,04460427-n
Q35855,toothpaste,04460569-n
Q41331,toothpick,04460661-n
Q1435365,top,04460937-n
Q2488579,lid,04461181-n
Q23856,top,04461511-n
Q2566774,whirligig,04461511-n
Q897616,topgallant sail,04461925-n
Q897616,topgallant sail,04462063-n
Q1437791,topiary,04462179-n
Q728247,topmast,04462521-n
Q1452598,topsail,04462923-n
Q327954,torch,04463386-n
Q165363,torpedo,04463707-n
Q324233,torpedo boat,04464561-n
Q16220775,torpedo-boat destroyer,04464709-n
Q1330003,torpedo tube,04464873-n
Q1571051,torque wrench,04465145-n
Q3624667,torture chamber,04465436-n
Q263443,totem,04465644-n
Q83809,totem pole,04465868-n
Q1413777,toupée,04466253-n
Q557992,Phaeton,04466357-n
Q131696,towel,04466597-n
Q12518,tower,04467365-n
Q41213,Tower of Babel,04467869-n
Q62378,Tower of London,04468182-n
Q25550691,town hall,04468672-n
Q650399,towpath,04468805-n
Q332050,tow truck,04468931-n
Q11422,toy,04469114-n
Q11422,toy,04469337-n
Q1318959,toy store,04469475-n
Q929923,toy soldier,04469553-n
Q518184,tracer ammunition,04469942-n
Q989961,Flow tracer,04470070-n
Q847108,tracery,04470376-n
Q700143,dirt road,04470745-n
Q633423,rail,04470914-n
Q815683,Vias,04471218-n
Q940913,continuous track,04471653-n
Q20140,trackball,04471850-n
Q63531700,traction engine,04472593-n
Q39495,tractor,04472736-n
Q39495,tractor,04472901-n
Q1067203,trading card,04473030-n
Q1525,roundabout,04473168-n
Q628179,trail,04473848-n
Q216146,trailer,04474334-n
Q216146,trailer,04474542-n
Q1936841,semi-trailer truck,04474900-n
Q870,train,04475240-n
Q600580,seine fishing,04476580-n
Q327911,trampoline,04476749-n
Q2367733,material ropeway,04477048-n
Q13409250,aerial lift,04477048-n
Q929420,trandolapril,04477272-n
Q202949,transept,04478383-n
Q11658,transformer,04478550-n
Q5339,transistor,04478867-n
Q118093,transmission,04479478-n
Q190157,transmitter,04479961-n
Q1943259,transom,04480343-n
Q12057487,fanlight,04480343-n
Q849640,radio transponder,04480510-n
Q475479,car carrier trailer,04481270-n
Q420885,tranylcypromine,04481552-n
Q7835525,trap,04481701-n
Q7835521,Trap,04482078-n
Q665580,trap,04482267-n
Q1200918,trapeze,04482646-n
Q105729329,trawling,04482984-n
Q105729329,trawling,04483135-n
Q326561,fishing trawler,04483351-n
Q613972,tray,04483494-n
Q411457,trazodone,04483868-n
Q683267,treadwheel,04484454-n
Q10756188,treasury,04485060-n
Q7837705,treenail,04485301-n
Q905612,trefoil,04485492-n
Q277151,trellis,04485747-n
Q91764,military trench,04485892-n
Q1852785,trench,04486124-n
Q654290,trench coat,04486281-n
Q1796877,trephine,04486761-n
Q1571667,elevated way,04486929-n
Q653401,trestle bridge,04487174-n
Q7838852,trestle table,04487268-n
Q7839562,trews,04487538-n
Q412143,triazolam,04487881-n
Q201735,triangle,04488109-n
Q25105561,tribromoethanol,04488400-n
Q866196,episcopal see,04488511-n
Q2072745,trichlormethiazide,04488629-n
Q914598,Triclinium,04488780-n
Q914598,Triclinium,04488898-n
Q203161,tricolour,04489052-n
Q763457,tricorne,04489433-n
Q73309,warp knitting,04489553-n
Q536135,tricycle,04489649-n
Q3539074,tricyclic compound,04489799-n
Q271628,trident,04490231-n
Q630415,trimaran,04490563-n
Q423498,trimipramine,04490655-n
Q1622695,trimmer,04491035-n
Q176129,triode,04491688-n
Q2121955,trip hammer,04491903-n
Q1444534,tripod,04492338-n
Q79218,triptych,04492679-n
Q208420,trireme,04493006-n
Q183534,triskelion,04493140-n
Q143912,triumphal arch,04493310-n
Q14973,beverage coaster,04493469-n
Q15707852,trivet,04493578-n
Q1521451,trivia,04493701-n
Q916073,troika,04493872-n
Q107439070,Trojan Horse,04493974-n
Q5639,trolleybus,04494337-n
Q8350,trombone,04494650-n
Q671079,troopship,04494980-n
Q671079,troopship,04495150-n
Q381165,trophy,04495252-n
Q5257307,prize,04495252-n
Q91369,trou de loup,04495551-n
Q1068705,trough,04495683-n
Q39908,trousers,04495786-n
Q747382,trowel,04497112-n
Q43193,truck,04497386-n
Q855814,Briscola,04498154-n
Q121650,baton,04498683-n
Q7847951,trundle bed,04498933-n
Q2668288,trunk,04499064-n
Q1593618,trunk hose,04499229-n
Q798539,Trunk Line,04499559-n
Q1328068,truss,04499670-n
Q991932,truss,04499880-n
Q158218,truss bridge,04500044-n
Q1559301,T-square,04500554-n
Q98950889,Tub (container),04500676-n
Q1419626,tube,04500800-n
Q2093072,tube,04500800-n
Q3574371,vacuum tube,04501499-n
Q1411619,tubular tyre,04502057-n
Q7851015,tuck shop,04502745-n
Q191826,tug,04503138-n
Q234364,Tuileries Palace,04503468-n
Q646051,tulle,04503909-n
Q16893198,tumbler,04504167-n
Q7852593,tumbrel,04504544-n
Q201714,tunic,04504865-n
Q201898,tuning fork,04505096-n
Q44377,tunnel,04505257-n
Q2460567,turban,04505684-n
Q130760,turbine,04505818-n
Q1893641,tureen,04506357-n
Q28077,hammam,04506595-n
Q376793,turnbuckle,04507105-n
Q18131125,fish slice,04507355-n
Q16939396,toll road,04508313-n
Q7856090,Turnpike,04508422-n
Q1146283,turnstile,04508665-n
Q730493,railway turntable,04509008-n
Q7856225,Turret,04509242-n
Q1544262,polo neck,04509492-n
Q40601,tweed,04509797-n
Q399793,tweeter,04509965-n
Q1152241,twill weave,04510450-n
Q1152241,twill weave,04510564-n
Q233132,airplane with 2 jet engines,04510794-n
Q614806,suit,04511436-n
Q46335,typewriter,04512331-n
Q72370012,tyrocidine,04513001-n
Q419421,Tyrothricin,04513420-n
Q61285,ukulele,04513584-n
Q2477533,Ulster,04513697-n
Q2029259,ultracentrifuge,04513801-n
Q41607,umbrella,04514450-n
Q10709419,vehicle frame,04514748-n
Q198763,undergarment,04515458-n
Q7863403,underpants,04515784-n
Q1188673,subway,04516099-n
Q198763,undergarment,04516244-n
Q49223,panties,04516466-n
Q223924,unicycle,04516712-n
Q7434,uniform,04516887-n
Q1141049,United States Mint,04517751-n
Q862003,universal joint,04518001-n
Q3918,university,04518297-n
Q131252,University of Chicago,04519266-n
Q230492,University of Michigan,04519387-n
Q49117,University of Pennsylvania,04519771-n
Q235034,University of Pittsburgh,04519947-n
Q1161297,University of Sussex,04520078-n
Q1048898,University of Vermont,04520343-n
Q219563,University of Washington,04520466-n
Q1123578,upholstery,04521122-n
Q3382191,upright piano,04522298-n
Q152285,urinal,04523286-n
Q11083119,urn,04523411-n
Q848987,USS Cole,04523772-n
Q155644,Uzi,04524506-n
Q1371789,vacation home,04524703-n
Q134808,vaccine,04524830-n
Q101674,vacuum cleaner,04525118-n
Q347613,valdecoxib,04525763-n
Q155472,valsartan,04526314-n
Q208443,valve,04526448-n
Q2388208,vambrace,04527182-n
Q193468,van,04527465-n
Q193468,van,04527677-n
Q424027,vancomycin,04527913-n
Q1431305,vaporizer,04528257-n
Q424161,vardenafil,04528723-n
Q675186,variometer,04529158-n
Q81683,varnish,04529282-n
Q191851,vase,04529463-n
Q185120,Vaseline,04529604-n
Q145093,Apostolic Palace,04530675-n
Q189771,vault,04530820-n
Q1578744,burial vault,04530985-n
Q3501496,bank vault,04531126-n
Q943315,Petlyakov Pe-2,04531437-n
Q42889,vehicle,04531608-n
Q595658,velocipede,04532011-n
Q830528,velodrome,04532128-n
Q621044,velour,04532236-n
Q243519,velvet,04532333-n
Q2914295,velveteen,04532486-n
Q211584,vending machine,04532600-n
Q477683,wood veneer,04532712-n
Q584049,ventilation,04533815-n
Q10565770,ventilation shaft,04534095-n
Q6498398,mechanical fan,04534259-n
Q693922,veranda,04534943-n
Q2946,Palace of Versailles,04536781-n
Q958210,vest,04539168-n
Q6501052,vestment,04539401-n
Q468939,sacristy,04539799-n
Q181348,viaduct,04539965-n
Q206987,vibraphone,04540126-n
Q6623,vibrator,04540337-n
Q3081184,victory garden,04540668-n
Q764322,videodisc,04540995-n
Q380616,videocassette recorder,04541097-n
Q764322,videodisc,04541241-n
Q747779,videotape,04541654-n
Q747779,videotape,04541815-n
Q877806,overhead projector,04542074-n
Q1327260,vignette,04542306-n
Q1136665,vignetting,04542448-n
Q3950,villa,04542547-n
Q3950,villa,04542665-n
Q1307276,single-family detached home,04542819-n
Q282629,vinblastine,04542929-n
Q408977,vincristine,04543121-n
Q22715,vineyard,04543333-n
Q40125,viol,04543448-n
Q8355,violin,04544161-n
Q12751472,viomycin,04544530-n
Q922337,virginal,04544731-n
Q868743,viscometer,04545544-n
Q475638,vise,04545847-n
Q17839578,visor,04546173-n
Q315630,vivarium,04546498-n
Q927924,volleyball,04547339-n
Q48977235,volleyball net,04547541-n
Q179741,voltmeter,04548606-n
Q3316819,voussoir,04549615-n
Q2756642,Vox humana,04549881-n
Q1139975,waffle iron,04550229-n
Q859281,wagon,04550444-n
Q53704360,toy wagon,04550795-n
Q7960134,wain,04551210-n
Q17087190,walkway,04552265-n
Q1529372,baby walker,04552591-n
Q938319,walkie-talkie,04553144-n
Q1347864,walking stick,04553480-n
Q622493,Walkman,04553626-n
Q42948,wall,04554141-n
Q72927615,drywall,04555277-n
Q131740,wallet,04555648-n
Q7962670,wall plate,04555899-n
Q3396791,Walt Whitman Bridge,04556562-n
Q943899,Wampum,04556693-n
Q30158165,ward,04557205-n
Q106106,wardrobe,04557470-n
Q17126190,Wardroom,04557962-n
Q113368879,rac-warfarin,04558491-n
Q645102,ogive,04558661-n
Q827512,warhead,04558661-n
Q2631842,bed warmer,04559119-n
Q738822,warp,04559236-n
Q216916,military aircraft,04559634-n
Q1772543,command center,04559837-n
Q3114762,warship,04559982-n
Q140565,sink,04560989-n
Q140565,sink,04561206-n
Q1123029,washboard,04561692-n
Q1937628,wash mitt,04561809-n
Q124441,washing machine,04561970-n
Q637321,washer,04562157-n
Q1690211,lavoir,04562284-n
Q178114,Washington Monument,04562387-n
Q3775122,washstand,04562686-n
Q178794,watch,04563183-n
Q29200778,watch cap,04563694-n
Q679538,watch glass,04563950-n
Q947103,watchtower,04564234-n
Q649066,waterbed,04564808-n
Q6817227,water bottle,04564934-n
Q1052575,water cannon,04565158-n
Q50643,watering can,04567578-n
Q47493881,water jug,04568090-n
Q3679502,piping,04568453-n
Q185187,watermill,04568708-n
Q842870,water gun,04568834-n
Q2326110,waterproofing,04569143-n
Q5175316,personal water craft,04569408-n
Q2918476,waterskin,04569676-n
Q1061108,water supply,04569944-n
Q274153,water tower,04570221-n
Q20465,tank truck,04570306-n
Q146728,water wheel,04570490-n
Q644997,water turbine,04570699-n
Q1457356,inflatable armbands,04570846-n
Q944562,wattmeter,04571564-n
Q11233438,waveguide,04571699-n
Q361945,slipway,04572325-n
Q857296,ship cradle,04572325-n
Q1408712,shoulder,04572519-n
Q524738,weather vane,04574042-n
Q865144,weather map,04574508-n
Q209363,weather satellite,04574879-n
Q1969469,weather ship,04575032-n
Q524738,weather vane,04575355-n
Q2490558,webbing,04576127-n
Q29576,webcam,04576349-n
Q842096,wedding ring,04576624-n
Q5103622,wedge,04577108-n
Q4024202,wedge,04577269-n
Q14031369,weeder,04577702-n
Q2450206,mourning dress,04577818-n
Q929955,mourning band,04577966-n
Q65088317,weight,04578578-n
Q1244922,embankment dam,04578852-n
Q1066997,weir,04578972-n
Q43483,well,04579630-n
Q43483,well,04579845-n
Q7981274,wellhead,04580331-n
Q13450283,wetsuit,04581353-n
Q286077,whaleboat,04581634-n
Q973740,whaler,04581757-n
Q446,wheel,04582285-n
Q1980202,ship's wheel,04583009-n
Q191931,wheelchair,04583288-n
Q15618781,wheeled vehicle,04583497-n
Q1964323,wherry,04584425-n
Q1999004,Norfolk wherry,04584579-n
Q507559,sharpening stone,04584712-n
Q152910,whip,04585055-n
Q23856,top,04585745-n
Q263057,whisk,04586220-n
Q1434964,Whispering gallery,04586516-n
Q204917,whistle,04586718-n
Q204917,whistle,04586953-n
Q252661,white flag,04587412-n
Q35525,White House,04588063-n
Q378312,whitewash,04588388-n
Q318028,shell,04588711-n
Q131295,brothel,04588881-n
Q849004,candle wick,04589115-n
Q1081013,wicker,04589491-n
Q4210000,wicket gate,04589911-n
Q1196454,wicket,04590155-n
Q9373940,Wickiup,04590308-n
Q11384,wide area networkICR Co data base,04590763-n
Q309078,wide-body aircraft,04590906-n
Q752245,widescreen,04591062-n
Q105507,wig,04591493-n
Q277986,wigwam,04591659-n
Q373531,wimple,04592604-n
Q258534,winch,04593031-n
Q557270,anchor windlass,04593031-n
Q2039061,windbreak,04593358-n
Q173453,wind instrument,04594218-n
Q573206,windjammer,04594630-n
Q49833,wind turbine,04594707-n
Q38720,windmill,04594862-n
Q35473,window,04594951-n
Q23583755,window box,04596628-n
Q1037104,insulated glazing,04597048-n
Q910768,window screen,04597193-n
Q3001579,window seat,04597324-n
Q1391592,window sill,04597566-n
Q13693,windshield,04597856-n
Q13692,windscreen wiper,04598049-n
Q635443,Windsor chair,04598236-n
Q47524465,Windsor tie,04598460-n
Q193010,wind tunnel,04598662-n
Q23490,wine bottle,04599016-n
Q1531435,wine glass,04599402-n
Q253591,winepress,04599659-n
Q156362,winery,04599768-n
Q20078304,planform,04600068-n
Q1420126,Pterocarya,04600512-n
Q1265341,blinders,04600956-n
Q551997,wire,04601545-n
Q8026759,wire gauge,04602246-n
Q321495,wire stripper,04602938-n
Q7168554,perimeter fence,04603089-n
Q208364,wok,04604069-n
Q173242,woodcut process,04604863-n
Q1762390,wooden spoon,04605240-n
Q181247,woodwind instrument,04605909-n
Q588676,weft,04606292-n
Q1324405,woofer,04606451-n
Q1751888,woolen,04606562-n
Q347690,workbench,04607813-n
Q828980,workwear,04608239-n
Q628155,workhouse,04608517-n
Q656720,workshop,04610439-n
Q192525,workstation,04610757-n
Q828980,workwear,04611230-n
Q11235,World Trade Center,04611367-n
Q466,World Wide Web,04611634-n
Q12529,worm drive,04612164-n
Q572813,worsted,04612521-n
Q572813,worsted,04612679-n
Q8037573,wrap,04612804-n
Q541357,lei,04613372-n
Q756600,garland,04613372-n
Q1201922,wreath,04613372-n
Q852190,shipwreck,04613609-n
Q154411,wrench,04613932-n
Q6763849,wrestling ring,04614499-n
Q1549506,wristband,04614756-n
Q1549506,wristband,04614890-n
Q1779067,Gudgeon pin,04615117-n
Q178794,watch,04615227-n
Q87035610,writing desk,04615687-n
Q30715253,X-ray machine,04617008-n
Q170173,yacht,04617370-n
Q49112,Yale University,04617725-n
Q482798,yard,04618033-n
Q5195627,Curtilage,04618236-n
Q19563580,rail yard,04618511-n
Q663616,yard,04618708-n
Q8049278,Yarder,04618827-n
Q215459,kippah,04619383-n
Q8049761,yashmak,04619516-n
Q503292,yatagan,04619614-n
Q1137441,yawl,04619730-n
Q203290,yoke,04620197-n
Q944517,coupling,04620515-n
Q183621,yo-yo,04620912-n
Q15680,yurt,04621053-n
Q13090989,zarf,04621601-n
Q191413,zeppelin,04621729-n
Q204,zero,04621862-n
Q170153,ziggurat,04622012-n
Q76239,zither,04622583-n
Q40540,zodiac,04622813-n
Q220361,zoot suit,04623001-n
Q168796,spirituality,04628671-n
Q188728,privacy,04630289-n
Q934663,Stakhanovite movement,04633551-n
Q169251,sadness,04638827-n
Q7936872,vitality,04640810-n
Q309406,apathy,04643967-n
Q484,laziness,04644465-n
Q278781,idleness,04644647-n
Q12846123,patience,04647895-n
Q3935810,relaxation,04648079-n
Q1255864,fun,04656618-n
Q1163663,Caprichos,04657367-n
Q502261,silence,04659331-n
Q1503443,secrecy,04659534-n
Q3307505,sociality,04659992-n
Q555097,accessibility,04663006-n
Q7655753,Sweetness and light,04663955-n
Q2729863,hostility,04665463-n
Q1460232,virulence,04665718-n
Q219645,misanthropy,04665881-n
Q1423044,alertness,04671985-n
Q842254,machismo,04674537-n
Q866081,femininity,04674763-n
Q473652,effeminacy,04675496-n
Q1427962,diligence,04680363-n
Q1075,color,04682325-n
Q1900281,perspective,04683665-n
Q1211071,equivalence class,04684871-n
Q1077857,persona,04685073-n
Q931754,face value,04686161-n
Q779763,pretext,04686265-n
Q6497468,disguise,04686431-n
Q222288,verisimilitude,04686657-n
Q327968,facial expression,04686906-n
Q327968,facial expression,04687095-n
Q1053525,blank expression,04687490-n
Q1970173,Control point,04688415-n
Q40843,cross,04688744-n
Q1364287,Simple eye in invertebrates,04688978-n
Q2734755,hatching,04689154-n
Q1191981,shading,04689375-n
Q1620594,hirsutism,04690957-n
Q7242,beauty,04691171-n
Q390104,glamour,04692544-n
Q464859,sexual attraction,04694284-n
Q4818701,attractiveness,04695595-n
Q3043172,disfigurement,04698526-n
Q1072716,Mongolian spot,04699986-n
Q13645339,knapping,04700256-n
Q692077,nevus,04701152-n
Q170518,burn,04701438-n
Q445686,tarnish,04703311-n
Q101971,wart,04703780-n
Q37853,Baroque,04705655-n
Q217175,architectural order,04706004-n
