line	lid	adib	headword	normalized	aftercomma
176	subentry	2	AHARI-APUSTU
177	subentry	1	AHARI-BURU
178	subentry	0	AHARI-EULI
179	subentry	1	AHARI-JABE
180	subentry	1	AHARI-JOKETA
181	subentry	2	AHARI-JOKO
182	subentry	5	AHARI-TALKA
183	subentry	0	AHARI-TEMA
184	subentry	5	AHARI-TOPEKA
185	L120	12	ahariki
186	L121	3	ahariko
187	L122	0	aharitegi
188	L123	0	aharitu
189	L124	23	aharra
190	subentry	3	AHARRAN
191	L125	3	aharrari
192	L126	7	aharratu
193	L127	14	aharrausi
194	subentry	3	AHARRAUSI EGIN
195	L128	5	aharrausika
196	L129	1	aharrazale
197	L130	1	ahartzain
198	L131	2	aharzatz
199	L132	0	ahasabai
200	L133	6	ahatara
201	L134	6	ahataraka
202	L135	25	ahate
203	subentry	0	AHATAKUME
204	subentry	1	AHATE BELTZ
205	subentry	0	AHATE ESPAÑOL
206	subentry	1	AHATE-JOKO
207	subentry	0	AHATE MOTODUN
208	subentry	1	AHATE TIPI
209	subentry	0	ATXE-AHATE
210	subentry	0	EKAITZ-AHATE
211	subentry	0	MURGIL-AHATE
212	L136	4	ahateki
213	L137	0	ahatetegi
214	L138	2	ahatetxo
215	L139	44	haatik
216	L140	0	ahatxe
217	L141	0	ahazabal
218	L142	1	ahazgai
219	L143	1	ahazgaitz
220	L144	25	ahazgarri
221	L145	18	ahazkor
222	L146	1	ahazkortu
223	L147	2	ahazmen
224	L148	7	ahazte
225	L149	52	ahazterazi
226	L150	0	aaztru
227	L151	224	ahaztu
228	subentry	10	AHAZTU ERAGIN
229	subentry	1	AHAZTU-ZALE
230	subentry	20	EZIN AHANTZI(ZKO)
231	L152	1	ahaztuera
232	L153	14	ahaztuezin
233	subentry	2	AHAZTU-EZINEKO
234	L154	0	aaztumen
235	L155	18	aba
236	multiword_mainentry	0	abaa-	abaa-
237	L156	9	ababor
238	L157	1	abad
239	L158	62	abade
240	subentry	2	ABADE ARTZAIN
241	subentry	9	ABADE EGIN
242	subentry	2	ABADE-ETXE
243	subentry	2	ABADE-MAISU
244	subentry	5	ABADE NAGUSI
245	subentry	0	ABADE ORDE
246	subentry	1	ABADE TXAPEL
247	L159	7	abadegai
248	L160	1	abadegi
249	L161	5	abadegintza
250	L162	0	abadego
251	L163	0	abadeki
252	L164	1	abadekuntza
253	L165	11	abadesa
254	L166	0	abadetar
255	L167	4	abadetasun
256	L168	0	1 abadetegi
257	L168	2	2 abadetegi
258	L169	2	abadetu
259	L170	4	abadetza
260	L171	6	abadia
261	L172	2	abadota
262	L173	0	abagadaldi
263	L174	35	abagune
264	L175	31	habaila
265	L176	0	habailada
266	L177	0	habailaka
267	L178	6	habailari
268	L179	1	habailarri
269	L180	12	abaildu
270	subentry	1	ABAIL EGIN
271	L181	2	abaildura
272	L182	1	abailera
273	L183	0	abajatu
274	L184	1	abakando
275	L185	0	abakondo
276	L186	0	abalu
277	L187	1	abandonamendu
278	L188	49	abandonatu
279	L189	3	habanera
280	L190	3	habano
281	L191	1	abant
282	subentry	1	ABANT EGIN
283	subentry	3	ABANTEAN
284	L192	2	abantada	abantada
285	subentry	1	ABANTADA HARTU
286	L193	71	abantaila	abantaila
287	subentry	10	ABANTAIL(A) ERAMAN
288	subentry	2	ABANTAILEZKO
289	L194	1	abantailatsu	abantailatsu
290	L195	19	abantailatu	abantailatu
291	L196	3	abantailatuki	abantailatuki
292	L197	7	abantailos	abantailos
293	L198	2	abantailoski	abantailoski
294	L199	0	abantalde	abantalde
295	L200	2	abantari	abantari
296	L201	2	abantatu	abantatu
297	L202	3	abantzamendu	abantzamendu
298	L203	14	abantzatu	abantzatu
299	L204	27	abantzu	abantzu
300	subentry	1	ABANTZU IZAN
301	L204	7	2 abantzu	abantzu
302	L205	3	abantzuño	abantzuño
303	L206	1	abaña	abaña
304	L207	14	abao	abao
305	L208	47	abar	abar
306	subentry	0	ABAR-AXE
307	subentry	0	ABAR-ONDO
308	subentry	0	ABARRETAN
309	subentry	43	ETA ABAR
310	L208	0	2 abar	abar
311	L209	0	abarats	abarats
312	L210	0	abarauts	abarauts
313	L211	0	abareta	abareta
314	L212	0	abargia	abargia
315	L213	0	abario	abario
316	L214	52	abarizia	abarizia
317	L215	20	abarizios	abarizios
318	L216	0	abarizketa	abarizketa
319	L217	39	abarka	abarka
320	subentry	0	ABARKA-HANDIZUREN
321	subentry	0	ABARKA-ADABU
322	subentry	1	ABARKA-EZTEN
323	subentry	0	ABARKA-HARI
324	subentry	0	ABARKA-HEDE
325	subentry	0	ABARKA-ILTZE
326	subentry	1	ABARKA-KORDEL
327	subentry	0	ABARKA-LABAN
328	subentry	0	ABARKA-LARRU
329	subentry	0	ABARKA-OL
330	subentry	0	ABARKA-SOKA
331	subentry	0	ABARKA-ZINTA
332	subentry	1	ABARKA-ZIRI
333	subentry	1	ABARKA-ZOLA
334	L218	0	abarkadabu	abarkadabu
335	L219	11	abarkadun	abarkadun
336	L220	4	abarkagile	abarkagile
337	L221	3	abarkagintza	abarkagintza
338	L222	0	abarkari	abarkari
339	L223	0	abarkatu	abarkatu
340	multiword_mainentry	0	abarka-zarka	abarka-zarka
341	L224	17	1 abarketa	abarketa
342	L224	1	2 abarketa	abarketa
343	L225	1	abarketadun	abarketadun
344	L226	5	abarketari	abarketari
345	L227	16	abaro	abaro
346	subentry	4	ABARO EGIN
347	subentry	1	ABARO EGON
348	subentry	7	ABARO(T)AN
349	L227	0	2 abaro	abaro
350	L228	0	abaroaldi	abaroaldi
351	L229	0	abaroleku	abaroleku
352	L230	0	abarotoki	abarotoki
353	L231	1	abarotsu	abarotsu
354	L232	0	abarrada	abarrada
355	L233	13	abarrakitu	abarrakitu
356	L234	0	abarrarte	abarrarte
357	L235	0	abarraxe	abarraxe
358	L236	2	abarreria	abarreria
359	L237	0	abarreztatu	abarreztatu
360	L238	0	abarrikatu	abarrikatu
361	L239	1	abarroska	abarroska
362	L240	80	abarrots	abarrots
363	L241	1	abarrotslari	abarrotslari
364	L242	0	abartegi	abartegi
365	L243	0	abartoki	abartoki
366	L244	6	abartsu	abartsu
367	L245	1	1 abartu	abartu
368	L245	2	2 abartu	abartu
369	L246	4	abartxo	abartxo
370	L247	0	abarxka	abarxka
371	L248	1	abarxkila	abarxkila
372	L249	8	abasberuan	abasberuan
