wikibase_item,pdf,zot_st,zot
Q35426,https://www.inguma.eus/fso/fitxategia/82-ikergazte.iv.03.169-176.partizioen-konfigurazioaren.pdf,Q35426-580269BB-89A2-4AAE-8168-329705FFEFA3,U4WZJC9W
Q35433,https://www.inguma.eus/fso/fitxategia/75-ikergazte.iv.03.115-121.aluminioaren-emisibitate.pdf,Q35433-B4A7A09F-1B1E-473D-8625-19B8E1DDDE72,2TMK3979
Q35437,https://www.inguma.eus/fso/fitxategia/71-ikergazte.iv.03.81-89.industria-eolikoko.pdf,Q35437-1053538F-6628-458E-B653-5E618227D319,82B52Y89
Q35439,https://www.inguma.eus/fso/fitxategia/69-ikergazte.iv.03.65-71.instalazio-termikoen.pdf,Q35439-ED84E2DE-E75D-437C-BEC4-7501C41DC6C6,UAR4H55W
Q35441,https://www.inguma.eus/fso/fitxategia/67-ikergazte.iv.03.49-56.instalazio-termiko.pdf,Q35441-79E10B97-7A99-4A61-ABF6-0D91D3C82836,N72TAREB
Q35471,https://www.inguma.eus/fso/fitxategia/238-ikergazte.iii.04.157_165.pdf,Q35471-F723D182-323F-4C30-8640-5479C1B8E63D,TPA6A7YE
Q35474,https://www.inguma.eus/fso/fitxategia/235-ikergazte.iii.04.130_143.pdf,Q35474-014D7CC2-BF27-4E1C-ADB1-B22CAC16FBD1,376BXX6X
Q35481,https://www.inguma.eus/fso/fitxategia/228-ikergazte.iii.04.76_83.pdf,Q35481-C5E7BD9C-6D24-40C2-B006-156F1B488907,HRT399FM
Q35496,https://www.inguma.eus/fso/fitxategia/212-ikergazte.iii.03.117_124.pdf,Q35496-5617C6E8-3C44-48B4-87BA-7D3269E6C3F9,KGR4JF5S
Q35503,https://www.inguma.eus/fso/fitxategia/206-ikergazte.iii.03.64_71.pdf,Q35503-83437487-83EF-48BC-B07E-C77EB8093C2A,2Q3DVG6S
Q35508,https://www.inguma.eus/fso/fitxategia/201-ikergazte.iii.03.26_33.pdf,Q35508-A2BA92ED-2135-474A-B301-3D9C36BC3FB2,E4UVWU9E
Q35524,https://www.inguma.eus/fso/fitxategia/162-ikergazte.iii.02.50_55.pdf,Q35524-6EF6F51F-11D4-4C72-8E8A-5F57D67A6351,HM74Q6X6
Q35532,https://www.inguma.eus/fso/fitxategia/196-ikergazte.iii.01.128_138.pdf,Q35532-F9256DAB-14C6-433F-B85C-41F10C7F8132,4JZCIFRH
Q35536,https://www.inguma.eus/fso/fitxategia/192-ikergazte.iii.01.99_106.pdf,Q35536-6E73DCB9-F391-4A66-8D63-F74DA5DA295A,DF5C3RQM
Q35540,https://www.inguma.eus/fso/fitxategia/188-ikergazte.iii.01.69_75.pdf,Q35540-8ABF5B9C-897A-4FF6-AE43-BC26A9995AAC,UHHTVP95
Q35542,https://www.inguma.eus/fso/fitxategia/186-ikergazte.iii.01.53_58.pdf,Q35542-76211C4E-8F4A-499A-9D19-19C4ED12DD4D,4S44YSV2
Q35553,https://www.inguma.eus/fso/fitxategia/382-ikergazte.ii.05.159_164.pdf,Q35553-07283AA0-3876-4FF1-9212-A61D1A000EFA,UDARSY6X
Q35556,https://www.inguma.eus/fso/fitxategia/379-ikergazte.ii.05.138_145.pdf,Q35556-A67E9580-A1F3-41AF-8ADF-490E37BB30E8,3957HHCD
